FamilyID	Leocu<1>	Luden<2>	Nebri<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Hosap<20>	Zoviv<21>	Tagut<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>
OG0000048	6.70988e-08	0.667918	0.656701	0.928876	0.0253342	0.064236	2.57355e-20	6.68875e-26	8.48266e-43	0.135324	0.802374	0.0222016	0.75786	0.0509529	0.00206499	0.274221	0.274221	0.795574	3.88113e-24	0.5	0.5	0.5	N/A	1.26139e-15	0.057146	1.20043e-07	0.197064	0.589415	0.697128	0.0331975	0.00715362	0.243439	0.335457	0.2594	0.0101806	0.81807	0.610227	0.585129	0.0375772	0.00961673	0.093201	2.43983e-11	0.5
OG0000050	0.130245	0.618963	5.27597e-05	7.17839e-09	0.00120639	0.633905	1.55949e-08	9.61374e-41	4.50271e-23	0.000720597	0.150979	0.00103052	0.779684	5.68466e-05	0.373961	0.77242	0.108009	0.321456	0.849079	0.00112572	3.18526e-12	0.0394861	N/A	0.0336692	0.000100726	2.63692e-07	0.151718	0.569551	0.6619	0.629731	0.00361344	0.641875	0.00421478	0.139072	0.324387	4.1614e-09	0.626361	3.59174e-08	0.659087	0.745397	0.75236	0.00901352	0.626853
OG0000058	0.415557	0.455555	0.00850863	1.92974e-06	0.596797	3.44497e-05	0.500013	2.02534e-34	6.20324e-12	0.198295	1.73912e-06	0.000242772	1.30304e-08	0.675527	0.0024249	0.643498	0.517521	0.142468	0.000232676	0.553917	0.52602	0.000129943	N/A	0.000293632	0.00437592	0.000317456	0.696067	0.561175	0.64571	0.6395	0.749956	0.347629	0.811097	0.00546706	0.0754658	0.456295	0.0464404	0.000687602	0.0816761	0.295767	0.762031	0.582989	0.593301
OG0000069	0.215511	0.00473915	0.0037177	9.73776e-07	0.0380709	0.0844446	0.00285513	4.57908e-12	0.505232	0.0701591	0.00347089	7.99612e-10	9.64693e-08	0.252255	0.662957	0.262036	0.118269	0.358686	7.8299e-14	0.000865132	0.377716	3.97739e-08	N/A	0.298591	0.0834485	0.0399548	0.625192	0.534458	0.58831	0.822403	0.0010432	0.166498	0.0101013	0.519009	2.34976e-05	0.78257	0.00219918	2.64832e-09	0.000108949	0.407738	0.811858	0.607878	0.620517
OG0000073	0.0351306	1.06792e-08	0.702906	3.36135e-16	0.0137498	1.16451e-15	5.30892e-14	0.0104465	0.506958	0.00164021	0.707177	5.61266e-09	2.54987e-08	1.86767e-05	0.0952018	0.54572	0.54572	1.80584e-12	0.000329919	0.0877282	0.0090005	5.53343e-06	N/A	0.238185	9.67599e-05	0.000334385	0.657928	0.545889	0.0681916	0.839559	0.707246	0.0026531	0.434995	0.129598	0.760838	0.000431632	0.570437	0.599414	0.58034	5.05523e-06	0.779139	0.548141	0.554583
OG0000075	0.66908	0.00745845	0.128928	0.000263151	0.145796	2.02523e-10	0.000605549	7.9974e-09	2.23028e-43	3.78942e-06	0.221989	0.00484327	0.762591	7.37798e-12	7.7184e-10	0.690381	0.274221	0.296016	0.566497	0.5	0.5	0.5	N/A	2.38988e-06	5.69784e-08	0.389276	0.638903	0.539083	0.598902	0.0157576	0.757036	4.00233e-06	0.302711	0.00755042	1.50173e-05	0.30541	0.613545	0.519059	0.514952	0.652825	0.532635	0.0128066	0.5
OG0000077	0.101184	0.483982	0.251746	0.251746	0.48921	0.151151	7.73133e-05	1.65215e-13	3.12228e-09	0.760351	0.000499863	0.853678	0.76713	1.10479e-07	0.0244268	0.322757	0.739872	0.000661663	0.0161479	7.49624e-05	0.658105	0.240491	N/A	0.00654443	0.118061	0.0117708	0.560702	0.515226	0.541131	1.77571e-09	0.0132755	0.550692	0.822778	0.00133071	0.00682029	0.000544951	0.616817	0.570009	0.555936	0.00036116	0.717843	0.532913	0.0563633
OG0000084	0.00840688	0.0100583	0.388051	0.00343726	0.000164061	0.431485	0.862339	0.506096	0.506096	0.078259	0.000384969	0.35503	0.742405	0.139433	0.698283	0.630501	0.630501	0.241464	5.23613e-07	0.129879	8.07756e-05	3.11663e-08	N/A	0.0336692	0.8402	0.8258	0.602927	0.527385	0.571556	0.310574	0.696963	0.00196006	0.0124599	0.534227	3.27046e-05	0.0207396	0.599986	0.62568	0.000343294	0.274742	0.75236	0.562612	0.570745
OG0000087	0.161504	0.000279391	0.04327	0.000527675	0.0167204	1.16268e-05	0.000428609	0.506096	0.00915136	0.0230119	0.0543392	0.0497293	0.0456678	9.64795e-05	0.000650152	0.623523	0.833181	1.60083e-06	1.07689e-11	8.64948e-06	1.75784e-13	4.08764e-09	N/A	0.802264	0.790207	0.0455891	0.551402	0.512738	0.534643	0.013711	0.674272	0.0298684	0.179933	0.787856	0.195154	1.87605e-06	0.578144	0.0110907	1.97757e-11	0.0111249	0.826498	0.569577	0.578482
OG0000088	0.000142168	0.251329	0.0380997	1.50056e-07	0.00095887	0.87107	6.27042e-07	3.56813e-16	0.00219549	0.344615	0.160295	7.03586e-17	0.0995445	0.611532	0.611532	0.00446821	0.0222158	2.28363e-06	7.25585e-05	0.00690981	0.809723	0.000223771	N/A	0.817531	0.277647	0.0681744	0.602927	0.527385	0.571556	0.799587	0.000566818	0.464363	0.0566086	0.787856	0.0764599	0.356788	0.0821765	0.0141675	2.40497e-05	0.00582574	0.811858	0.576367	0.585998
OG0000089	0.28253	0.0157941	0.0133486	2.17957e-05	0.00100823	0.000196599	1.09135e-06	1.42629e-31	1.47812e-10	1.00128e-27	2.60447e-06	1.33929e-05	4.75868e-06	0.310257	0.0422565	0.517521	0.643498	0.000392127	8.30644e-10	3.38609e-06	0.0545363	1.6483e-06	N/A	0.760248	0.0730227	0.772411	0.569704	0.517696	0.547481	0.0933135	0.661749	0.0475171	0.000518618	0.0724769	0.224838	8.63561e-11	0.599986	0.585129	4.49854e-08	0.0624858	0.762031	0.540624	0.546141
