FamilyID	Leocu<1>	Luden<2>	Nebri<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Hosap<20>	Zoviv<21>	Tagut<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>
OG0000048	24	1	1	0	7	6	-19	-10	17	-2	0	4	0	2	-3	-1	-1	0	24	0	0	0	0	17	4	13	1	0	0	-4	-3	2	1	-2	4	0	0	0	1	-4	-1	-5	0
OG0000050	-4	1	-10	18	9	1	-10	-13	9	5	-2	-5	0	5	-1	-1	4	-3	0	6	16	-3	0	3	7	11	1	0	0	-1	-3	-1	4	2	1	10	0	6	0	-1	0	2	0
OG0000058	2	-2	-6	13	1	12	1	-12	5	1	-6	6	-7	0	3	1	-2	4	6	-1	-1	6	0	6	5	7	0	0	0	-1	0	-2	0	-4	2	-1	1	3	1	2	0	0	0
OG0000069	-3	-5	-5	11	4	3	-4	-4	0	2	-3	12	7	-1	0	-4	5	3	19	6	1	-9	0	1	2	3	0	0	0	0	-3	-2	3	-1	6	0	-2	7	4	2	0	0	0
OG0000073	-4	-12	-1	25	-5	26	20	-1	0	-3	0	-8	7	-4	1	-2	-2	32	-4	2	3	-5	0	1	6	6	0	0	1	0	0	-5	-1	-2	0	4	0	0	0	10	0	0	0
OG0000075	-1	-5	-3	8	-3	18	-7	-4	18	-6	1	5	0	10	-8	0	-1	-1	0	0	0	0	0	5	9	1	0	0	0	4	0	11	1	-4	7	1	0	0	0	0	0	-1	0
OG0000077	3	-1	1	1	-1	-2	10	6	-4	0	-4	0	0	7	-2	2	-1	10	-2	5	0	-1	0	3	2	-3	0	0	0	11	3	1	0	-5	4	5	0	0	0	6	0	0	-1
OG0000084	7	-4	1	5	-6	1	0	0	0	2	-4	1	0	1	0	1	1	3	9	-2	6	-7	0	3	0	0	0	0	0	1	0	-5	3	-1	6	3	0	0	3	2	0	0	0
OG0000087	-3	-4	-2	5	3	-5	6	0	-1	-2	2	-2	2	4	-3	-2	-1	22	16	-6	15	-8	0	0	0	-2	0	0	0	3	0	-3	1	0	1	6	0	2	8	7	0	0	0
OG0000088	-7	-2	-3	11	6	0	-6	-5	1	-1	1	17	1	0	0	-9	8	21	7	4	0	-5	0	0	1	2	0	0	0	0	-3	-1	2	0	2	-1	-1	2	4	7	0	0	0
