Taxon_ID	Increase	Decrease
<28>	2	98
Luden<2>	1476	1899
<32>	460	501
<24>	600	178
Leocu<1>	538	3111
<25>	2370	363
<26>	736	1173
<33>	562	352
<29>	36	2
Asmec<8>	307	963
Nebri<3>	884	1773
Thmac<4>	556	1090
Mymur<5>	616	1437
<34>	92	1367
Asmes<9>	387	329
<27>	28	144
Gamor<6>	600	2391
<30>	870	586
<31>	63	1069
<39>	139	264
<40>	903	544
Ammel<7>	705	2181
Darer<12>	837	1893
<36>	8190	165
Tagut<22>	271	1890
<37>	976	215
Xetro<19>	729	2718
<42>	36	2182
Sigra<14>	2153	1633
Trtib<11>	582	1693
<35>	2805	289
Trros<10>	499	774
<38>	51	0
Sirhi<13>	1849	760
<41>	23	3
Ammex<16>	2318	2630
Plwal<17>	1052	7272
Sians<15>	1346	1711
Hosap<20>	578	1285
<43>	43	290
Zoviv<21>	914	509
Prang<18>	3250	1403
