OG_ID,analysis_cafe_expanded,pvalue
OG0000089,expanded,0.010882822
OG0000623,expanded,0.002050581
OG0002244,expanded,0.002050581
OG0008208,expanded,0.002050581
OG0000179,expanded,0.009341536
OG0000498,expanded,0.009341536
OG0002724,expanded,0.009341536
OG0000137,expanded,0.025424524
OG0000776,expanded,0.025424524
OG0001022,expanded,0.025424524
OG0001623,expanded,0.025424524
OG0002161,expanded,0.025424524
OG0000258,expanded,0.012987013
OG0000282,expanded,0.012987013
OG0000713,expanded,0.012987013
OG0001127,expanded,0.012987013
OG0001324,expanded,0.012987013
OG0001582,expanded,0.012987013
OG0001665,expanded,0.012987013
OG0001670,expanded,0.012987013
OG0001689,expanded,0.012987013
OG0001884,expanded,0.012987013
OG0002745,expanded,0.012987013
OG0002802,expanded,0.012987013
OG0003511,expanded,0.012987013
OG0003742,expanded,0.012987013
OG0004061,expanded,0.012987013
OG0004111,expanded,0.012987013
OG0005332,expanded,0.012987013
OG0005432,expanded,0.012987013
OG0005729,expanded,0.012987013
OG0006029,expanded,0.012987013
OG0006209,expanded,0.012987013
OG0006329,expanded,0.012987013
OG0006517,expanded,0.012987013
OG0007007,expanded,0.012987013
OG0012818,expanded,0.012987013
OG0014159,expanded,0.012987013
OG0015119,expanded,0.012987013
OG0000527,expanded,0.045796309
OG0000582,expanded,0.045796309
OG0001803,expanded,0.045796309
OG0002310,expanded,0.045796309
OG0002959,expanded,0.045796309
OG0005410,expanded,0.045796309
OG0005451,expanded,0.045796309
OG0005520,expanded,0.045796309
OG0006377,expanded,0.045796309
OG0007413,expanded,0.045796309
OG0007981,expanded,0.045796309
OG0010123,expanded,0.045796309
OG0011402,expanded,0.045796309
OG0012002,expanded,0.045796309
OG0013273,expanded,0.045796309
OG0013967,expanded,0.045796309
OG0014274,expanded,0.045796309
