OG	analysis
OG0005910	cave_species
OG0006742	cave_species
OG0006763	cave_species
OG0007055	cave_species
OG0007466	cave_species
OG0007656	cave_species
OG0008000	cave_species
OG0008448	cave_species
OG0008612	cave_species
OG0009493	cave_species
OG0010112	cave_species
OG0010261	cave_species
OG0010494	cave_species
OG0010619	cave_species
OG0010805	cave_species
OG0010997	cave_species
OG0011362	cave_species
OG0011470	cave_species
OG0012192	cave_species
OG0012231	cave_species
OG0012259	cave_species
OG0012466	cave_species
OG0012471	cave_species
OG0012475	cave_species
OG0012551	cave_species
OG0012603	cave_species
OG0012635	cave_species
OG0012652	cave_species
OG0012702	cave_species
OG0012750	cave_species
OG0012758	cave_species
OG0012862	cave_species
OG0013109	cave_species
OG0013176	cave_species
OG0013204	cave_species
OG0013406	cave_species
OG0013493	cave_species
OG0013496	cave_species
OG0013509	cave_species
OG0013770	cave_species
OG0013833	cave_species
OG0014439	cave_species
OG0014494	cave_species
OG0005846	cave_species
OG0006296	cave_species
OG0006476	cave_species
OG0007153	cave_species
OG0008191	cave_species
OG0008201	cave_species
OG0010205	cave_species
OG0010237	cave_species
OG0010392	cave_species
OG0010813	cave_species
OG0011056	cave_species
OG0011136	cave_species
OG0011414	cave_species
OG0011474	cave_species
OG0011766	cave_species
OG0012339	cave_species
OG0012388	cave_species
OG0012440	cave_species
OG0012758	cave_species
OG0012923	cave_species
OG0012929	cave_species
OG0012939	cave_species
OG0012997	cave_species
OG0013060	cave_species
OG0013164	cave_species
OG0013399	cave_species
OG0013544	cave_species
OG0013603	cave_species
OG0006476	cave_species
OG0010205	cave_species
OG0010392	cave_species
OG0012758	cave_species
OG0012923	cave_species
OG0012929	cave_species
OG0013399	cave_species
OG0006303	cave_species
OG0006973	cave_species
OG0007056	cave_species
OG0007998	cave_species
OG0008149	cave_species
OG0008543	cave_species
OG0008625	cave_species
OG0008693	cave_species
OG0011289	cave_species
OG0011298	cave_species
OG0011439	cave_species
OG0012250	cave_species
OG0013544	cave_species
OG0010205	cave_species
OG0010217	cave_species
OG0010805	cave_species
OG0012758	cave_species
OG0013833	cave_species
OG0006973	cave_species
OG0007056	cave_species
OG0008149	cave_species
OG0013833	cave_species
OG0005229	cave_species
OG0005622	cave_species
OG0005976	cave_species
OG0005990	cave_species
OG0006106	cave_species
OG0006207	cave_species
OG0006416	cave_species
OG0006444	cave_species
OG0006452	cave_species
OG0006580	cave_species
OG0006675	cave_species
OG0006686	cave_species
OG0006738	cave_species
OG0006763	cave_species
OG0006910	cave_species
OG0006942	cave_species
OG0006973	cave_species
OG0006983	cave_species
OG0006984	cave_species
OG0006987	cave_species
OG0007056	cave_species
OG0007092	cave_species
OG0007095	cave_species
OG0007113	cave_species
OG0007155	cave_species
OG0007194	cave_species
OG0007217	cave_species
OG0007247	cave_species
OG0007286	cave_species
OG0007314	cave_species
OG0007315	cave_species
OG0007319	cave_species
OG0007476	cave_species
OG0007530	cave_species
OG0007722	cave_species
OG0007748	cave_species
OG0007817	cave_species
OG0007848	cave_species
OG0008091	cave_species
OG0008102	cave_species
OG0008110	cave_species
OG0008149	cave_species
OG0008160	cave_species
OG0008164	cave_species
OG0008393	cave_species
OG0008404	cave_species
OG0008410	cave_species
OG0008434	cave_species
OG0008439	cave_species
OG0008464	cave_species
OG0008507	cave_species
OG0008512	cave_species
OG0008519	cave_species
OG0008564	cave_species
OG0008584	cave_species
OG0008586	cave_species
OG0008589	cave_species
OG0008600	cave_species
OG0008655	cave_species
OG0008761	cave_species
OG0008777	cave_species
OG0008789	cave_species
OG0008810	cave_species
OG0008816	cave_species
OG0008842	cave_species
OG0008906	cave_species
OG0008907	cave_species
OG0008935	cave_species
OG0008992	cave_species
OG0009048	cave_species
OG0009087	cave_species
