FamilyID,pvalue,cave.ratio,surface.ratio,DIFF,significant
OG0000075,0.009341536,2,0.066666667,1.9,yes
OG0002592,0.009341536,2,0.066666667,1.9,yes
OG0002987,0.012987013,1,0,1.0,yes
OG0005755,0.012987013,1,0,1.0,yes
OG0009603,0.012987013,1,0,1.0,yes
OG0012347,0.012987013,1,0,1.0,yes
OG0013528,0.012987013,1,0,1.0,yes
OG0014740,0.012987013,1,0,1.0,yes
OG0015347,0.012987013,1,0,1.0,yes
OG0016341,0.012987013,1,0,1.0,yes
OG0017954,0.012987013,1,0,1.0,yes
OG0018042,0.012987013,1,0,1.0,yes
OG0018418,0.012987013,1,0,1.0,yes
OG0018504,0.012987013,1,0,1.0,yes
OG0018698,0.012987013,1,0,1.0,yes
OG0019395,0.012987013,1,0,1.0,yes
OG0019405,0.012987013,1,0,1.0,yes
OG0019729,0.012987013,1,0,1.0,yes
OG0020948,0.012987013,1,0,1.0,yes
OG0021038,0.012987013,1,0,1.0,yes
OG0021135,0.012987013,1,0,1.0,yes
OG0021448,0.012987013,1,0,1.0,yes
OG0022809,0.012987013,1,0,1.0,yes
OG0022822,0.012987013,1,0,1.0,yes
OG0022849,0.012987013,1,0,1.0,yes
OG0023256,0.012987013,1,0,1.0,yes
OG0024961,0.012987013,1,0,1.0,yes
OG0000216,0.045796309,1,0.066666667,0.9,yes
OG0001531,0.045796309,1,0.066666667,0.9,yes
OG0003761,0.045796309,1,0.066666667,0.9,yes
OG0013924,0.045796309,1,0.066666667,0.9,yes
OG0014272,0.045796309,1,0.066666667,0.9,yes
OG0014989,0.045796309,1,0.066666667,0.9,yes
OG0015717,0.045796309,1,0.066666667,0.9,yes
OG0019553,0.045796309,1,0.066666667,0.9,yes
OG0000126,0.136504363,2,0.333333333,1.7,no
OG0000113,0.100478469,1,0.142857143,0.9,no
OG0000169,0.100478469,1,0.142857143,0.9,no
OG0000172,0.100478469,1,0.142857143,0.9,no
OG0000159,0.282859555,1,0.230769231,0.8,no
OG0000262,0.334083873,1,0.333333333,0.7,no
OG0000339,0.334083873,1,0.333333333,0.7,no
OG0000096,0.624355005,1,0.454545455,0.5,no
OG0000224,0.064935065,0.5,0,0.5,no
OG0000345,0.064935065,0.5,0,0.5,no
OG0000450,0.064935065,0.5,0,0.5,no
OG0000581,0.064935065,0.5,0,0.5,no
OG0000605,0.064935065,0.5,0,0.5,no
OG0000781,0.064935065,0.5,0,0.5,no
OG0001069,0.064935065,0.5,0,0.5,no
OG0001235,0.064935065,0.5,0,0.5,no
OG0001784,0.064935065,0.5,0,0.5,no
OG0002329,0.064935065,0.5,0,0.5,no
OG0002642,0.064935065,0.5,0,0.5,no
OG0003056,0.064935065,0.5,0,0.5,no
OG0003157,0.064935065,0.5,0,0.5,no
OG0004083,0.064935065,0.5,0,0.5,no
OG0004560,0.064935065,0.5,0,0.5,no
OG0005007,0.064935065,0.5,0,0.5,no
OG0005134,0.064935065,0.5,0,0.5,no
OG0005166,0.064935065,0.5,0,0.5,no
OG0005277,0.064935065,0.5,0,0.5,no
OG0005290,0.064935065,0.5,0,0.5,no
OG0005372,0.064935065,0.5,0,0.5,no
OG0005543,0.064935065,0.5,0,0.5,no
OG0005766,0.064935065,0.5,0,0.5,no
OG0006465,0.064935065,0.5,0,0.5,no
OG0006928,0.064935065,0.5,0,0.5,no
OG0007290,0.064935065,0.5,0,0.5,no
OG0007383,0.064935065,0.5,0,0.5,no
OG0007797,0.064935065,0.5,0,0.5,no
OG0010578,0.064935065,0.5,0,0.5,no
OG0011011,0.064935065,0.5,0,0.5,no
OG0012045,0.064935065,0.5,0,0.5,no
OG0012766,0.064935065,0.5,0,0.5,no
OG0013291,0.064935065,0.5,0,0.5,no
OG0013610,0.064935065,0.5,0,0.5,no
OG0014089,0.064935065,0.5,0,0.5,no
OG0014309,0.064935065,0.5,0,0.5,no
OG0014358,0.064935065,0.5,0,0.5,no
OG0014362,0.064935065,0.5,0,0.5,no
OG0014467,0.064935065,0.5,0,0.5,no
OG0014469,0.064935065,0.5,0,0.5,no
OG0015110,0.064935065,0.5,0,0.5,no
OG0015132,0.064935065,0.5,0,0.5,no
OG0015162,0.064935065,0.5,0,0.5,no
OG0015190,0.064935065,0.5,0,0.5,no
OG0015210,0.064935065,0.5,0,0.5,no
OG0015227,0.064935065,0.5,0,0.5,no
OG0015279,0.064935065,0.5,0,0.5,no
OG0015291,0.064935065,0.5,0,0.5,no
OG0015388,0.064935065,0.5,0,0.5,no
OG0015420,0.064935065,0.5,0,0.5,no
OG0015530,0.064935065,0.5,0,0.5,no
OG0015541,0.064935065,0.5,0,0.5,no
OG0015650,0.064935065,0.5,0,0.5,no
OG0015772,0.064935065,0.5,0,0.5,no
OG0015961,0.064935065,0.5,0,0.5,no
OG0016004,0.064935065,0.5,0,0.5,no
OG0016288,0.064935065,0.5,0,0.5,no
OG0016316,0.064935065,0.5,0,0.5,no
OG0016327,0.064935065,0.5,0,0.5,no
OG0016362,0.064935065,0.5,0,0.5,no
OG0016387,0.064935065,0.5,0,0.5,no
OG0016405,0.064935065,0.5,0,0.5,no
OG0016426,0.064935065,0.5,0,0.5,no
OG0016429,0.064935065,0.5,0,0.5,no
OG0016536,0.064935065,0.5,0,0.5,no
OG0016724,0.064935065,0.5,0,0.5,no
OG0016817,0.064935065,0.5,0,0.5,no
OG0016825,0.064935065,0.5,0,0.5,no
OG0016839,0.064935065,0.5,0,0.5,no
OG0016844,0.064935065,0.5,0,0.5,no
OG0017157,0.064935065,0.5,0,0.5,no
OG0017250,0.064935065,0.5,0,0.5,no
OG0017288,0.064935065,0.5,0,0.5,no
OG0017728,0.064935065,0.5,0,0.5,no
OG0017732,0.064935065,0.5,0,0.5,no
OG0017737,0.064935065,0.5,0,0.5,no
OG0017751,0.064935065,0.5,0,0.5,no
OG0017752,0.064935065,0.5,0,0.5,no
OG0017758,0.064935065,0.5,0,0.5,no
OG0017760,0.064935065,0.5,0,0.5,no
OG0017841,0.064935065,0.5,0,0.5,no
OG0017851,0.064935065,0.5,0,0.5,no
OG0017883,0.064935065,0.5,0,0.5,no
OG0017895,0.064935065,0.5,0,0.5,no
OG0017930,0.064935065,0.5,0,0.5,no
OG0017939,0.064935065,0.5,0,0.5,no
OG0018097,0.064935065,0.5,0,0.5,no
OG0018475,0.064935065,0.5,0,0.5,no
OG0018528,0.064935065,0.5,0,0.5,no
OG0018568,0.064935065,0.5,0,0.5,no
OG0018667,0.064935065,0.5,0,0.5,no
OG0018683,0.064935065,0.5,0,0.5,no
OG0018704,0.064935065,0.5,0,0.5,no
OG0018729,0.064935065,0.5,0,0.5,no
OG0018781,0.064935065,0.5,0,0.5,no
OG0018904,0.064935065,0.5,0,0.5,no
OG0018908,0.064935065,0.5,0,0.5,no
OG0018914,0.064935065,0.5,0,0.5,no
OG0019145,0.064935065,0.5,0,0.5,no
OG0019398,0.064935065,0.5,0,0.5,no
OG0019403,0.064935065,0.5,0,0.5,no
OG0019408,0.064935065,0.5,0,0.5,no
OG0019418,0.064935065,0.5,0,0.5,no
OG0019423,0.064935065,0.5,0,0.5,no
OG0019424,0.064935065,0.5,0,0.5,no
OG0019438,0.064935065,0.5,0,0.5,no
OG0019455,0.064935065,0.5,0,0.5,no
OG0019504,0.064935065,0.5,0,0.5,no
OG0019512,0.064935065,0.5,0,0.5,no
OG0019514,0.064935065,0.5,0,0.5,no
OG0019518,0.064935065,0.5,0,0.5,no
OG0019519,0.064935065,0.5,0,0.5,no
OG0019530,0.064935065,0.5,0,0.5,no
OG0019570,0.064935065,0.5,0,0.5,no
OG0019577,0.064935065,0.5,0,0.5,no
OG0019587,0.064935065,0.5,0,0.5,no
OG0019595,0.064935065,0.5,0,0.5,no
OG0019614,0.064935065,0.5,0,0.5,no
OG0019626,0.064935065,0.5,0,0.5,no
OG0019641,0.064935065,0.5,0,0.5,no
OG0019684,0.064935065,0.5,0,0.5,no
OG0019688,0.064935065,0.5,0,0.5,no
OG0019700,0.064935065,0.5,0,0.5,no
OG0019702,0.064935065,0.5,0,0.5,no
OG0019715,0.064935065,0.5,0,0.5,no
OG0019779,0.064935065,0.5,0,0.5,no
OG0019816,0.064935065,0.5,0,0.5,no
