OG_symbol	selection	species
OG0008689	positive	Ammex
OG0011187	positive	Ammex
OG0006377	positive	Ammex
OG0009036	positive	Ammex
OG0011450	positive	Ammex
OG0007674	positive	Ammex
OG0008763	positive	Ammex
OG0011161	positive	Ammex
OG0010018	positive	Ammex
OG0006258	positive	Ammex
OG0011677	positive	Ammex
OG0007931	positive	Ammex
OG0013202	positive	Ammex
OG0007149	positive	Ammex
OG0012386	positive	Ammex
OG0008767	positive	Ammex
OG0008716	positive	Ammex
OG0011370	positive	Ammex
OG0008934	positive	Ammex
OG0011175	positive	Ammex
OG0012361	positive	Ammex
OG0009506	positive	Ammex
OG0011641	positive	Ammex
OG0011990	positive	Ammex
OG0008787	positive	Ammex
OG0006187	positive	Ammex
OG0007527	positive	Ammex
OG0006625	positive	Ammex
OG0009724	positive	Ammex
OG0008538	positive	Ammex
OG0013041	positive	Ammex
OG0009199	positive	Ammex
OG0007250	positive	Ammex
OG0010560	positive	Ammex
OG0013095	positive	Ammex
OG0007466	positive	Ammex
OG0009884	positive	Ammex
OG0009740	positive	Ammex
OG0008468	positive	Ammex
OG0006450	positive	Ammex
OG0010939	positive	Ammex
OG0012859	positive	Ammex
OG0012199	positive	Ammex
OG0009644	positive	Ammex
OG0011047	positive	Ammex
OG0007769	positive	Ammex
OG0006775	positive	Ammex
OG0011006	positive	Ammex
OG0009834	positive	Ammex
OG0012053	positive	Ammex
OG0010292	positive	Ammex
OG0011786	positive	Ammex
OG0007932	positive	Ammex
OG0009241	positive	Ammex
OG0009407	positive	Ammex
OG0007749	positive	Ammex
OG0010918	positive	Ammex
OG0009341	positive	Ammex
OG0012350	positive	Ammex
OG0009314	positive	Ammex
OG0008128	positive	Ammex
OG0008157	positive	Ammex
OG0007463	positive	Ammex
OG0007312	positive	Ammex
OG0007999	positive	Ammex
OG0010679	positive	Ammex
OG0007027	positive	Ammex
OG0011523	positive	Ammex
OG0007859	positive	Ammex
OG0010084	positive	Ammex
OG0007943	positive	Ammex
OG0010518	positive	Ammex
OG0008108	positive	Ammex
OG0007592	positive	Ammex
OG0010342	positive	Ammex
OG0011216	positive	Ammex
OG0009680	positive	Ammex
OG0010163	positive	Ammex
OG0010884	positive	Ammex
OG0011139	positive	Ammex
OG0011898	positive	Ammex
OG0010463	positive	Ammex
OG0011154	positive	Ammex
OG0006604	positive	Ammex
OG0010270	positive	Ammex
OG0011777	positive	Ammex
OG0011505	positive	Ammex
OG0008161	positive	Ammex
OG0008140	positive	Ammex
OG0008516	positive	Ammex
OG0008302	positive	Ammex
OG0009651	positive	Ammex
OG0006933	positive	Ammex
OG0012193	positive	Ammex
OG0012847	positive	Ammex
OG0011323	positive	Ammex
OG0009304	positive	Ammex
OG0010395	positive	Ammex
OG0011325	positive	Ammex
OG0007967	positive	Ammex
OG0007969	positive	Ammex
OG0007934	positive	Ammex
OG0011103	positive	Ammex
OG0008455	positive	Ammex
OG0012551	positive	Ammex
OG0011155	positive	Ammex
OG0009862	positive	Ammex
OG0008982	positive	Ammex
OG0005500	positive	Ammex
OG0006465	positive	Ammex
OG0012867	positive	Ammex
OG0010896	positive	Ammex
OG0008102	positive	Ammex
OG0010917	positive	Ammex
OG0009264	positive	Ammex
OG0008891	positive	Ammex
OG0006636	positive	Ammex
OG0011082	positive	Ammex
