OG_symbol	selection	species
OG0008051	positive	Asmec
OG0010964	positive	Asmec
OG0010603	positive	Asmec
OG0006515	positive	Asmec
OG0009283	positive	Asmec
OG0011175	positive	Asmec
OG0009107	positive	Asmec
OG0010030	positive	Asmec
OG0009401	positive	Asmec
OG0009974	positive	Asmec
OG0010066	positive	Asmec
OG0008884	positive	Asmec
OG0013093	positive	Asmec
OG0010464	positive	Asmec
OG0005960	positive	Asmec
OG0010278	positive	Asmec
OG0007686	positive	Asmec
OG0007148	positive	Asmec
OG0010479	positive	Asmec
OG0008101	positive	Asmec
OG0009599	positive	Asmec
OG0008890	positive	Asmec
OG0011013	positive	Asmec
OG0012199	positive	Asmec
OG0006380	positive	Asmec
OG0010280	positive	Asmec
OG0006326	positive	Asmec
OG0009872	positive	Asmec
OG0011204	positive	Asmec
OG0006558	positive	Asmec
OG0011786	positive	Asmec
OG0009983	positive	Asmec
OG0009520	positive	Asmec
OG0012866	positive	Asmec
OG0010342	positive	Asmec
OG0011216	positive	Asmec
OG0010043	positive	Asmec
OG0011878	positive	Asmec
OG0010163	positive	Asmec
OG0008120	positive	Asmec
OG0011988	positive	Asmec
OG0011944	positive	Asmec
OG0009660	positive	Asmec
OG0006604	positive	Asmec
OG0009233	positive	Asmec
OG0008489	positive	Asmec
OG0008666	positive	Asmec
OG0008103	positive	Asmec
OG0009538	positive	Asmec
OG0011854	positive	Asmec
OG0011888	positive	Asmec
OG0011160	positive	Asmec
OG0009616	positive	Asmec
OG0007479	positive	Asmec
OG0008418	positive	Asmec
OG0005608	positive	Asmec
OG0007967	positive	Asmec
OG0011953	positive	Asmec
OG0010482	positive	Asmec
OG0011384	positive	Asmec
OG0011538	positive	Asmec
OG0009828	positive	Asmec
OG0006325	positive	Asmec
OG0008102	positive	Asmec
OG0012518	positive	Asmec
OG0010489	positive	Asmec
OG0009262	positive	Asmec
OG0008701	positive	Asmec
OG0008992	positive	Asmec
OG0013315	positive	Asmec
OG0006916	positive	Asmec
OG0007835	positive	Asmec
OG0008912	positive	Asmec
OG0007570	positive	Asmec
OG0010250	positive	Asmec
OG0011481	positive	Asmec
OG0012623	positive	Asmec
OG0007045	positive	Asmec
OG0010170	positive	Asmec
OG0008816	positive	Asmec
OG0010574	positive	Asmec
OG0007907	positive	Asmec
OG0008483	positive	Asmec
OG0010383	positive	Asmec
OG0007994	positive	Asmec
OG0007277	positive	Asmec
OG0007050	positive	Asmec
OG0009291	positive	Asmec
OG0011882	positive	Asmec
OG0013380	positive	Asmec
OG0006719	positive	Asmec
OG0007622	positive	Asmec
OG0011966	positive	Asmec
OG0011969	positive	Asmec
OG0009226	positive	Asmec
OG0011348	positive	Asmec
OG0012367	positive	Asmec
OG0009398	positive	Asmec
OG0009038	positive	Asmec
OG0013310	positive	Asmec
OG0005734	positive	Asmec
OG0008199	positive	Asmec
OG0010339	positive	Asmec
OG0012869	positive	Asmec
OG0011465	positive	Asmec
OG0012188	positive	Asmec
OG0009957	positive	Asmec
OG0011796	positive	Asmec
OG0009976	positive	Asmec
OG0006527	positive	Asmec
OG0009236	positive	Asmec
OG0007006	positive	Asmec
OG0008969	positive	Asmec
OG0011015	positive	Asmec
OG0009307	positive	Asmec
OG0011805	positive	Asmec
OG0006657	positive	Asmec
OG0009585	positive	Asmec
OG0007367	positive	Asmec
OG0008733	positive	Asmec
OG0011559	positive	Asmec
OG0007987	positive	Asmec
OG0012820	positive	Asmec
OG0011385	positive	Asmec
OG0011866	positive	Asmec
OG0007848	positive	Asmec
OG0009784	positive	Asmec
OG0006045	positive	Asmec
OG0007775	positive	Asmec
OG0013137	positive	Asmec
OG0007036	positive	Asmec
OG0012896	positive	Asmec
OG0011406	positive	Asmec
OG0008518	positive	Asmec
OG0007488	positive	Asmec
OG0008198	positive	Asmec
OG0007359	positive	Asmec
OG0009346	positive	Asmec
OG0008171	positive	Asmec
OG0009689	positive	Asmec
OG0007951	positive	Asmec
OG0008321	positive	Asmec
OG0007222	positive	Asmec
OG0011117	positive	Asmec
OG0009180	positive	Asmec
OG0013366	positive	Asmec
OG0008578	positive	Asmec
OG0006232	positive	Asmec
OG0008665	positive	Asmec
OG0008863	positive	Asmec
OG0011146	positive	Asmec
OG0010472	positive	Asmec
OG0008373	positive	Asmec
OG0008557	positive	Asmec
OG0007380	positive	Asmec
OG0009141	positive	Asmec
OG0011357	positive	Asmec
OG0004898	positive	Asmec
OG0007590	positive	Asmec
OG0007377	positive	Asmec
OG0011382	positive	Asmec
OG0011727	positive	Asmec
OG0007574	positive	Asmec
OG0009260	positive	Asmec
OG0009819	positive	Asmec
OG0012050	positive	Asmec
OG0012157	positive	Asmec
OG0008464	positive	Asmec
OG0008599	positive	Asmec
OG0010784	positive	Asmec
OG0006549	positive	Asmec
OG0012076	positive	Asmec
OG0009673	positive	Asmec
OG0008244	positive	Asmec
OG0007716	positive	Asmec
OG0012056	positive	Asmec
OG0009496	positive	Asmec
OG0007454	positive	Asmec
OG0007174	positive	Asmec
OG0010914	positive	Asmec
OG0008851	positive	Asmec
OG0010060	positive	Asmec
OG0007280	positive	Asmec
OG0008009	positive	Asmec
OG0011297	positive	Asmec
OG0013724	positive	Asmec
OG0007446	positive	Asmec
OG0007105	positive	Asmec
OG0011958	positive	Asmec
OG0010900	positive	Asmec
OG0009245	positive	Asmec
OG0008392	positive	Asmec
OG0011492	positive	Asmec
OG0008178	positive	Asmec
OG0009769	positive	Asmec
OG0010137	positive	Asmec
OG0007004	positive	Asmec
OG0006878	positive	Asmec
OG0010585	positive	Asmec
OG0007014	positive	Asmec
OG0008624	positive	Asmec
OG0012083	positive	Asmec
OG0013034	positive	Asmec
OG0008366	positive	Asmec
OG0009830	positive	Asmec
OG0009343	positive	Asmec
OG0010230	positive	Asmec
OG0008974	positive	Asmec
OG0006065	positive	Asmec
OG0007495	positive	Asmec
OG0009055	positive	Asmec
OG0013066	positive	Asmec
OG0009273	positive	Asmec
OG0010074	positive	Asmec
OG0005717	positive	Asmec
OG0009954	positive	Asmec
OG0009251	positive	Asmec
OG0011417	positive	Asmec
OG0011848	positive	Asmec
OG0007839	positive	Asmec
OG0012005	positive	Asmec
OG0008131	positive	Asmec
OG0008640	positive	Asmec
OG0010067	positive	Asmec
OG0008784	positive	Asmec
OG0011238	positive	Asmec
OG0009988	positive	Asmec
OG0012210	positive	Asmec
OG0012967	positive	Asmec
OG0007543	positive	Asmec
OG0009741	positive	Asmec
OG0007995	positive	Asmec
OG0007410	positive	Asmec
OG0011164	positive	Asmec
OG0008827	positive	Asmec
OG0009845	positive	Asmec
OG0010385	positive	Asmec
OG0008360	positive	Asmec
OG0010026	positive	Asmec
OG0007725	positive	Asmec
OG0006937	positive	Asmec
OG0007899	positive	Asmec
OG0011822	positive	Asmec
OG0011108	positive	Asmec
OG0010863	positive	Asmec
OG0012671	positive	Asmec
OG0012294	positive	Asmec
OG0011190	positive	Asmec
OG0012347	positive	Asmec
OG0010152	positive	Asmec
OG0007912	positive	Asmec
OG0011271	positive	Asmec
OG0011911	positive	Asmec
OG0012525	positive	Asmec
OG0006697	positive	Asmec
OG0011744	positive	Asmec
OG0012509	positive	Asmec
OG0009011	positive	Asmec
OG0007886	positive	Asmec
OG0013142	positive	Asmec
OG0011685	positive	Asmec
OG0009732	positive	Asmec
OG0009188	positive	Asmec
OG0008858	positive	Asmec
OG0008684	positive	Asmec
OG0008305	positive	Asmec
OG0010344	positive	Asmec
OG0009708	positive	Asmec
OG0011962	positive	Asmec
OG0007485	positive	Asmec
OG0012741	positive	Asmec
OG0008440	positive	Asmec
OG0005118	positive	Asmec
OG0006601	positive	Asmec
OG0006055	positive	Asmec
OG0010433	positive	Asmec
OG0008474	positive	Asmec
OG0011762	positive	Asmec
OG0010042	positive	Asmec
OG0009551	positive	Asmec
OG0012522	positive	Asmec
OG0010493	positive	Asmec
OG0013295	positive	Asmec
OG0008722	positive	Asmec
OG0010161	positive	Asmec
OG0008213	positive	Asmec
OG0007273	positive	Asmec
OG0009562	positive	Asmec
OG0009887	positive	Asmec
OG0011431	positive	Asmec
OG0008158	positive	Asmec
OG0007492	positive	Asmec
OG0008364	positive	Asmec
OG0009448	positive	Asmec
OG0012168	positive	Asmec
OG0013379	positive	Asmec
OG0010763	positive	Asmec
OG0007785	positive	Asmec
OG0007825	positive	Asmec
OG0008235	positive	Asmec
OG0008997	positive	Asmec
OG0012184	positive	Asmec
