FamilyID	Leocu<1>	Luden<2>	Ornil<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Scvul<20>	Hegla<21>	Chlan<22>	Hosap<23>	Zoviv<24>	Tagut<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>
OG0000061	0.235707	0.000293477	0.0984896	0.000570403	0.249677	0.536227	0.00384401	5.22672e-18	0.500173	0.0891469	0.00540307	2.86681e-08	2.30458e-07	0.269824	0.673812	0.0398384	0.0662219	0.287725	6.446e-08	0.815953	8.70045e-05	1.61413e-09	0.0517369	0.288438	0.000169561	N/A	0.318341	0.0421965	0.0119465	0.648815	0.542569	0.0629827	0.567793	0.0013483	0.185491	0.00139173	0.553567	5.1379e-05	0.799689	9.71665e-05	3.71627e-06	1.36323e-05	0.174561	0.681188	0.687509	0.0586011	0.640341	0.705241	0.710263
OG0000066	0.928807	0.00127483	0.74594	5.88948e-06	0.35654	0.000182519	0.22682	1.12314e-47	1.41586e-23	0.214021	2.93141e-06	2.80754e-06	0.00104129	0.0198427	0.644841	0.861921	0.252612	0.0983864	0.00662395	0.742923	0.00055785	0.661107	0.771215	0.684307	0.00430739	N/A	0.00122332	0.0213002	0.000115609	0.702719	0.56411	0.651475	0.6356	0.746468	0.680837	0.80806	0.199577	0.284437	0.00673099	0.567832	0.00641242	0.17804	0.318457	0.62266	0.658467	0.653942	0.586931	0.208178	0.679696
OG0000074	0.000235534	0.0019827	0.481304	0.000724392	0.00433883	0.357821	1.1262e-06	1.01786e-23	7.22165e-05	0.000535219	0.00013777	3.17559e-12	0.693062	0.0975901	0.00857626	2.75203e-07	0.00730866	5.56579e-12	0.0513894	0.218313	0.69626	0.00132837	0.12373	0.684307	0.00842994	N/A	0.827415	0.0801978	0.00711134	0.0832106	0.540074	0.601135	0.82199	5.2469e-05	0.486627	0.00101188	0.826165	0.121117	0.425377	0.572122	0.00641242	4.26945e-06	0.000721539	0.686705	0.658467	0.456976	0.601455	0.65561	0.679696
OG0000077	0.13879	0.0195854	2.73997e-15	0.820768	0.179076	0.0256816	0.00057803	1.84131e-18	2.43833e-11	0.772129	0.000692045	0.861417	0.774324	1.58521e-07	0.0269283	0.366419	0.581669	5.62782e-06	0.0203416	0.696368	0.00587704	0.633452	0.164036	0.4831	0.132025	N/A	0.0141673	0.0801978	0.0189733	0.57556	0.519336	0.551649	8.81067e-08	0.0163676	0.570694	0.832356	0.00188584	0.00884969	0.0056413	0.622192	0.666819	0.638766	5.63965e-06	0.607132	0.584157	0.0696539	0.563494	0.601845	0.148701
OG0000078	0.913877	0.250033	0.598708	0.386473	0.0210578	0.429911	0.85473	0.000389842	0.50026	0.719067	0.0227832	0.340279	0.723645	0.0334465	0.280621	0.881744	2.9147e-07	0.329488	0.0328507	0.0196572	0.019316	0.706532	0.812105	0.668773	0.131159	N/A	0.318341	0.323234	0.825397	0.602577	0.527277	0.571296	0.82199	0.685483	0.596845	0.0761942	0.144743	1.79476e-05	0.240037	0.588623	0.00641242	0.00775103	0.112651	0.0908541	0.658467	0.115565	0.615165	0.269427	0.278767
OG0000080	0.179337	1.29721e-06	5.31184e-11	0.361557	0.354985	3.14015e-08	0.00452286	0.500231	0.000346539	0.0270396	0.0625004	0.0575827	0.0527096	0.000134366	0.000840738	0.408521	0.721653	8.56652e-12	5.53128e-07	0.573628	0.0236256	0.0676525	0.588936	5.19083e-09	1.37735e-06	N/A	0.812856	0.267949	0.800243	0.584886	0.522005	0.0317273	0.0229357	0.697503	0.0449258	0.76172	0.798954	0.21067	3.05474e-06	0.584594	0.0472378	1.72215e-13	0.0319045	0.69723	0.636354	8.30372e-06	0.519514	0.532897	0.655886
OG0000082	0.0111744	0.0130063	0.00619952	0.0264311	0.000256979	0.452332	0.869531	0.500231	0.500231	0.0130179	0.000535219	0.375895	0.75439	0.151454	0.710037	0.423239	0.628436	0.186331	0.000135251	0.273255	0.618149	0.180145	0.704438	0.0334652	2.70729e-05	N/A	0.0404642	0.848805	0.835233	0.610967	0.52988	0.0435279	0.330668	0.708697	0.0133668	0.0153895	0.553567	5.1379e-05	0.0252805	0.607849	0.166511	0.000354847	0.336644	0.630045	0.636354	0.046212	0.555212	0.589409	0.655886
OG0000083	1.02572e-05	3.51605e-11	1.34411e-10	0.0056194	2.87629e-06	2.72841e-06	0.596895	0.000476436	7.33999e-08	0.114504	3.17899e-05	0.699939	0.0553096	0.571871	0.00135162	0.000701738	0.0101547	0.585884	3.41577e-13	0.755438	5.37826e-05	5.31584e-07	0.783277	0.171387	5.24466e-05	N/A	0.00122332	0.863131	0.0148481	7.63153e-05	0.554736	3.52959e-05	0.0320484	0.685483	0.384238	0.00394281	0.741433	0.314439	0.643042	0.530944	0.726246	0.0393678	0.805718	0.598969	0.624363	0.0683158	0.594299	0.645878	0.000337517
OG0000089	0.447013	0.00149542	0.0720762	0.199796	0.0463159	0.357821	0.00776579	4.59784e-40	7.42095e-12	0.731597	0.731597	0.143351	0.158024	0.269824	0.116045	0.366419	0.00619338	0.000263099	0.0463229	0.186723	0.115078	0.0118339	0.433508	0.45284	0.650738	N/A	0.318341	0.0421965	0.115582	0.634454	0.537557	0.59544	0.350719	0.719133	0.293018	0.783047	0.158985	0.241927	0.00100342	0.584594	0.166511	0.148595	0.278464	0.607132	0.636354	0.409579	0.586931	0.635664	0.655886
OG0000091	0.00428661	0.000229058	0.152172	0.0833362	0.430513	0.877693	0.444416	4.17315e-10	0.500058	2.96405e-05	6.48751e-07	0.00101566	0.000293203	1.52441e-05	0.644841	1.19835e-09	0.0217444	1.93111e-07	1.14241e-11	0.67713	0.180145	0.618149	0.704438	0.859319	0.241787	N/A	0.794808	0.108254	0.0245642	0.610967	0.52988	0.577544	0.796442	0.00051094	0.00666986	3.65733e-05	0.818158	0.0184008	0.76578	0.0016845	0.0366241	8.18986e-13	0.0924731	0.681188	0.190179	0.567204	0.555212	0.589409	0.628817
