FamilyID	Leocu<1>	Luden<2>	Ornil<3>	Thmac<4>	Mymur<5>	Gamor<6>	Ammel<7>	Asmec<8>	Asmes<9>	Trros<10>	Trtib<11>	Darer<12>	Sirhi<13>	Sigra<14>	Sians<15>	Ammex<16>	Plwal<17>	Prang<18>	Xetro<19>	Scvul<20>	Hegla<21>	Chlan<22>	Hosap<23>	Zoviv<24>	Tagut<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>
OG0000061	-3	-7	3	8	2	1	-4	-4	0	2	-3	11	7	-1	0	-4	4	2	18	0	5	-8	3	2	-8	0	1	3	4	0	0	1	-1	-3	-2	4	-1	6	0	-3	6	6	2	0	0	4	0	0	0
OG0000066	0	-8	-1	13	2	11	2	-11	6	1	-6	8	-3	2	0	0	-2	3	6	0	-3	0	0	-1	6	0	5	4	8	0	0	0	-1	0	-1	0	-2	1	-3	0	3	1	1	0	0	-1	0	-1	0
OG0000074	-7	-6	1	7	6	-2	-6	-5	1	-4	5	14	0	1	-2	-11	6	21	5	1	0	-3	2	-1	-5	0	0	2	4	1	0	0	0	-4	-1	4	0	2	-1	0	3	6	6	0	0	1	0	0	0
OG0000077	3	-3	19	0	-2	-3	9	5	-3	0	-4	0	0	7	-2	1	-1	9	-3	0	-2	0	1	-1	-2	0	3	2	-3	0	0	0	10	3	1	0	-5	4	4	0	0	0	6	0	0	2	0	0	-1
OG0000078	0	-2	-1	1	4	1	0	-1	0	0	-2	1	0	2	-1	0	12	-2	5	3	-2	0	0	-1	-3	0	1	1	0	0	0	0	0	0	-1	2	-2	6	1	0	3	3	2	1	0	3	0	-1	-1
OG0000080	-3	-7	15	1	1	-8	5	0	-1	-2	2	-2	2	4	-3	-2	-1	21	17	0	1	-1	0	15	-8	0	0	1	0	0	0	1	3	0	-3	0	0	1	6	0	2	12	4	0	0	-7	0	0	0
OG0000082	7	-4	5	4	-6	1	0	0	0	3	-4	1	0	1	0	1	-1	2	10	-1	0	-1	0	4	-7	0	3	0	0	0	0	1	1	0	-4	3	-1	6	3	0	1	4	1	0	0	-3	0	0	0
OG0000083	16	-15	20	7	13	-10	-1	-1	2	1	-4	0	1	0	-2	-5	4	-1	22	0	-4	6	0	-2	-5	0	5	0	4	4	0	4	-3	0	1	-3	0	-1	0	0	0	2	0	0	0	3	0	0	-3
OG0000089	-2	-6	3	2	4	-2	5	-9	3	0	0	-2	1	-1	1	1	-4	7	4	1	1	-2	-1	1	-1	0	1	3	2	0	0	0	1	0	-2	0	-2	1	4	0	1	1	1	0	0	1	0	0	0
OG0000091	-5	-6	2	3	1	0	-1	-2	0	-5	7	5	4	-4	0	-13	5	14	24	0	-1	0	0	0	-2	0	0	2	3	0	0	0	0	-3	-3	5	0	3	0	-2	2	11	3	0	-1	-1	0	0	0
OG0000092	-3	-6	5	3	2	-7	-8	12	-4	23	-7	-7	6	-1	2	-2	0	11	10	0	0	0	0	3	-4	0	1	3	0	1	0	1	1	0	2	4	2	1	9	0	0	7	3	0	-1	-4	0	0	0
OG0000093	-1	-1	0	1	1	-3	0	0	0	-1	1	-5	0	1	0	-3	1	1	1	0	0	0	0	0	1	0	2	2	0	0	0	0	1	0	1	0	-1	1	7	0	1	0	0	0	0	1	0	0	0
OG0000097	-1	1	1	1	1	1	-1	-6	3	1	0	-5	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2	2	2	0	0	0	0	0	-2	1	0	1	12	1	0	0	0	0	0	1	0	0	0
OG0000098	-3	-4	-2	5	5	4	-1	-1	7	0	-5	-3	2	-1	2	-2	6	1	6	0	0	0	0	-1	-1	0	2	4	3	0	0	0	0	0	6	0	-3	1	7	0	0	7	3	0	-2	-2	0	0	0
OG0000100	-5	-1	13	-2	-2	0	4	0	-1	3	-4	-1	2	-1	1	-1	2	3	6	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	-5	2	0	3	5	0	1	5	3	0	0	-5	0	0	0
OG0000101	-2	0	2	0	2	-1	0	-2	2	0	0	0	-1	1	0	1	4	0	-2	1	0	0	0	8	-2	0	1	1	0	0	0	0	0	0	-1	0	-2	5	2	1	1	0	3	0	0	-1	0	0	0
OG0000102	-1	-3	2	0	1	0	0	0	0	1	-4	0	0	0	1	-1	1	3	1	5	-1	0	-2	0	-2	0	1	1	0	0	0	0	3	0	1	0	-2	5	5	0	0	1	2	0	0	0	0	0	0
OG0000106	-1	4	4	-2	0	-1	1	0	0	0	-1	0	0	1	0	5	-2	11	2	16	-3	1	-5	7	-12	0	-2	-1	0	0	0	0	0	0	-1	0	0	-1	0	0	7	6	11	0	0	2	1	0	0
OG0000110	-2	-3	3	0	0	-3	12	4	-2	0	-2	2	-1	1	0	0	-2	2	-3	0	-1	1	5	0	-1	0	0	1	-1	0	0	0	5	3	1	0	-4	2	0	0	1	0	0	0	0	11	0	0	0
OG0000111	2	-4	11	0	-2	0	-3	2	0	7	-4	-2	1	4	-5	-1	-1	7	5	0	0	0	0	-1	1	0	4	3	1	0	0	1	2	0	5	1	0	0	2	0	0	1	0	0	-1	-3	0	0	0
OG0000114	4	-10	-1	12	-4	19	-11	-3	6	1	-2	7	0	-2	2	0	-1	-1	-1	0	0	0	0	0	0	0	7	3	3	0	0	0	0	-1	1	3	0	5	0	0	-1	0	0	0	-1	0	0	0	0
OG0000115	0	-3	0	0	2	-1	5	0	-1	0	0	-1	0	2	-1	2	-5	1	0	4	-2	0	1	2	0	0	1	1	0	0	0	0	2	1	-1	0	-2	1	4	0	0	0	0	0	0	2	0	-1	0
OG0000119	1	-6	0	1	2	-1	2	-5	3	-3	13	-10	4	1	-1	0	0	0	-2	0	0	0	0	1	-2	0	3	2	-2	0	0	0	6	0	-1	2	4	0	6	0	0	0	1	0	0	-2	-1	0	0
OG0000124	0	-6	22	1	-2	-1	-4	0	2	0	-1	16	2	0	-3	0	1	-1	0	-1	0	2	0	-1	0	0	3	2	0	0	0	2	2	0	2	2	-3	11	0	0	0	0	0	0	0	3	0	0	-1
OG0000128	-2	0	-2	6	1	-1	-3	0	0	-1	2	-2	3	0	-1	1	5	-1	2	0	0	0	0	0	-1	0	2	4	1	0	0	0	1	0	4	0	0	0	1	0	0	4	4	1	-1	-2	0	0	0
OG0000129	2	-5	2	4	1	-4	0	1	-1	0	-1	4	1	1	-3	4	-2	0	25	-1	0	0	1	0	-2	0	2	2	0	0	0	0	1	0	1	0	-9	4	0	0	0	5	0	0	-1	-1	0	0	0
OG0000131	-3	0	-2	-1	2	0	-2	0	0	0	0	0	2	0	-1	2	5	0	-2	1	-3	1	0	-3	3	0	0	1	0	0	0	0	0	0	0	0	-1	3	0	0	2	1	5	1	0	3	0	0	0
OG0000134	-1	1	0	2	0	-1	-3	0	0	-2	0	1	-1	0	0	0	-1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	-1	4	2	1	1	0	1	0	0	-1	0	0	0
OG0000135	0	-1	5	2	0	-2	1	0	0	0	0	-1	0	1	0	1	-1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	1	0	-1	0	-2	1	6	1	0	-1	-1	0	1	1	0	2	0
OG0000136	1	-5	6	-1	5	-6	-3	-9	13	-3	8	-2	0	17	-5	-1	0	3	2	0	0	0	-3	-2	0	0	2	1	0	0	0	0	4	0	0	5	2	1	5	0	0	0	0	0	0	0	0	0	-1
OG0000142	-2	2	-4	6	0	2	-1	-1	3	-1	0	-1	0	0	1	-1	6	0	11	2	0	-1	0	1	-4	0	0	1	2	0	0	0	0	0	1	0	-1	0	1	0	0	5	2	0	0	-2	0	0	0
OG0000143	1	-2	0	1	2	1	-2	-1	0	0	-1	0	0	0	1	0	1	-1	3	0	0	0	0	-1	0	0	2	1	0	0	0	0	1	0	0	1	-1	4	5	1	0	1	1	0	-1	-1	-1	0	0
OG0000145	0	1	1	1	1	-2	0	0	0	0	0	-1	0	0	0	0	-2	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	-1	2	5	1	0	0	-1	0	0	0	0	0	0
OG0000149	-5	-4	7	0	-4	3	0	1	0	0	-1	2	1	0	0	0	-2	6	5	0	0	0	3	2	-3	0	0	1	0	0	0	0	0	0	1	0	-2	0	-1	-1	1	4	2	0	0	0	0	-2	0
OG0000150	0	2	-1	4	-2	0	0	1	0	-1	0	-1	0	0	0	2	-2	3	6	0	1	0	0	0	-3	0	0	0	0	0	0	0	0	0	1	0	-2	0	2	0	2	2	1	0	0	0	0	0	0
OG0000151	-1	-3	0	0	-1	2	0	0	0	0	0	-1	1	0	0	0	-2	0	0	1	3	-1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	-1	2	5	0	0	0	-1	0	0	1	0	0	0
OG0000152	-1	1	0	1	1	1	0	-2	0	0	-2	-2	4	-2	3	-1	-1	0	1	0	0	0	0	0	-1	0	2	3	2	0	0	0	1	0	-1	0	0	2	7	0	0	0	0	0	0	0	0	0	0
OG0000154	0	1	0	0	0	0	0	0	0	-1	1	-1	0	-1	2	1	0	0	0	0	-1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0
OG0000155	-2	-3	6	5	0	-3	-3	-1	4	-2	0	0	-1	0	0	2	2	-2	2	-1	0	0	0	0	-2	0	0	2	0	0	0	2	1	0	2	1	-1	2	2	1	0	1	0	0	0	-1	0	0	0
OG0000157	0	-3	12	5	-3	-2	-1	-2	6	-1	0	-2	0	2	-1	2	-1	0	0	-1	0	-1	0	2	-2	0	1	0	0	0	0	4	0	0	2	0	0	1	5	0	0	1	1	0	0	0	0	0	0
OG0000158	3	-4	3	-1	10	-1	-2	-3	1	0	-2	0	-1	0	2	0	0	0	0	1	-1	0	0	0	0	0	4	2	3	0	0	0	0	0	0	0	-1	1	1	0	0	0	-1	0	0	0	0	0	0
OG0000159	0	17	-5	8	-2	-6	-5	-2	4	-3	0	2	1	1	-1	1	1	-2	3	0	-1	0	-1	-2	-1	0	1	1	0	0	0	0	0	0	1	1	-1	9	1	0	0	1	0	0	0	0	0	0	0
OG0000161	-1	-1	0	0	0	0	0	0	0	0	-1	2	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	-1	6	1	0	0	0	0	0	0	0	0	0	0
OG0000162	-4	-1	5	0	-1	-1	-2	1	0	0	-1	1	0	1	0	3	-1	4	-1	10	0	-2	-2	3	-4	0	0	0	0	0	0	0	1	0	0	1	0	3	1	0	1	0	3	0	0	0	0	0	0
OG0000164	1	-1	0	-1	4	2	0	0	1	0	0	9	0	-1	1	-1	2	5	-3	1	-3	1	0	4	-5	0	0	0	-1	-1	-2	0	1	0	2	0	-3	6	0	0	1	0	2	0	0	2	0	0	0
OG0000165	-2	-4	6	3	0	-2	-4	-1	3	-3	0	0	-1	0	1	3	-2	5	1	0	0	0	2	-2	0	0	1	2	0	0	0	2	0	0	2	1	-1	2	0	0	0	3	2	0	0	-1	0	0	0
OG0000166	-2	0	5	-2	-3	10	-3	0	1	1	-5	0	-1	0	1	-2	3	3	-2	-1	0	6	-1	14	-4	0	0	2	1	0	0	0	0	0	1	0	0	1	3	3	0	0	4	0	0	-1	0	0	0
OG0000168	-1	0	17	3	-3	-4	2	-1	3	-2	0	3	-1	1	-1	0	0	1	2	0	0	0	0	0	-2	0	1	2	1	1	0	3	1	0	1	0	-2	1	0	0	0	1	1	0	-1	-2	0	0	0
OG0000169	-2	0	2	0	0	-1	0	1	-1	0	1	2	-1	0	2	2	-2	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000170	0	0	0	0	0	0	0	0	0	-1	8	-4	3	4	-3	0	-1	1	4	2	-2	2	-1	1	-6	0	0	0	-4	0	0	0	1	0	-1	4	2	0	7	0	2	1	0	0	0	2	1	0	0
OG0000171	-1	0	1	-1	-1	-1	0	0	0	0	0	-1	12	-1	0	0	6	-1	2	0	0	-2	-1	4	-3	0	-1	0	0	0	0	0	0	-1	0	0	0	1	16	0	3	4	3	1	0	0	0	0	0
OG0000176	-1	-4	21	0	7	-6	1	0	-1	-1	0	1	3	-2	0	0	-2	1	-1	1	0	2	0	-2	11	0	0	1	1	1	0	0	0	0	-1	0	-2	5	0	0	0	-1	0	-1	1	2	0	0	0
OG0000177	-1	0	0	0	0	0	0	1	-1	0	0	-1	0	6	-2	0	-1	3	0	-1	0	-1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	-2	2	5	0	0	0	0	0	0	0	0	0	0
OG0000179	-2	-1	0	0	0	0	-1	-1	0	-1	0	-1	1	2	0	1	1	0	-1	0	0	0	0	0	-1	0	1	2	1	0	0	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0
