#Taxon_ID	Increase	Decrease
<31>	6	92
Luden<2>	1452	1954
<27>	657	127
<35>	477	526
Leocu<1>	536	3267
<36>	636	362
<32>	78	1
Asmec<8>	309	980
<28>	2325	347
<29>	860	1280
Thmac<4>	500	1134
Mymur<5>	558	1482
<37>	94	1442
Gamor<6>	577	2474
<33>	835	616
<30>	31	135
Ornil<3>	774	1277
Asmes<9>	379	342
<34>	58	1088
<42>	298	457
<43>	817	320
Ammel<7>	704	2172
Darer<12>	811	2005
<39>	8037	188
<40>	990	230
Xetro<19>	631	2706
<45>	32	2073
Zoviv<24>	926	573
<46>	502	1087
Sigra<14>	2154	1645
Trtib<11>	577	1684
<38>	2847	300
Trros<10>	501	793
<41>	87	4
Hosap<23>	237	595
<49>	14	480
Tagut<25>	302	1939
Sirhi<13>	1826	794
<44>	55	930
Ammex<16>	2108	1714
Plwal<17>	980	6365
Sians<15>	1331	1729
<47>	25	66
Scvul<20>	1341	417
<48>	43	411
Prang<18>	3100	1450
Hegla<21>	368	592
Chlan<22>	271	667
