OG_symbol	selection	species
OG0011187	positive	Hegla
OG0011669	positive	Hegla
OG0012213	positive	Hegla
OG0009827	positive	Hegla
OG0008831	positive	Hegla
OG0008634	positive	Hegla
OG0008822	positive	Hegla
OG0012630	positive	Hegla
OG0012956	positive	Hegla
OG0007102	positive	Hegla
OG0010652	positive	Hegla
OG0009517	positive	Hegla
OG0006575	positive	Hegla
OG0010337	positive	Hegla
OG0012386	positive	Hegla
OG0009283	positive	Hegla
OG0009355	positive	Hegla
OG0011175	positive	Hegla
OG0008613	positive	Hegla
OG0009510	positive	Hegla
OG0011916	positive	Hegla
OG0007840	positive	Hegla
OG0006387	positive	Hegla
OG0011980	positive	Hegla
OG0007398	positive	Hegla
OG0010848	positive	Hegla
OG0007291	positive	Hegla
OG0010415	positive	Hegla
OG0008538	positive	Hegla
OG0013093	positive	Hegla
OG0008071	positive	Hegla
OG0009199	positive	Hegla
OG0008777	positive	Hegla
OG0011720	positive	Hegla
OG0007365	positive	Hegla
OG0011132	positive	Hegla
OG0009884	positive	Hegla
OG0010252	positive	Hegla
OG0007576	positive	Hegla
OG0008642	positive	Hegla
OG0008101	positive	Hegla
OG0011107	positive	Hegla
OG0006371	positive	Hegla
OG0012199	positive	Hegla
OG0011951	positive	Hegla
OG0007989	positive	Hegla
OG0006536	positive	Hegla
OG0007693	positive	Hegla
OG0009120	positive	Hegla
OG0011791	positive	Hegla
OG0012321	positive	Hegla
OG0011489	positive	Hegla
OG0010696	positive	Hegla
OG0011496	positive	Hegla
OG0010573	positive	Hegla
OG0009138	positive	Hegla
OG0010096	positive	Hegla
OG0007758	positive	Hegla
OG0007171	positive	Hegla
OG0007336	positive	Hegla
OG0012558	positive	Hegla
OG0006026	positive	Hegla
OG0011931	positive	Hegla
OG0011630	positive	Hegla
OG0008157	positive	Hegla
OG0007312	positive	Hegla
OG0008700	positive	Hegla
OG0007829	positive	Hegla
OG0007459	positive	Hegla
OG0008991	positive	Hegla
OG0008839	positive	Hegla
OG0011887	positive	Hegla
OG0011549	positive	Hegla
OG0007943	positive	Hegla
OG0008909	positive	Hegla
OG0011739	positive	Hegla
OG0009263	positive	Hegla
OG0009385	positive	Hegla
OG0008922	positive	Hegla
OG0009890	positive	Hegla
OG0009634	positive	Hegla
OG0007978	positive	Hegla
OG0011216	positive	Hegla
OG0010647	positive	Hegla
OG0010609	positive	Hegla
OG0007646	positive	Hegla
OG0008129	positive	Hegla
OG0013351	positive	Hegla
OG0008717	positive	Hegla
OG0009002	positive	Hegla
OG0010463	positive	Hegla
OG0006947	positive	Hegla
OG0008185	positive	Hegla
OG0011307	positive	Hegla
OG0010031	positive	Hegla
OG0009779	positive	Hegla
OG0010604	positive	Hegla
OG0012957	positive	Hegla
OG0011767	positive	Hegla
OG0010849	positive	Hegla
OG0008885	positive	Hegla
OG0011312	positive	Hegla
OG0012527	positive	Hegla
OG0011747	positive	Hegla
OG0006136	positive	Hegla
OG0007655	positive	Hegla
OG0013443	positive	Hegla
OG0009505	positive	Hegla
OG0008608	positive	Hegla
OG0006552	positive	Hegla
OG0010058	positive	Hegla
OG0011710	positive	Hegla
OG0007479	positive	Hegla
OG0011325	positive	Hegla
OG0007687	positive	Hegla
OG0012839	positive	Hegla
OG0010404	positive	Hegla
OG0009206	positive	Hegla
OG0007743	positive	Hegla
OG0009637	positive	Hegla
OG0012798	positive	Hegla
OG0011333	positive	Hegla
OG0009862	positive	Hegla
OG0007915	positive	Hegla
OG0006919	positive	Hegla
OG0011538	positive	Hegla
OG0008113	positive	Hegla
OG0009358	positive	Hegla
OG0011939	positive	Hegla
OG0011012	positive	Hegla
OG0010917	positive	Hegla
OG0009264	positive	Hegla
OG0010489	positive	Hegla
OG0010108	positive	Hegla
OG0009262	positive	Hegla
OG0011865	positive	Hegla
OG0007026	positive	Hegla
OG0006616	positive	Hegla
OG0006352	positive	Hegla
OG0008410	positive	Hegla
OG0013315	positive	Hegla
OG0008018	positive	Hegla
OG0007603	positive	Hegla
OG0012497	positive	Hegla
OG0009148	positive	Hegla
OG0006470	positive	Hegla
OG0008912	positive	Hegla
OG0008469	positive	Hegla
OG0007755	positive	Hegla
OG0005831	positive	Hegla
OG0006159	positive	Hegla
OG0012246	positive	Hegla
OG0008815	positive	Hegla
OG0008591	positive	Hegla
OG0008764	positive	Hegla
OG0012907	positive	Hegla
OG0007719	positive	Hegla
OG0007313	positive	Hegla
OG0006525	positive	Hegla
OG0012557	positive	Hegla
OG0007614	positive	Hegla
OG0009076	positive	Hegla
OG0006580	positive	Hegla
OG0007223	positive	Hegla
OG0005260	positive	Hegla
OG0009504	positive	Hegla
OG0007688	positive	Hegla
OG0010444	positive	Hegla
OG0013341	positive	Hegla
OG0007019	positive	Hegla
OG0007443	positive	Hegla
OG0012605	positive	Hegla
OG0011251	positive	Hegla
OG0007319	positive	Hegla
OG0010054	positive	Hegla
OG0007386	positive	Hegla
OG0008152	positive	Hegla
OG0006197	positive	Hegla
OG0013022	positive	Hegla
OG0008032	positive	Hegla
OG0010980	positive	Hegla
OG0008419	positive	Hegla
OG0009164	positive	Hegla
OG0012367	positive	Hegla
OG0008004	positive	Hegla
OG0011295	positive	Hegla
OG0012533	positive	Hegla
OG0008902	positive	Hegla
OG0009567	positive	Hegla
OG0011403	positive	Hegla
OG0010013	positive	Hegla
OG0009515	positive	Hegla
OG0010020	positive	Hegla
OG0009110	positive	Hegla
OG0009962	positive	Hegla
OG0011364	positive	Hegla
OG0009281	positive	Hegla
OG0009142	positive	Hegla
OG0007046	positive	Hegla
OG0006981	positive	Hegla
OG0010259	positive	Hegla
OG0009976	positive	Hegla
OG0012339	positive	Hegla
OG0007253	positive	Hegla
OG0006527	positive	Hegla
OG0008288	positive	Hegla
OG0012174	positive	Hegla
OG0010934	positive	Hegla
OG0011635	positive	Hegla
OG0011395	positive	Hegla
OG0008456	positive	Hegla
OG0011774	positive	Hegla
OG0010569	positive	Hegla
OG0011075	positive	Hegla
OG0008333	positive	Hegla
OG0007767	positive	Hegla
OG0011104	positive	Hegla
OG0006401	positive	Hegla
OG0012182	positive	Hegla
OG0011578	positive	Hegla
OG0006373	positive	Hegla
OG0009286	positive	Hegla
OG0009838	positive	Hegla
OG0011393	positive	Hegla
OG0010336	positive	Hegla
OG0006384	positive	Hegla
OG0008148	positive	Hegla
OG0007596	positive	Hegla
OG0007643	positive	Hegla
OG0007243	positive	Hegla
OG0012667	positive	Hegla
OG0011000	positive	Hegla
OG0006970	positive	Hegla
OG0012921	positive	Hegla
OG0012015	positive	Hegla
OG0011687	positive	Hegla
OG0011202	positive	Hegla
OG0011277	positive	Hegla
OG0010790	positive	Hegla
OG0008300	positive	Hegla
OG0006532	positive	Hegla
OG0011513	positive	Hegla
OG0010219	positive	Hegla
OG0007613	positive	Hegla
OG0007568	positive	Hegla
OG0007036	positive	Hegla
OG0011891	positive	Hegla
OG0009063	positive	Hegla
OG0010121	positive	Hegla
OG0006952	positive	Hegla
OG0008833	positive	Hegla
OG0013073	positive	Hegla
OG0008650	positive	Hegla
OG0010366	positive	Hegla
OG0007488	positive	Hegla
OG0012360	positive	Hegla
OG0012215	positive	Hegla
OG0007153	positive	Hegla
OG0012431	positive	Hegla
OG0010969	positive	Hegla
OG0009163	positive	Hegla
OG0007916	positive	Hegla
OG0009235	positive	Hegla
OG0008977	positive	Hegla
OG0007325	positive	Hegla
OG0010229	positive	Hegla
OG0012881	positive	Hegla
OG0011696	positive	Hegla
OG0007212	positive	Hegla
OG0011918	positive	Hegla
OG0007599	positive	Hegla
OG0011217	positive	Hegla
OG0011658	positive	Hegla
OG0007877	positive	Hegla
OG0005371	positive	Hegla
OG0010290	positive	Hegla
OG0008212	positive	Hegla
OG0011278	positive	Hegla
OG0006752	positive	Hegla
OG0010257	positive	Hegla
OG0011810	positive	Hegla
OG0012772	positive	Hegla
OG0007768	positive	Hegla
OG0009121	positive	Hegla
OG0009864	positive	Hegla
OG0008094	positive	Hegla
OG0007723	positive	Hegla
OG0011447	positive	Hegla
OG0011394	positive	Hegla
OG0012963	positive	Hegla
OG0006274	positive	Hegla
OG0007574	positive	Hegla
OG0010401	positive	Hegla
OG0011008	positive	Hegla
OG0009819	positive	Hegla
OG0010439	positive	Hegla
OG0007939	positive	Hegla
OG0011943	positive	Hegla
OG0012157	positive	Hegla
OG0011517	positive	Hegla
OG0007799	positive	Hegla
OG0009888	positive	Hegla
OG0011746	positive	Hegla
OG0012500	positive	Hegla
OG0011660	positive	Hegla
OG0012076	positive	Hegla
OG0012795	positive	Hegla
OG0012098	positive	Hegla
OG0009772	positive	Hegla
OG0009675	positive	Hegla
OG0011196	positive	Hegla
OG0006690	positive	Hegla
OG0012746	positive	Hegla
OG0010766	positive	Hegla
OG0009323	positive	Hegla
OG0006655	positive	Hegla
OG0007510	positive	Hegla
OG0012216	positive	Hegla
OG0012779	positive	Hegla
