OG_symbol	selection	species
OG0010178	positive	Luden
OG0007195	positive	Luden
OG0013720	positive	Luden
OG0006995	positive	Luden
OG0010956	positive	Luden
OG0007674	positive	Luden
OG0013356	positive	Luden
OG0007233	positive	Luden
OG0012956	positive	Luden
OG0009517	positive	Luden
OG0010129	positive	Luden
OG0008767	positive	Luden
OG0011175	positive	Luden
OG0009765	positive	Luden
OG0006932	positive	Luden
OG0010308	positive	Luden
OG0009875	positive	Luden
OG0012061	positive	Luden
OG0009974	positive	Luden
OG0011571	positive	Luden
OG0011960	positive	Luden
OG0006625	positive	Luden
OG0008538	positive	Luden
OG0007250	positive	Luden
OG0010039	positive	Luden
OG0009539	positive	Luden
OG0010218	positive	Luden
OG0010065	positive	Luden
OG0008372	positive	Luden
OG0013030	positive	Luden
OG0009289	positive	Luden
OG0012859	positive	Luden
OG0011387	positive	Luden
OG0009333	positive	Luden
OG0006326	positive	Luden
OG0008612	positive	Luden
OG0011472	positive	Luden
OG0006007	positive	Luden
OG0011285	positive	Luden
OG0010341	positive	Luden
OG0010292	positive	Luden
OG0010264	positive	Luden
OG0009241	positive	Luden
OG0009407	positive	Luden
OG0011459	positive	Luden
OG0010918	positive	Luden
OG0007547	positive	Luden
OG0011544	positive	Luden
OG0007301	positive	Luden
OG0008085	positive	Luden
OG0008157	positive	Luden
OG0011035	positive	Luden
OG0007667	positive	Luden
OG0007459	positive	Luden
OG0011887	positive	Luden
OG0010002	positive	Luden
OG0010059	positive	Luden
OG0012597	positive	Luden
OG0008283	positive	Luden
OG0011988	positive	Luden
OG0008129	positive	Luden
OG0011932	positive	Luden
OG0008052	positive	Luden
OG0010368	positive	Luden
OG0009176	positive	Luden
OG0007582	positive	Luden
OG0011154	positive	Luden
OG0010263	positive	Luden
OG0010270	positive	Luden
OG0007160	positive	Luden
OG0009397	positive	Luden
OG0008506	positive	Luden
OG0010370	positive	Luden
OG0008531	positive	Luden
OG0012440	positive	Luden
OG0008571	positive	Luden
OG0008302	positive	Luden
OG0009713	positive	Luden
OG0012013	positive	Luden
OG0008623	positive	Luden
OG0009651	positive	Luden
OG0009073	positive	Luden
OG0012769	positive	Luden
OG0011888	positive	Luden
OG0010878	positive	Luden
OG0009304	positive	Luden
OG0012323	positive	Luden
OG0012469	positive	Luden
OG0007967	positive	Luden
OG0012675	positive	Luden
OG0011388	positive	Luden
OG0005301	positive	Luden
OG0006516	positive	Luden
OG0010321	positive	Luden
OG0009108	positive	Luden
OG0012839	positive	Luden
OG0010404	positive	Luden
OG0010335	positive	Luden
OG0012798	positive	Luden
OG0011333	positive	Luden
OG0006774	positive	Luden
OG0011982	positive	Luden
OG0011384	positive	Luden
OG0008982	positive	Luden
OG0012751	positive	Luden
OG0006557	positive	Luden
OG0009027	positive	Luden
OG0011939	positive	Luden
OG0010251	positive	Luden
OG0011090	positive	Luden
OG0011808	positive	Luden
OG0009737	positive	Luden
OG0008149	positive	Luden
OG0011770	positive	Luden
OG0011181	positive	Luden
OG0007188	positive	Luden
OG0008095	positive	Luden
OG0008248	positive	Luden
OG0006324	positive	Luden
OG0013549	positive	Luden
OG0008815	positive	Luden
OG0008591	positive	Luden
OG0010972	positive	Luden
OG0009581	positive	Luden
OG0007719	positive	Luden
OG0007087	positive	Luden
OG0007818	positive	Luden
OG0008483	positive	Luden
OG0011976	positive	Luden
OG0007994	positive	Luden
OG0006938	positive	Luden
OG0008162	positive	Luden
OG0009635	positive	Luden
OG0008515	positive	Luden
OG0010390	positive	Luden
OG0008404	positive	Luden
OG0010000	positive	Luden
OG0010037	positive	Luden
OG0010123	positive	Luden
OG0008577	positive	Luden
OG0007235	positive	Luden
OG0005469	positive	Luden
OG0007008	positive	Luden
OG0006285	positive	Luden
OG0009000	positive	Luden
OG0009756	positive	Luden
OG0006156	positive	Luden
OG0011353	positive	Luden
OG0009110	positive	Luden
OG0010551	positive	Luden
OG0006379	positive	Luden
OG0009142	positive	Luden
OG0009134	positive	Luden
OG0006857	positive	Luden
OG0009976	positive	Luden
OG0006527	positive	Luden
OG0010941	positive	Luden
OG0007006	positive	Luden
OG0006802	positive	Luden
OG0008456	positive	Luden
OG0008399	positive	Luden
OG0010199	positive	Luden
OG0011737	positive	Luden
OG0011851	positive	Luden
OG0011657	positive	Luden
OG0009092	positive	Luden
OG0006401	positive	Luden
OG0012182	positive	Luden
OG0011130	positive	Luden
OG0010115	positive	Luden
OG0006657	positive	Luden
OG0011049	positive	Luden
OG0006763	positive	Luden
OG0012133	positive	Luden
OG0008148	positive	Luden
OG0009646	positive	Luden
OG0011000	positive	Luden
OG0011866	positive	Luden
OG0007711	positive	Luden
OG0010272	positive	Luden
OG0009784	positive	Luden
OG0007481	positive	Luden
OG0007894	positive	Luden
OG0010343	positive	Luden
OG0013137	positive	Luden
OG0006667	positive	Luden
OG0007036	positive	Luden
OG0009503	positive	Luden
OG0011426	positive	Luden
OG0008762	positive	Luden
OG0011507	positive	Luden
OG0008796	positive	Luden
OG0008198	positive	Luden
OG0010014	positive	Luden
OG0012978	positive	Luden
OG0009365	positive	Luden
OG0005329	positive	Luden
OG0005162	positive	Luden
OG0008171	positive	Luden
OG0007196	positive	Luden
OG0009235	positive	Luden
OG0011022	positive	Luden
OG0012762	positive	Luden
OG0009981	positive	Luden
OG0007249	positive	Luden
OG0013366	positive	Luden
OG0010319	positive	Luden
OG0011233	positive	Luden
OG0006232	positive	Luden
OG0011351	positive	Luden
OG0010682	positive	Luden
OG0007720	positive	Luden
OG0013083	positive	Luden
OG0012001	positive	Luden
OG0010290	positive	Luden
OG0007750	positive	Luden
OG0011278	positive	Luden
OG0011227	positive	Luden
OG0012060	positive	Luden
OG0009942	positive	Luden
OG0009958	positive	Luden
OG0011483	positive	Luden
OG0010810	positive	Luden
