OG_symbol	selection	species
OG0007142	positive	Prang
OG0012213	positive	Prang
OG0011828	positive	Prang
OG0009840	positive	Prang
OG0011315	positive	Prang
OG0009112	positive	Prang
OG0008998	positive	Prang
OG0010944	positive	Prang
OG0011450	positive	Prang
OG0008686	positive	Prang
OG0011001	positive	Prang
OG0007556	positive	Prang
OG0010247	positive	Prang
OG0010603	positive	Prang
OG0010572	positive	Prang
OG0009530	positive	Prang
OG0012630	positive	Prang
OG0008900	positive	Prang
OG0011677	positive	Prang
OG0010774	positive	Prang
OG0007102	positive	Prang
OG0009024	positive	Prang
OG0009901	positive	Prang
OG0006575	positive	Prang
OG0009960	positive	Prang
OG0009064	positive	Prang
OG0010129	positive	Prang
OG0012386	positive	Prang
OG0008767	positive	Prang
OG0011057	positive	Prang
OG0009798	positive	Prang
OG0010531	positive	Prang
OG0011370	positive	Prang
OG0012475	positive	Prang
OG0006940	positive	Prang
OG0009175	positive	Prang
OG0009506	positive	Prang
OG0011641	positive	Prang
OG0008289	positive	Prang
OG0010308	positive	Prang
OG0011990	positive	Prang
OG0010442	positive	Prang
OG0005488	positive	Prang
OG0009107	positive	Prang
OG0012200	positive	Prang
OG0010030	positive	Prang
OG0007770	positive	Prang
OG0008420	positive	Prang
OG0011046	positive	Prang
OG0008066	positive	Prang
OG0007350	positive	Prang
OG0009974	positive	Prang
OG0009927	positive	Prang
OG0009995	positive	Prang
OG0011748	positive	Prang
OG0010287	positive	Prang
OG0010415	positive	Prang
OG0011263	positive	Prang
OG0007203	positive	Prang
OG0008071	positive	Prang
OG0011293	positive	Prang
OG0007501	positive	Prang
OG0009371	positive	Prang
OG0010560	positive	Prang
OG0008777	positive	Prang
OG0010039	positive	Prang
OG0013095	positive	Prang
OG0009539	positive	Prang
OG0008371	positive	Prang
OG0012889	positive	Prang
OG0007686	positive	Prang
OG0007486	positive	Prang
OG0007466	positive	Prang
OG0010567	positive	Prang
OG0009884	positive	Prang
OG0007576	positive	Prang
OG0007090	positive	Prang
OG0008101	positive	Prang
OG0010610	positive	Prang
OG0011264	positive	Prang
OG0007615	positive	Prang
OG0006450	positive	Prang
OG0009289	positive	Prang
OG0007202	positive	Prang
OG0008186	positive	Prang
OG0012123	positive	Prang
OG0012849	positive	Prang
OG0011306	positive	Prang
OG0011951	positive	Prang
OG0006380	positive	Prang
OG0007744	positive	Prang
OG0009644	positive	Prang
OG0009276	positive	Prang
OG0007762	positive	Prang
OG0006326	positive	Prang
OG0009863	positive	Prang
OG0011712	positive	Prang
OG0008280	positive	Prang
OG0008958	positive	Prang
OG0010524	positive	Prang
OG0006007	positive	Prang
OG0007783	positive	Prang
OG0011027	positive	Prang
OG0010762	positive	Prang
OG0008927	positive	Prang
OG0011786	positive	Prang
OG0007932	positive	Prang
OG0009138	positive	Prang
OG0010096	positive	Prang
OG0011459	positive	Prang
OG0007749	positive	Prang
OG0009140	positive	Prang
OG0009150	positive	Prang
OG0012350	positive	Prang
OG0007547	positive	Prang
OG0011544	positive	Prang
OG0006026	positive	Prang
OG0009857	positive	Prang
OG0011156	positive	Prang
OG0009053	positive	Prang
OG0011383	positive	Prang
OG0007463	positive	Prang
OG0007312	positive	Prang
OG0009047	positive	Prang
OG0008700	positive	Prang
OG0009899	positive	Prang
OG0006615	positive	Prang
OG0005683	positive	Prang
OG0009217	positive	Prang
OG0008855	positive	Prang
OG0008922	positive	Prang
OG0008426	positive	Prang
OG0010358	positive	Prang
OG0006491	positive	Prang
OG0007604	positive	Prang
OG0012688	positive	Prang
OG0007978	positive	Prang
OG0011094	positive	Prang
OG0008283	positive	Prang
OG0009167	positive	Prang
OG0010043	positive	Prang
OG0009680	positive	Prang
OG0008120	positive	Prang
OG0012543	positive	Prang
OG0009896	positive	Prang
OG0007646	positive	Prang
OG0009577	positive	Prang
OG0008129	positive	Prang
OG0008768	positive	Prang
OG0009037	positive	Prang
OG0008717	positive	Prang
OG0010227	positive	Prang
OG0008052	positive	Prang
OG0009002	positive	Prang
OG0010463	positive	Prang
OG0010705	positive	Prang
OG0011154	positive	Prang
OG0006604	positive	Prang
OG0010263	positive	Prang
OG0006947	positive	Prang
OG0010623	positive	Prang
OG0011016	positive	Prang
OG0010548	positive	Prang
OG0011777	positive	Prang
OG0007151	positive	Prang
OG0011505	positive	Prang
OG0011188	positive	Prang
OG0009091	positive	Prang
OG0008674	positive	Prang
OG0009155	positive	Prang
OG0009779	positive	Prang
OG0006257	positive	Prang
OG0011020	positive	Prang
OG0012115	positive	Prang
OG0010751	positive	Prang
OG0007675	positive	Prang
OG0008830	positive	Prang
OG0011694	positive	Prang
OG0011929	positive	Prang
OG0008666	positive	Prang
OG0013807	positive	Prang
OG0011341	positive	Prang
OG0009996	positive	Prang
OG0008516	positive	Prang
OG0010312	positive	Prang
OG0008302	positive	Prang
OG0009713	positive	Prang
OG0008623	positive	Prang
OG0008103	positive	Prang
OG0009538	positive	Prang
OG0007181	positive	Prang
OG0008525	positive	Prang
OG0011399	positive	Prang
OG0007655	positive	Prang
OG0013443	positive	Prang
OG0010217	positive	Prang
OG0009544	positive	Prang
OG0006341	positive	Prang
OG0011160	positive	Prang
OG0012847	positive	Prang
OG0011710	positive	Prang
OG0011323	positive	Prang
OG0006707	positive	Prang
OG0009186	positive	Prang
OG0011045	positive	Prang
OG0007967	positive	Prang
OG0009707	positive	Prang
OG0011388	positive	Prang
OG0012839	positive	Prang
OG0010404	positive	Prang
OG0008294	positive	Prang
OG0012065	positive	Prang
OG0007934	positive	Prang
OG0011572	positive	Prang
OG0006535	positive	Prang
OG0010335	positive	Prang
OG0008455	positive	Prang
OG0011155	positive	Prang
OG0011982	positive	Prang
OG0007915	positive	Prang
OG0008109	positive	Prang
OG0008079	positive	Prang
OG0008982	positive	Prang
OG0010536	positive	Prang
OG0009552	positive	Prang
OG0006664	positive	Prang
OG0006671	positive	Prang
OG0012398	positive	Prang
OG0008891	positive	Prang
OG0012668	positive	Prang
OG0012868	positive	Prang
OG0006636	positive	Prang
OG0010509	positive	Prang
OG0006759	positive	Prang
OG0009335	positive	Prang
OG0009262	positive	Prang
OG0010830	positive	Prang
OG0008561	positive	Prang
OG0010483	positive	Prang
OG0009737	positive	Prang
OG0007925	positive	Prang
OG0011770	positive	Prang
OG0009205	positive	Prang
OG0009048	positive	Prang
OG0010088	positive	Prang
OG0008992	positive	Prang
OG0006725	positive	Prang
OG0007188	positive	Prang
OG0008410	positive	Prang
OG0009546	positive	Prang
OG0007632	positive	Prang
OG0010359	positive	Prang
OG0012497	positive	Prang
OG0010580	positive	Prang
OG0006470	positive	Prang
OG0011742	positive	Prang
OG0012355	positive	Prang
OG0010356	positive	Prang
OG0007712	positive	Prang
OG0008469	positive	Prang
OG0007755	positive	Prang
OG0010187	positive	Prang
OG0011229	positive	Prang
OG0008865	positive	Prang
OG0009246	positive	Prang
OG0010929	positive	Prang
OG0010432	positive	Prang
OG0012246	positive	Prang
OG0008591	positive	Prang
OG0007719	positive	Prang
OG0007747	positive	Prang
OG0006540	positive	Prang
OG0009615	positive	Prang
OG0008483	positive	Prang
OG0009932	positive	Prang
OG0007437	positive	Prang
OG0011976	positive	Prang
OG0010383	positive	Prang
OG0009298	positive	Prang
OG0011443	positive	Prang
OG0012895	positive	Prang
OG0012556	positive	Prang
OG0007456	positive	Prang
OG0009917	positive	Prang
OG0009635	positive	Prang
OG0010444	positive	Prang
OG0013341	positive	Prang
OG0009291	positive	Prang
OG0008092	positive	Prang
OG0007019	positive	Prang
OG0009244	positive	Prang
OG0008954	positive	Prang
OG0011788	positive	Prang
OG0010390	positive	Prang
OG0011688	positive	Prang
OG0010499	positive	Prang
OG0006719	positive	Prang
OG0008411	positive	Prang
OG0011173	positive	Prang
OG0010037	positive	Prang
OG0009846	positive	Prang
OG0012399	positive	Prang
OG0011966	positive	Prang
OG0009882	positive	Prang
OG0009433	positive	Prang
OG0006777	positive	Prang
OG0011097	positive	Prang
OG0009158	positive	Prang
OG0011396	positive	Prang
OG0011969	positive	Prang
OG0011697	positive	Prang
OG0009829	positive	Prang
OG0009226	positive	Prang
OG0006770	positive	Prang
OG0008511	positive	Prang
OG0008419	positive	Prang
OG0009164	positive	Prang
OG0009128	positive	Prang
OG0011295	positive	Prang
OG0008783	positive	Prang
OG0012533	positive	Prang
OG0007891	positive	Prang
OG0012838	positive	Prang
OG0009712	positive	Prang
OG0011781	positive	Prang
OG0008199	positive	Prang
OG0009057	positive	Prang
OG0009567	positive	Prang
OG0011537	positive	Prang
OG0010048	positive	Prang
OG0013325	positive	Prang
OG0009515	positive	Prang
OG0010020	positive	Prang
OG0011465	positive	Prang
OG0009962	positive	Prang
OG0007952	positive	Prang
OG0009443	positive	Prang
OG0008603	positive	Prang
OG0009281	positive	Prang
OG0011280	positive	Prang
OG0009945	positive	Prang
OG0010201	positive	Prang
OG0006857	positive	Prang
OG0013429	positive	Prang
OG0008707	positive	Prang
OG0009328	positive	Prang
OG0010266	positive	Prang
OG0008814	positive	Prang
OG0006522	positive	Prang
OG0009681	positive	Prang
OG0010941	positive	Prang
OG0008288	positive	Prang
OG0010741	positive	Prang
OG0011642	positive	Prang
OG0010175	positive	Prang
OG0010226	positive	Prang
OG0011635	positive	Prang
OG0006630	positive	Prang
OG0012356	positive	Prang
OG0011075	positive	Prang
OG0009849	positive	Prang
OG0011040	positive	Prang
OG0011737	positive	Prang
OG0010384	positive	Prang
OG0011015	positive	Prang
OG0010565	positive	Prang
OG0009092	positive	Prang
OG0007878	positive	Prang
OG0009307	positive	Prang
OG0011728	positive	Prang
OG0012860	positive	Prang
OG0013192	positive	Prang
OG0010471	positive	Prang
OG0011109	positive	Prang
OG0011578	positive	Prang
OG0007169	positive	Prang
OG0007718	positive	Prang
OG0011243	positive	Prang
OG0009286	positive	Prang
OG0009585	positive	Prang
OG0011559	positive	Prang
OG0012732	positive	Prang
OG0006974	positive	Prang
OG0012133	positive	Prang
OG0009794	positive	Prang
OG0011825	positive	Prang
OG0006384	positive	Prang
