OG_symbol	selection	species
OG0012956	positive	Sians
OG0007102	positive	Sians
OG0011641	positive	Sians
OG0009199	positive	Sians
OG0008588	positive	Sians
OG0011997	positive	Sians
OG0012181	positive	Sians
OG0011489	positive	Sians
OG0011632	positive	Sians
OG0012558	positive	Sians
OG0008596	positive	Sians
OG0007829	positive	Sians
OG0012397	positive	Sians
OG0011887	positive	Sians
OG0008154	positive	Sians
OG0009820	positive	Sians
OG0013087	positive	Sians
OG0010609	positive	Sians
OG0011064	positive	Sians
OG0011898	positive	Sians
OG0011906	positive	Sians
OG0007072	positive	Sians
OG0008396	positive	Sians
OG0007892	positive	Sians
OG0012115	positive	Sians
OG0012957	positive	Sians
OG0012145	positive	Sians
OG0012440	positive	Sians
OG0006357	positive	Sians
OG0011888	positive	Sians
OG0010482	positive	Sians
OG0007057	positive	Sians
OG0012961	positive	Sians
OG0006557	positive	Sians
OG0012867	positive	Sians
OG0008891	positive	Sians
OG0007865	positive	Sians
OG0010746	positive	Sians
OG0009821	positive	Sians
OG0010786	positive	Sians
OG0012369	positive	Sians
OG0007188	positive	Sians
OG0007335	positive	Sians
OG0012092	positive	Sians
OG0012890	positive	Sians
OG0012333	positive	Sians
OG0011222	positive	Sians
OG0009521	positive	Sians
OG0009615	positive	Sians
OG0011842	positive	Sians
OG0008162	positive	Sians
OG0011324	positive	Sians
OG0011647	positive	Sians
OG0011368	positive	Sians
OG0008761	positive	Sians
OG0006228	positive	Sians
OG0012236	positive	Sians
OG0010367	positive	Sians
OG0011490	positive	Sians
OG0009976	positive	Sians
OG0006527	positive	Sians
OG0012111	positive	Sians
OG0010587	positive	Sians
OG0011096	positive	Sians
OG0009307	positive	Sians
OG0009810	positive	Sians
OG0010891	positive	Sians
OG0012732	positive	Sians
OG0008148	positive	Sians
OG0011759	positive	Sians
OG0007442	positive	Sians
OG0011924	positive	Sians
OG0013366	positive	Sians
OG0010564	positive	Sians
OG0011658	positive	Sians
OG0011327	positive	Sians
OG0011502	positive	Sians
OG0010202	positive	Sians
OG0012897	positive	Sians
OG0007768	positive	Sians
OG0010530	positive	Sians
OG0013052	positive	Sians
OG0005695	positive	Sians
OG0011193	positive	Sians
OG0012624	positive	Sians
OG0009819	positive	Sians
OG0010784	positive	Sians
OG0007619	positive	Sians
OG0012795	positive	Sians
OG0009673	positive	Sians
OG0012480	positive	Sians
OG0012017	positive	Sians
OG0007600	positive	Sians
OG0010935	positive	Sians
OG0012056	positive	Sians
OG0010271	positive	Sians
OG0012450	positive	Sians
OG0011935	positive	Sians
OG0011840	positive	Sians
OG0012031	positive	Sians
OG0012607	positive	Sians
OG0012592	positive	Sians
OG0007158	positive	Sians
OG0010012	positive	Sians
OG0009032	positive	Sians
OG0011955	positive	Sians
OG0009555	positive	Sians
OG0009169	positive	Sians
OG0013277	positive	Sians
OG0011653	positive	Sians
OG0012599	positive	Sians
OG0006778	positive	Sians
OG0010526	positive	Sians
OG0012936	positive	Sians
OG0008250	positive	Sians
OG0006461	positive	Sians
OG0012804	positive	Sians
OG0008465	positive	Sians
OG0011261	positive	Sians
OG0010913	positive	Sians
OG0011745	positive	Sians
OG0010006	positive	Sians
OG0012306	positive	Sians
OG0011848	positive	Sians
OG0008671	positive	Sians
OG0011875	positive	Sians
OG0006674	positive	Sians
OG0009367	positive	Sians
OG0009988	positive	Sians
OG0011964	positive	Sians
OG0010116	positive	Sians
OG0011172	positive	Sians
OG0011663	positive	Sians
OG0010975	positive	Sians
OG0008165	positive	Sians
OG0010768	positive	Sians
OG0007484	positive	Sians
OG0009146	positive	Sians
OG0012749	positive	Sians
OG0009198	positive	Sians
OG0011281	positive	Sians
OG0012400	positive	Sians
OG0011112	positive	Sians
OG0008660	positive	Sians
OG0012452	positive	Sians
OG0012054	positive	Sians
OG0012509	positive	Sians
OG0010789	positive	Sians
OG0008879	positive	Sians
OG0012154	positive	Sians
OG0012655	positive	Sians
OG0013076	positive	Sians
OG0011071	positive	Sians
OG0012776	positive	Sians
OG0010644	positive	Sians
OG0005323	positive	Sians
OG0010921	positive	Sians
OG0010770	positive	Sians
OG0008364	positive	Sians
OG0011684	positive	Sians
OG0009894	positive	Sians
OG0011713	positive	Sians
OG0011206	positive	Sians
OG0011794	positive	Sians
OG0011629	positive	Sians
OG0012327	positive	Sians
OG0012108	positive	Sians
OG0012603	positive	Sians
OG0011852	positive	Sians
OG0011515	positive	Sians
OG0012504	positive	Sians
OG0011749	positive	Sians
OG0009511	positive	Sians
OG0010903	positive	Sians
OG0012784	positive	Sians
OG0011460	positive	Sians
OG0013147	positive	Sians
OG0009843	positive	Sians
OG0008508	positive	Sians
OG0012435	positive	Sians
OG0011937	positive	Sians
