OG_symbol	selection	species
OG0012946	positive	Sirhi
OG0008822	positive	Sirhi
OG0011587	positive	Sirhi
OG0007102	positive	Sirhi
OG0013322	positive	Sirhi
OG0011175	positive	Sirhi
OG0010030	positive	Sirhi
OG0012114	positive	Sirhi
OG0011872	positive	Sirhi
OG0009643	positive	Sirhi
OG0013576	positive	Sirhi
OG0010517	positive	Sirhi
OG0011712	positive	Sirhi
OG0012321	positive	Sirhi
OG0011489	positive	Sirhi
OG0012053	positive	Sirhi
OG0011786	positive	Sirhi
OG0010813	positive	Sirhi
OG0009438	positive	Sirhi
OG0007145	positive	Sirhi
OG0011411	positive	Sirhi
OG0012740	positive	Sirhi
OG0008154	positive	Sirhi
OG0012543	positive	Sirhi
OG0011898	positive	Sirhi
OG0008396	positive	Sirhi
OG0010751	positive	Sirhi
OG0006466	positive	Sirhi
OG0012616	positive	Sirhi
OG0011929	positive	Sirhi
OG0011767	positive	Sirhi
OG0013326	positive	Sirhi
OG0008302	positive	Sirhi
OG0008852	positive	Sirhi
OG0013443	positive	Sirhi
OG0006535	positive	Sirhi
OG0011538	positive	Sirhi
OG0006557	positive	Sirhi
OG0009358	positive	Sirhi
OG0012124	positive	Sirhi
OG0012398	positive	Sirhi
OG0012518	positive	Sirhi
OG0009805	positive	Sirhi
OG0012106	positive	Sirhi
OG0010746	positive	Sirhi
OG0009048	positive	Sirhi
OG0012136	positive	Sirhi
OG0007888	positive	Sirhi
OG0010250	positive	Sirhi
OG0010929	positive	Sirhi
OG0010015	positive	Sirhi
OG0012246	positive	Sirhi
OG0010812	positive	Sirhi
OG0011976	positive	Sirhi
OG0008162	positive	Sirhi
OG0013341	positive	Sirhi
OG0011324	positive	Sirhi
OG0008853	positive	Sirhi
OG0011788	positive	Sirhi
OG0012302	positive	Sirhi
OG0012838	positive	Sirhi
OG0012460	positive	Sirhi
OG0007100	positive	Sirhi
OG0011058	positive	Sirhi
OG0010013	positive	Sirhi
OG0013325	positive	Sirhi
OG0006228	positive	Sirhi
OG0006156	positive	Sirhi
OG0007136	positive	Sirhi
OG0007338	positive	Sirhi
OG0012332	positive	Sirhi
OG0010962	positive	Sirhi
OG0011075	positive	Sirhi
OG0009307	positive	Sirhi
OG0006401	positive	Sirhi
OG0011109	positive	Sirhi
OG0011279	positive	Sirhi
OG0011805	positive	Sirhi
OG0013482	positive	Sirhi
OG0012732	positive	Sirhi
OG0011385	positive	Sirhi
OG0013122	positive	Sirhi
OG0012414	positive	Sirhi
OG0012609	positive	Sirhi
OG0008933	positive	Sirhi
OG0011703	positive	Sirhi
OG0011873	positive	Sirhi
OG0011891	positive	Sirhi
OG0011162	positive	Sirhi
OG0010242	positive	Sirhi
OG0012039	positive	Sirhi
OG0011782	positive	Sirhi
OG0012318	positive	Sirhi
OG0011056	positive	Sirhi
OG0010608	positive	Sirhi
OG0011117	positive	Sirhi
OG0010229	positive	Sirhi
OG0005875	positive	Sirhi
OG0011665	positive	Sirhi
OG0013366	positive	Sirhi
OG0006591	positive	Sirhi
OG0007741	positive	Sirhi
OG0006318	positive	Sirhi
OG0011327	positive	Sirhi
OG0011950	positive	Sirhi
OG0009574	positive	Sirhi
OG0012198	positive	Sirhi
OG0009924	positive	Sirhi
OG0011892	positive	Sirhi
OG0012496	positive	Sirhi
OG0013052	positive	Sirhi
OG0010165	positive	Sirhi
