OG_symbol	selection	species
OG0007142	positive	Trros
OG0011669	positive	Trros
OG0012213	positive	Trros
OG0009561	positive	Trros
OG0011366	positive	Trros
OG0011298	positive	Trros
OG0012946	positive	Trros
OG0007893	positive	Trros
OG0008998	positive	Trros
OG0008135	positive	Trros
OG0011362	positive	Trros
OG0010603	positive	Trros
OG0008141	positive	Trros
OG0012630	positive	Trros
OG0006515	positive	Trros
OG0013202	positive	Trros
OG0012544	positive	Trros
OG0006575	positive	Trros
OG0009064	positive	Trros
OG0010369	positive	Trros
OG0010389	positive	Trros
OG0011205	positive	Trros
OG0008613	positive	Trros
OG0011990	positive	Trros
OG0010340	positive	Trros
OG0006187	positive	Trros
OG0010030	positive	Trros
OG0009401	positive	Trros
OG0009908	positive	Trros
OG0012423	positive	Trros
OG0010750	positive	Trros
OG0010313	positive	Trros
OG0008884	positive	Trros
OG0008620	positive	Trros
OG0007271	positive	Trros
OG0013093	positive	Trros
OG0006785	positive	Trros
OG0009695	positive	Trros
OG0006519	positive	Trros
OG0013268	positive	Trros
OG0010065	positive	Trros
OG0007686	positive	Trros
OG0008488	positive	Trros
OG0009884	positive	Trros
OG0010993	positive	Trros
OG0011864	positive	Trros
OG0008588	positive	Trros
OG0011228	positive	Trros
OG0008101	positive	Trros
OG0011107	positive	Trros
OG0011264	positive	Trros
OG0006450	positive	Trros
OG0008017	positive	Trros
OG0009289	positive	Trros
OG0012859	positive	Trros
OG0006394	positive	Trros
OG0010517	positive	Trros
OG0010280	positive	Trros
OG0011712	positive	Trros
OG0011378	positive	Trros
OG0009253	positive	Trros
OG0011913	positive	Trros
OG0011489	positive	Trros
OG0011459	positive	Trros
OG0009939	positive	Trros
OG0009341	positive	Trros
OG0011383	positive	Trros
OG0006859	positive	Trros
OG0005683	positive	Trros
OG0011637	positive	Trros
OG0007829	positive	Trros
OG0008991	positive	Trros
OG0009950	positive	Trros
OG0011887	positive	Trros
OG0008855	positive	Trros
OG0011549	positive	Trros
OG0011739	positive	Trros
OG0006902	positive	Trros
OG0010518	positive	Trros
OG0012002	positive	Trros
OG0012020	positive	Trros
