gene_symbol,condition
ABCA12,pigmentation
ABCB6,pigmentation
ABHD11,pigmentation
ACD,pigmentation
ACTR3,pigmentation
ACVR2A,pigmentation
ADAM10,pigmentation
ADAM17,pigmentation
ADAMTS20,pigmentation
ADAMTS9,pigmentation
ADAR,pigmentation
ADCY5,pigmentation
ADGRA2,pigmentation
ADRB2,pigmentation
AEBP2,pigmentation
AFG3L2,pigmentation
AHCY,pigmentation
ALCAM,pigmentation
ALDH2,pigmentation
ALDOA,pigmentation
ALG13,pigmentation
ALX3,pigmentation
AMBRA1,pigmentation
ANXA2,pigmentation
AP1G1,pigmentation
AP1M1,pigmentation
AP1S1,pigmentation
AP3B1,pigmentation
AP3D1,pigmentation
AP3S2,pigmentation
APC,pigmentation
ARCN1,pigmentation
ARL6,pigmentation
ARL6IP1,pigmentation
ASIP,pigmentation
ATE1,pigmentation
ATG7,pigmentation
ATM,pigmentation
ATOH7,pigmentation
ATOX1,pigmentation
ATP1A1,pigmentation
ATP6AP1,pigmentation
ATP6AP2,pigmentation
ATP6V0B,pigmentation
ATP6V0C,pigmentation
ATP6V0D1,pigmentation
ATP6V1E1,pigmentation
ATP6V1F,pigmentation
ATP6V1H,pigmentation
ATP7A,pigmentation
ATP7B,pigmentation
ATR,pigmentation
ATRN,pigmentation
BACE2,pigmentation
BARX2,pigmentation
BBIP1,pigmentation
BBS1,pigmentation
BBS2,pigmentation
BBS4,pigmentation
BBS7,pigmentation
BCL2,pigmentation
BCL2L11,pigmentation
BECN1,pigmentation
BLM,pigmentation
BLOC1S3,pigmentation
BLOC1S4,pigmentation
BLOC1S5,pigmentation
BLOC1S6,pigmentation
BMP5,pigmentation
BMPR2,pigmentation
BNC2,pigmentation
BPTF,pigmentation
BRAF,pigmentation
BRCA1,pigmentation
BRCA2,pigmentation
BRD9,pigmentation
BRIP1,pigmentation
BTD,pigmentation
C3orf38,pigmentation
C8orf37,pigmentation
CARS1,pigmentation
CAV1,pigmentation
CBL,pigmentation
CBS,pigmentation
CCDC28B,pigmentation
CCT2,pigmentation
CDC25A,pigmentation
CDC42,pigmentation
CDC73,pigmentation
CDH11,pigmentation
CDH2,pigmentation
CDH3,pigmentation
CDK5,pigmentation
CDK7,pigmentation
CDKN2A,pigmentation
CDX1,pigmentation
CEP131,pigmentation
CEP290,pigmentation
CGA,pigmentation
CHD7,pigmentation
CHEK1,pigmentation
CIB2,pigmentation
CISD2,pigmentation
CITED1,pigmentation
CLCN7,pigmentation
CLEC12B,pigmentation
COL17A1,pigmentation
COL6A2,pigmentation
COLEC11,pigmentation
COP1,pigmentation
COPA,pigmentation
COPB1,pigmentation
COPB2,pigmentation
CORIN,pigmentation
CORO1A,pigmentation
CPLX4,pigmentation
