OG_ID,analysis_cafe_contracted
OG0003086,contracted
OG0013829,contracted
OG0014040,contracted
OG0014146,contracted
OG0000066,contracted
OG0002023,contracted
OG0003020,contracted
OG0003076,contracted
OG0003813,contracted
OG0005635,contracted
OG0006099,contracted
OG0013075,contracted
OG0013468,contracted
OG0013541,contracted
OG0013685,contracted
OG0013835,contracted
OG0014655,contracted
OG0015086,contracted
OG0015166,contracted
OG0016156,contracted
OG0017081,contracted
OG0017878,contracted
OG0018406,contracted
OG0018629,contracted
OG0018879,contracted
OG0019386,contracted
OG0019397,contracted
OG0019441,contracted
OG0019583,contracted
OG0019678,contracted
OG0020040,contracted
OG0021066,contracted
OG0021167,contracted
OG0021898,contracted
OG0023283,contracted
OG0023296,contracted
OG0023321,contracted
OG0023719,contracted
