OG	count
OG0013147	6
OG0011175	5
OG0009976	5
OG0009307	5
OG0008624	5
OG0008537	5
OG0007102	4
OG0010030	4
OG0009884	4
OG0008101	4
OG0011489	4
OG0011786	4
OG0011887	4
OG0011154	4
OG0008302	4
OG0007967	4
OG0012839	4
OG0011538	4
OG0006557	4
OG0008891	4
OG0007188	4
OG0008591	4
OG0013325	4
OG0009110	4
OG0006527	4
OG0011015	4
OG0010790	4
OG0013366	4
OG0011658	4
OG0010290	4
OG0007574	4
OG0009819	4
OG0009888	4
OG0010784	4
OG0011069	4
OG0012216	4
OG0008509	4
OG0010900	4
OG0009879	4
OG0011876	4
OG0012599	4
OG0010526	4
OG0006065	4
OG0010578	4
OG0013066	4
OG0008860	4
OG0009988	4
OG0011822	4
OG0011281	4
OG0012492	4
OG0010973	4
OG0011762	4
OG0008722	4
OG0012631	4
OG0011749	4
OG0007101	4
OG0012213	3
OG0010603	3
OG0012630	3
OG0012956	3
OG0006575	3
OG0012386	3
OG0008767	3
OG0011641	3
OG0011990	3
OG0009974	3
OG0008538	3
OG0013093	3
OG0009199	3
OG0007686	3
OG0006450	3
OG0009289	3
OG0012859	3
OG0012199	3
OG0006326	3
OG0011712	3
OG0011459	3
OG0008157	3
OG0007312	3
OG0007829	3
OG0011216	3
OG0008129	3
OG0011898	3
OG0010463	3
OG0006604	3
OG0009779	3
OG0008516	3
OG0013443	3
OG0011888	3
OG0009304	3
OG0010404	3
OG0011982	3
OG0008982	3
OG0009262	3
OG0011770	3
OG0010929	3
OG0012246	3
OG0007719	3
OG0008483	3
OG0011976	3
OG0007994	3
OG0008162	3
OG0007277	3
OG0013341	3
OG0011324	3
OG0009291	3
OG0007019	3
OG0012302	3
OG0011173	3
OG0008419	3
OG0009164	3
OG0012367	3
OG0005734	3
OG0012838	3
OG0009567	3
OG0010013	3
OG0010020	3
OG0009281	3
OG0010266	3
OG0010941	3
OG0008288	3
OG0007006	3
OG0011075	3
OG0006401	3
OG0012732	3
OG0008148	3
OG0007243	3
OG0011385	3
OG0012857	3
OG0007481	3
OG0010343	3
OG0007036	3
OG0006939	3
OG0010121	3
OG0007488	3
OG0005162	3
OG0008171	3
OG0009180	3
OG0010682	3
OG0012300	3
OG0012001	3
OG0011327	3
OG0012060	3
OG0007768	3
OG0009078	3
OG0009302	3
OG0011357	3
OG0009864	3
OG0011193	3
OG0010114	3
OG0012050	3
OG0007799	3
OG0008599	3
OG0012076	3
OG0012876	3
OG0009673	3
OG0008616	3
OG0007510	3
OG0010553	3
OG0008995	3
OG0007651	3
OG0006488	3
OG0011369	3
OG0006768	3
OG0012031	3
OG0012592	3
OG0008446	3
OG0010305	3
OG0010136	3
OG0009915	3
OG0012156	3
OG0010117	3
OG0011042	3
OG0013277	3
OG0012345	3
OG0009343	3
OG0012936	3
OG0006621	3
OG0012306	3
OG0011848	3
OG0011964	3
OG0007543	3
OG0007060	3
OG0006893	3
OG0007983	3
OG0009793	3
OG0010975	3
OG0007636	3
OG0007748	3
OG0008600	3
OG0008359	3
OG0012671	3
OG0012538	3
OG0011959	3
OG0012347	3
OG0013489	3
OG0011271	3
OG0012509	3
OG0009986	3
OG0013142	3
OG0009648	3
OG0008505	3
OG0011685	3
OG0008736	3
OG0009188	3
OG0008943	3
OG0012672	3
OG0008440	3
OG0008950	3
OG0006464	3
OG0011452	3
OG0005118	3
OG0011440	3
OG0008397	3
OG0008107	3
OG0012776	3
OG0010772	3
OG0011741	3
OG0007189	3
OG0005323	3
OG0010493	3
OG0010851	3
OG0006756	3
OG0013295	3
OG0012226	3
OG0007273	3
OG0009562	3
OG0009894	3
OG0012168	3
OG0010763	3
OG0008487	3
OG0007825	3
OG0012112	3
OG0012603	3
OG0007727	3
OG0011286	3
OG0010920	3
OG0011736	3
OG0011841	3
OG0008829	3
OG0011852	3
OG0011957	3
OG0010889	3
OG0007528	3
OG0011562	3
OG0011734	3
OG0006079	3
OG0009569	3
OG0010965	3
OG0008508	3
OG0011170	3
OG0011187	2
OG0007142	2
OG0011669	2
OG0012946	2
OG0008998	2
OG0011450	2
OG0007674	2
OG0008822	2
OG0011677	2
OG0006515	2
OG0013202	2
OG0009517	2
OG0009064	2
OG0010129	2
OG0011370	2
OG0009283	2
OG0009506	2
OG0010308	2
OG0008613	2
OG0006187	2
OG0009107	2
OG0009401	2
OG0006625	2
OG0010415	2
OG0008884	2
OG0008071	2
OG0007250	2
OG0010560	2
OG0008777	2
OG0010039	2
OG0013095	2
OG0009539	2
OG0010065	2
OG0007466	2
OG0007576	2
OG0008588	2
OG0011107	2
OG0011264	2
OG0011951	2
OG0006380	2
OG0010517	2
OG0010280	2
OG0009644	2
OG0006007	2
OG0012321	2
OG0012053	2
OG0010292	2
OG0007932	2
OG0009138	2
OG0010096	2
OG0009241	2
OG0009407	2
OG0007749	2
OG0010918	2
OG0009341	2
OG0012350	2
OG0007547	2
OG0011544	2
OG0012558	2
OG0006026	2
OG0011383	2
OG0007463	2
OG0008700	2
OG0005683	2
OG0007459	2
OG0008991	2
OG0008855	2
OG0011549	2
OG0007943	2
OG0011739	2
OG0010518	2
OG0008922	2
OG0008154	2
OG0010342	2
OG0007978	2
OG0012597	2
OG0008283	2
OG0010043	2
OG0009680	2
OG0010163	2
OG0008120	2
OG0012543	2
OG0010647	2
OG0010609	2
OG0007646	2
OG0011988	2
OG0011944	2
OG0008717	2
OG0008052	2
OG0011064	2
OG0009002	2
OG0007582	2
OG0010263	2
OG0006947	2
OG0010270	2
OG0011777	2
OG0011505	2
OG0008396	2
OG0007892	2
OG0006257	2
OG0012115	2
OG0010751	2
OG0012957	2
OG0011929	2
OG0008666	2
OG0013807	2
OG0011767	2
OG0012440	2
OG0009713	2
OG0008623	2
OG0009651	2
OG0008103	2
OG0009538	2
OG0007655	2
OG0006341	2
OG0011160	2
OG0012847	2
OG0011710	2
OG0011323	2
OG0007479	2
OG0011325	2
OG0008418	2
OG0005608	2
OG0011388	2
OG0007934	2
OG0006535	2
OG0010482	2
OG0010335	2
OG0008455	2
OG0012798	2
OG0011155	2
OG0011333	2
OG0006774	2
OG0009862	2
OG0007915	2
OG0011384	2
OG0008079	2
OG0009828	2
OG0012867	2
OG0009358	2
OG0011939	2
OG0012124	2
OG0012398	2
OG0008102	2
OG0010917	2
OG0009264	2
OG0012518	2
OG0010489	2
OG0006636	2
OG0010830	2
OG0010746	2
OG0009737	2
OG0008149	2
OG0006616	2
OG0008723	2
OG0009048	2
OG0008992	2
OG0012882	2
OG0011181	2
OG0007335	2
OG0008410	2
OG0013315	2
OG0010359	2
OG0012497	2
OG0006470	2
OG0006916	2
OG0012355	2
OG0012092	2
OG0008912	2
OG0008469	2
OG0007755	2
OG0010187	2
OG0007570	2
OG0011229	2
OG0008865	2
OG0010250	2
OG0013549	2
OG0008815	2
OG0012907	2
OG0011222	2
OG0009498	2
OG0006540	2
OG0007818	2
OG0009615	2
OG0006580	2
OG0010383	2
OG0011443	2
OG0011842	2
OG0012895	2
OG0009635	2
OG0010444	2
OG0008092	2
OG0011882	2
OG0011788	2
OG0010390	2
OG0006719	2
OG0008411	2
OG0008404	2
OG0010000	2
OG0010054	2
OG0010037	2
OG0009846	2
OG0011966	2
OG0013022	2
OG0011396	2
OG0011969	2
OG0011697	2
OG0009829	2
OG0009226	2
OG0009398	2
OG0009038	2
OG0011295	2
OG0012533	2
OG0007891	2
OG0012460	2
OG0008199	2
OG0009057	2
OG0006896	2
OG0007100	2
