OG	analysis
OG0005162	pigmentation_loss
OG0006450	pigmentation_loss
OG0006464	pigmentation_loss
OG0006538	pigmentation_loss
OG0006540	pigmentation_loss
OG0006604	pigmentation_loss
OG0006621	pigmentation_loss
OG0006636	pigmentation_loss
OG0006673	pigmentation_loss
OG0006768	pigmentation_loss
OG0006782	pigmentation_loss
OG0006783	pigmentation_loss
OG0006939	pigmentation_loss
OG0006974	pigmentation_loss
OG0006977	pigmentation_loss
OG0007019	pigmentation_loss
OG0007060	pigmentation_loss
OG0007101	pigmentation_loss
OG0007152	pigmentation_loss
OG0007188	pigmentation_loss
OG0007189	pigmentation_loss
OG0007243	pigmentation_loss
OG0007312	pigmentation_loss
OG0007356	pigmentation_loss
OG0007463	pigmentation_loss
OG0007466	pigmentation_loss
OG0007481	pigmentation_loss
OG0007500	pigmentation_loss
OG0007528	pigmentation_loss
OG0007543	pigmentation_loss
OG0007636	pigmentation_loss
OG0007679	pigmentation_loss
OG0007683	pigmentation_loss
OG0007697	pigmentation_loss
OG0007701	pigmentation_loss
OG0007748	pigmentation_loss
OG0007749	pigmentation_loss
OG0007751	pigmentation_loss
OG0007807	pigmentation_loss
OG0007810	pigmentation_loss
OG0007885	pigmentation_loss
OG0007891	pigmentation_loss
OG0007932	pigmentation_loss
OG0007934	pigmentation_loss
OG0007947	pigmentation_loss
OG0007967	pigmentation_loss
OG0007983	pigmentation_loss
OG0007988	pigmentation_loss
OG0008073	pigmentation_loss
OG0008074	pigmentation_loss
OG0008282	pigmentation_loss
OG0008288	pigmentation_loss
OG0008302	pigmentation_loss
OG0008343	pigmentation_loss
OG0008419	pigmentation_loss
OG0008440	pigmentation_loss
OG0008455	pigmentation_loss
OG0008457	pigmentation_loss
OG0008471	pigmentation_loss
OG0008487	pigmentation_loss
OG0008498	pigmentation_loss
OG0008508	pigmentation_loss
OG0008509	pigmentation_loss
OG0008516	pigmentation_loss
OG0008537	pigmentation_loss
OG0008560	pigmentation_loss
OG0008580	pigmentation_loss
OG0008599	pigmentation_loss
OG0008607	pigmentation_loss
OG0008624	pigmentation_loss
OG0008638	pigmentation_loss
OG0008680	pigmentation_loss
OG0008711	pigmentation_loss
OG0008732	pigmentation_loss
OG0008767	pigmentation_loss
OG0008829	pigmentation_loss
OG0008860	pigmentation_loss
OG0008891	pigmentation_loss
OG0008908	pigmentation_loss
OG0008943	pigmentation_loss
OG0008950	pigmentation_loss
OG0008982	pigmentation_loss
OG0008990	pigmentation_loss
OG0009057	pigmentation_loss
OG0009078	pigmentation_loss
OG0009133	pigmentation_loss
OG0009164	pigmentation_loss
OG0009180	pigmentation_loss
OG0009211	pigmentation_loss
OG0009259	pigmentation_loss
OG0009281	pigmentation_loss
OG0009443	pigmentation_loss
OG0009506	pigmentation_loss
OG0009567	pigmentation_loss
OG0009569	pigmentation_loss
OG0009587	pigmentation_loss
OG0009611	pigmentation_loss
OG0009644	pigmentation_loss
OG0009674	pigmentation_loss
OG0009680	pigmentation_loss
OG0009723	pigmentation_loss
OG0009759	pigmentation_loss
OG0009799	pigmentation_loss
OG0009803	pigmentation_loss
OG0009809	pigmentation_loss
OG0009829	pigmentation_loss
OG0009846	pigmentation_loss
OG0009864	pigmentation_loss
OG0009879	pigmentation_loss
OG0009884	pigmentation_loss
OG0009888	pigmentation_loss
OG0009898	pigmentation_loss
OG0010020	pigmentation_loss
OG0010053	pigmentation_loss
OG0010068	pigmentation_loss
OG0010078	pigmentation_loss
OG0010083	pigmentation_loss
OG0010114	pigmentation_loss
OG0010187	pigmentation_loss
OG0010266	pigmentation_loss
OG0010290	pigmentation_loss
OG0010305	pigmentation_loss
OG0010331	pigmentation_loss
OG0010343	pigmentation_loss
OG0010354	pigmentation_loss
OG0010359	pigmentation_loss
OG0010408	pigmentation_loss
OG0010463	pigmentation_loss
OG0010555	pigmentation_loss
OG0010560	pigmentation_loss
OG0010571	pigmentation_loss
OG0010657	pigmentation_loss
OG0010682	pigmentation_loss
OG0010741	pigmentation_loss
OG0010790	pigmentation_loss
OG0010801	pigmentation_loss
OG0010807	pigmentation_loss
