FamilyID	Luden<1>	Ornil<2>	Thmac<3>	Mymur<4>	Gamor<5>	Ammel<6>	Asmec<7>	Asmes<8>	Trros<9>	Trtib<10>	Darer<11>	Sirhi<12>	Sigra<13>	Sians<14>	Miuni<15>	Geser<16>	Ammex<17>	Plwal<18>	Prang<19>	Bubuf<20>	Soara<21>	Ereur<22>	Cocri<23>	Orcun<24>	Ranor<25>	Nagal<26>	Jajac<27>	Hegla<28>	Chlan<29>	Elmax<30>	Chasi<31>	Ectel<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>
OG0000043	5.19324e-06	6.12531e-08	0.892151	0.257829	0.000137368	1.1535e-05	5.01584e-14	1.4194e-14	0.808488	0.000227636	0.0580757	0.306112	0.777981	0.777981	0.683525	0.0135029	0.255739	0.700544	0.0282909	4.93037e-05	0.254581	0.4699	0.274358	0.290815	0.17158	0.728767	0.0364196	0.734613	0.0650657	0.0767876	0.449612	0.00753583	N/A	0.000105651	0.312025	0.653165	0.544139	0.61016	2.76502e-05	0.0382481	0.925006	0.867743	7.40336e-05	0.000197897	0.147436	0.661466	0.681331	0.563152	0.749449	0.556398	0.142345	0.681799	6.37949e-09	0.543822	0.645677	0.556242	0.61203	0.572776	0.192575	0.569607	0.124875	0.636983	0.178869
OG0000052	0.000692023	0.126334	0.00127398	0.289514	0.571229	0.00658918	1.0416e-17	0.500206	0.112801	0.00839555	1.27549e-07	4.5238e-08	0.0183131	0.31639	4.50755e-05	0.000151488	0.367816	0.0894433	0.191402	1.74506e-12	0.146621	0.323075	8.09579e-06	0.228963	0.306011	0.696108	0.00595295	1.21802e-09	0.00113893	0.202949	0.167834	1.08313e-05	N/A	0.0540719	0.0187593	0.668669	0.549953	0.0744523	0.601786	0.00217582	0.220695	0.0024253	0.588538	0.000118021	0.819434	0.00402758	1.17551e-06	0.000516334	0.851071	0.0132745	0.365799	0.790961	0.331629	0.528384	0.00313528	0.530879	0.00474587	0.555298	0.597798	0.555494	0.647513	0.594403	0.57932
OG0000060	0.0168644	0.000515252	0.00573711	0.453917	0.0624375	0.169178	0.500069	0.500069	0.603491	0.15643	0.599934	0.542011	0.0157537	0.530537	0.377527	0.377527	0.173235	0.217537	0.0592798	5.87161e-09	1.56359e-20	0.000786524	0.00110516	4.61054e-11	3.48587e-08	0.755173	2.02958e-06	0.000137581	0.713273	0.783912	0.000252945	0.736773	N/A	0.0316007	0.733911	0.553346	0.513252	0.535993	0.35667	0.582846	0.364372	0.624692	0.656431	0.18851	0.566019	0.512615	6.40628e-14	8.85527e-08	0.210004	0.027908	0.0877612	0.840818	0.207408	0.539492	0.633815	0.550793	0.0599013	0.569368	0.620216	1.87379e-06	0.274631	0.00532951	0.00282314
OG0000061	0.315866	0.299199	7.366e-05	0.927562	0.000746899	0.55555	7.88546e-47	3.98172e-23	0.245999	7.73737e-06	0.000779776	7.86471e-08	0.702124	0.000302406	0.253663	0.664876	0.345361	0.75159	0.0654942	0.0397385	0.133018	0.0391809	0.705855	0.15593	0.0899057	0.643631	0.107542	0.00640524	0.637104	0.717482	0.674534	0.269814	N/A	1.65554e-05	0.000247971	0.735316	0.579953	0.680887	0.682994	0.783871	0.202516	0.839068	0.0118193	0.108951	0.515843	0.602517	0.698105	0.571156	0.0425684	0.034884	0.0344507	0.729075	0.351665	0.521522	0.579015	0.527924	0.558638	0.536677	0.566606	0.53681	0.603986	0.573596	0.0929507
OG0000062	3.45687e-10	1.5379e-11	0.00060055	1.12368e-05	1.03843e-05	0.860498	0.00018876	0.000566008	0.0398864	6.32468e-05	0.722369	0.0653508	0.583585	0.0019018	3.01588e-07	0.438688	0.729597	0.0934946	0.45063	3.28458e-05	0.000786524	1.89096e-05	0.116753	1.71863e-12	1.04593e-05	0.00108752	3.98091e-09	5.71433e-09	0.00026057	0.0593246	1.09642e-19	3.08464e-06	N/A	0.0947162	0.00052992	0.0001429	0.563995	6.68382e-05	0.218571	0.693914	0.14456	0.0380908	0.764048	0.351667	0.662471	0.536438	0.0415163	0.586483	0.00319844	0.577597	0.480255	0.707226	0.00091013	0.537303	0.0781173	0.550793	0.597155	0.094572	0.00336088	0.551852	0.65525	0.619688	0.601424
OG0000066	0.00387822	0.518923	0.00152962	0.00782622	0.725113	3.36929e-06	2.41501e-23	8.58e-05	0.000985342	0.000282008	4.31626e-11	0.723717	0.680475	0.000967618	0.139684	0.393579	0.0001127	0.111234	7.2481e-06	0.234621	0.645213	0.222514	0.239804	0.0519264	0.00719694	0.643631	0.000100994	0.000942012	0.637104	0.15742	0.689072	5.83917e-10	N/A	0.0947162	0.0149221	0.661073	0.547061	0.616515	0.584461	0.000102042	0.52419	0.00178145	0.843488	0.0313919	0.478998	0.588662	1.17551e-06	1.26539e-08	1.08201e-06	0.637631	0.0679057	0.511621	0.00663862	0.521522	4.14656e-05	0.518884	0.558638	0.536677	0.566606	0.53681	0.603986	0.573596	0.561426
OG0000067	0.0067871	0.0133774	0.00346187	0.000164727	0.894248	0.881859	0.500274	0.500274	0.0224942	0.000128892	0.871572	0.795741	0.079941	0.403626	0.144543	0.595698	0.192803	0.479274	0.218819	0.000136471	0.022901	0.159911	1.3137e-05	0.242198	0.00440166	0.0189605	0.172372	1.56518e-07	0.137718	0.441951	0.0113705	0.203984	N/A	0.0540719	0.85911	0.636358	0.538207	0.0561693	0.390154	0.382869	0.0211044	0.0269511	0.601308	2.02253e-05	0.00127899	0.639784	0.0415163	0.586483	2.43473e-07	0.0435317	0.0937903	0.738844	0.0203058	0.532876	0.000168645	0.533806	0.0494744	0.558883	0.603603	0.559089	0.65525	0.60738	0.0520278
OG0000071	0.289342	0.630563	0.426178	0.00800755	0.469155	0.868856	0.00046314	0.500309	0.712453	0.331773	0.337336	0.731697	0.00364804	0.695215	0.0156201	0.00662468	0.931161	0.000420086	0.212709	7.39088e-07	0.0698777	0.741231	0.201622	0.000544628	0.0409046	0.306011	0.162067	0.013019	0.679209	0.765721	0.356009	0.726226	N/A	0.235487	0.842826	0.618121	0.532155	0.58293	0.839766	0.707418	0.628828	0.771687	0.142851	0.000184345	0.106283	0.0539111	1.74314e-05	0.0637116	0.83249	0.0606726	0.146298	0.226478	0.881534	0.530639	0.607982	0.539577	0.581332	0.551668	0.0528232	0.555494	0.639472	0.600978	0.129297
OG0000074	0.166014	0.00115814	0.503754	0.257829	0.190391	0.042197	0.00102868	3.47132e-07	0.78519	0.78519	0.436803	0.249988	0.0318712	0.000903674	0.311836	0.139517	0.496269	0.0292513	0.107327	0.290339	0.133018	0.300604	0.321196	0.716081	0.631208	0.200915	0.665152	0.637104	0.00640524	0.717482	0.0370776	0.293639	N/A	0.00912044	0.871284	0.653165	0.544139	0.61016	0.165892	0.76894	0.0695206	0.322181	0.0433687	0.000208648	0.0433759	0.632022	0.698105	0.571156	0.766848	0.563647	0.870881	0.667527	0.351665	0.521522	0.579015	0.527924	0.558638	0.536677	0.566606	0.0554948	0.603986	0.573596	0.561426
OG0000075	0.845432	0.559755	0.559755	0.119337	0.85619	0.192686	0.50024	0.50024	0.676068	0.676068	0.229164	0.0221272	0.61737	0.61737	0.0174084	0.700374	0.380441	0.0691278	0.774496	0.0587433	0.26499	0.26499	0.503724	0.0144215	0.179969	0.735893	0.760819	0.0236147	0.720747	0.0767876	0.113712	0.00865287	N/A	0.687124	0.804909	0.587773	0.522846	0.560444	0.801165	0.663195	0.83776	0.72502	0.418995	0.0571506	0.71295	0.553151	0.00371095	0.593819	0.0126799	0.584308	0.0937903	0.182845	8.30183e-05	0.543822	0.0922277	0.558928	0.61203	0.572776	0.625499	0.573025	0.285536	0.636983	0.616788
