FamilyID	Luden<1>	Ornil<2>	Thmac<3>	Mymur<4>	Gamor<5>	Ammel<6>	Asmec<7>	Asmes<8>	Trros<9>	Trtib<10>	Darer<11>	Sirhi<12>	Sigra<13>	Sians<14>	Miuni<15>	Geser<16>	Ammex<17>	Plwal<18>	Prang<19>	Bubuf<20>	Soara<21>	Ereur<22>	Cocri<23>	Orcun<24>	Ranor<25>	Nagal<26>	Jajac<27>	Hegla<28>	Chlan<29>	Elmax<30>	Chasi<31>	Ectel<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>
OG0000043	-9	14	0	2	-8	14	4	-4	0	-5	4	1	0	0	0	-2	2	-1	5	-5	1	-1	1	1	1	0	-2	0	2	2	-1	-3	0	9	-2	0	0	0	9	3	0	0	-8	7	2	0	0	0	0	0	2	0	12	0	0	0	0	0	-1	0	1	0	-1
OG0000052	-7	3	8	2	1	-4	-4	0	2	-3	11	8	-2	-1	6	-5	-3	5	4	19	1	-1	-5	1	-1	0	3	8	-3	1	1	-5	0	4	4	0	0	1	-1	-3	-2	4	-1	6	0	-2	6	3	0	2	2	0	-2	0	-2	0	2	0	0	0	0	0	0
OG0000060	3	5	-3	-1	-2	1	0	0	0	-1	0	0	1	0	1	1	5	-5	8	17	19	-4	-4	12	8	0	-6	-4	0	0	-4	0	0	-4	0	0	0	0	-1	0	-1	0	0	-1	0	0	12	6	2	2	5	0	-3	0	0	0	1	0	0	4	-1	-2	-2
OG0000061	-3	-3	12	0	11	1	-11	6	1	-6	6	-7	0	4	-1	0	2	-1	5	3	1	2	0	1	1	0	1	-2	0	0	0	-1	0	11	8	0	0	0	-1	0	-3	0	-4	2	-1	0	0	0	-2	1	4	0	1	0	0	0	0	0	0	0	0	0	-1
OG0000062	-15	23	10	13	-10	0	1	-1	2	-4	0	1	0	-2	8	-1	-1	4	-2	-6	-4	6	2	13	5	-3	-7	-7	4	-2	18	-6	0	3	6	4	0	4	-2	0	2	-2	0	-1	0	0	2	0	4	0	1	0	6	0	1	0	0	-1	-2	0	0	0	0
OG0000066	-6	1	7	6	-1	-6	-5	1	-4	5	14	0	0	-3	2	1	-12	5	19	2	0	-1	-1	2	-2	0	4	3	0	1	0	-7	0	3	4	0	0	0	-1	-4	-1	4	0	3	-1	0	6	6	10	0	5	-1	-5	0	-3	0	0	0	0	0	0	0	0
OG0000067	-5	5	6	-7	0	0	0	0	3	-5	0	0	2	-1	-1	0	3	-2	3	7	-2	1	-5	1	3	-2	1	-6	1	-1	3	1	0	4	0	0	0	1	1	-1	-4	3	-1	7	5	0	2	0	-7	1	3	0	4	0	-3	0	1	0	0	0	0	0	1
OG0000071	-2	-1	1	5	1	0	-1	0	0	-1	1	0	3	0	3	-3	0	12	-4	11	2	0	1	-4	2	-1	1	-2	0	0	-1	0	0	2	0	0	0	0	0	0	-1	0	-2	5	2	1	5	1	0	1	3	1	0	0	0	0	0	0	1	0	0	0	-1
OG0000074	-3	7	1	2	-3	-4	-1	2	0	0	1	1	-2	4	-1	1	1	-4	3	1	1	-1	-1	0	0	-1	0	0	-2	0	2	-1	0	6	0	0	0	0	2	0	4	1	-3	6	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0
OG0000075	0	-1	-1	2	0	-2	0	0	0	0	1	2	0	0	-2	0	2	5	-1	3	1	1	-1	-3	1	0	0	-2	0	2	2	-3	0	-1	0	0	0	0	0	0	0	0	-1	2	0	0	3	0	-3	0	3	1	8	0	1	0	0	0	0	0	-1	0	0
