Taxon_ID	Increase	Decrease
Luden<1>	1476	1922
<34>	2834	289
<35>	689	1327
<36>	25	138
<38>	58	0
Thmac<3>	506	1125
<42>	578	357
Mymur<4>	562	1466
<45>	7793	173
Ornil<2>	791	1253
<39>	818	633
<40>	60	1164
Asmes<8>	401	337
Miuni<15>	1105	497
Geser<16>	348	511
<50>	49	0
<37>	2	96
Nagal<26>	397	604
<48>	42	276
<49>	283	2417
<43>	89	1543
Gamor<5>	575	2430
<61>	49	396
Asmec<7>	299	970
<63>	60	270
<44>	2938	298
Darer<11>	783	2167
Ammel<6>	683	2185
<41>	472	606
Sirhi<12>	2050	810
Sigra<13>	2279	1419
Trros<9>	509	800
<47>	68	0
Trtib<10>	564	1667
<56>	36	150
Soara<21>	363	762
Hegla<28>	367	562
<46>	947	237
Sians<14>	1403	1673
Ereur<22>	409	579
<51>	885	557
<52>	24	7
Ammex<17>	2228	2469
Bubuf<20>	724	2908
<53>	443	2718
<55>	25	490
Plwal<18>	1049	6953
Prang<19>	3248	1281
<54>	8	76
Cocri<23>	189	1227
<62>	25	506
<59>	142	92
<60>	68	86
Ranor<25>	560	350
<57>	142	191
Orcun<24>	1193	980
Chlan<29>	247	635
<58>	32	130
Jajac<27>	889	517
Elmax<30>	351	365
Chasi<31>	420	567
Ectel<32>	288	847
