OG_ID,analysis_absrel
OG0004980,absrel
OG0005419,absrel
OG0005590,absrel
OG0006101,absrel
OG0006177,absrel
OG0006898,absrel
OG0006938,absrel
OG0006979,absrel
OG0007189,absrel
OG0007217,absrel
OG0007292,absrel
OG0007301,absrel
OG0007932,absrel
OG0007968,absrel
OG0008046,absrel
OG0008452,absrel
OG0008458,absrel
OG0008562,absrel
OG0008778,absrel
OG0009005,absrel
OG0009166,absrel
OG0009203,absrel
OG0009227,absrel
OG0009398,absrel
OG0009444,absrel
OG0009509,absrel
OG0009830,absrel
OG0009861,absrel
OG0009871,absrel
OG0010019,absrel
OG0010081,absrel
OG0010588,absrel
OG0010594,absrel
OG0011061,absrel
OG0011069,absrel
OG0011070,absrel
OG0011098,absrel
OG0011151,absrel
OG0011183,absrel
OG0011623,absrel
OG0011686,absrel
OG0011940,absrel
OG0012007,absrel
OG0012028,absrel
OG0012115,absrel
