OG_ID,analysis_paml
OG0007572,paml_selected
OG0011979,paml_selected
OG0006622,paml_selected
OG0005125,paml_selected
OG0005582,paml_selected
OG0006104,paml_selected
OG0006215,paml_selected
OG0006268,paml_selected
OG0006421,paml_selected
OG0006835,paml_selected
OG0006938,paml_selected
OG0007481,paml_selected
OG0007641,paml_selected
OG0008079,paml_selected
OG0008266,paml_selected
OG0008697,paml_selected
OG0008713,paml_selected
OG0008823,paml_selected
OG0010451,paml_selected
OG0010580,paml_selected
OG0010888,paml_selected
OG0011170,paml_selected
OG0011566,paml_selected
OG0011704,paml_selected
OG0005064,paml_selected
OG0005419,paml_selected
OG0005601,paml_selected
OG0005695,paml_selected
OG0006009,paml_selected
OG0006432,paml_selected
OG0006457,paml_selected
OG0006500,paml_selected
OG0006642,paml_selected
OG0006879,paml_selected
OG0006898,paml_selected
OG0007039,paml_selected
OG0007189,paml_selected
OG0007191,paml_selected
OG0007348,paml_selected
OG0007494,paml_selected
OG0008072,paml_selected
OG0008167,paml_selected
OG0008202,paml_selected
OG0008372,paml_selected
OG0008407,paml_selected
OG0008562,paml_selected
OG0008675,paml_selected
OG0008985,paml_selected
OG0009203,paml_selected
OG0009309,paml_selected
OG0009434,paml_selected
OG0009704,paml_selected
OG0009875,paml_selected
OG0010244,paml_selected
OG0010367,paml_selected
OG0010468,paml_selected
OG0010493,paml_selected
OG0010513,paml_selected
OG0010612,paml_selected
OG0010672,paml_selected
OG0010794,paml_selected
OG0011070,paml_selected
OG0011151,paml_selected
OG0011348,paml_selected
OG0011631,paml_selected
OG0011793,paml_selected
OG0011807,paml_selected
OG0012340,paml_selected
OG0012625,paml_selected
OG0005421,paml_selected
OG0005450,paml_selected
OG0005592,paml_selected
OG0005596,paml_selected
OG0005697,paml_selected
OG0005741,paml_selected
OG0005794,paml_selected
OG0005798,paml_selected
OG0005888,paml_selected
OG0005900,paml_selected
OG0005984,paml_selected
OG0006004,paml_selected
OG0006065,paml_selected
OG0006091,paml_selected
OG0006093,paml_selected
OG0006099,paml_selected
OG0006116,paml_selected
OG0006195,paml_selected
OG0006301,paml_selected
OG0006359,paml_selected
OG0006391,paml_selected
OG0006407,paml_selected
OG0006409,paml_selected
OG0006413,paml_selected
OG0006417,paml_selected
OG0006467,paml_selected
OG0006495,paml_selected
OG0006555,paml_selected
OG0006579,paml_selected
OG0006582,paml_selected
OG0006635,paml_selected
OG0006677,paml_selected
OG0006680,paml_selected
OG0006695,paml_selected
OG0006784,paml_selected
OG0006821,paml_selected
OG0006857,paml_selected
OG0006902,paml_selected
OG0006905,paml_selected
OG0007018,paml_selected
OG0007026,paml_selected
OG0007069,paml_selected
OG0007102,paml_selected
OG0007138,paml_selected
OG0007151,paml_selected
OG0007185,paml_selected
OG0007286,paml_selected
OG0007292,paml_selected
OG0007306,paml_selected
OG0007414,paml_selected
OG0007519,paml_selected
OG0007520,paml_selected
OG0007553,paml_selected
OG0007560,paml_selected
OG0007623,paml_selected
OG0007672,paml_selected
OG0007678,paml_selected
OG0007695,paml_selected
OG0007708,paml_selected
OG0007722,paml_selected
OG0007733,paml_selected
OG0007803,paml_selected
OG0007853,paml_selected
OG0007896,paml_selected
OG0007922,paml_selected
OG0007930,paml_selected
OG0007934,paml_selected
OG0007953,paml_selected
OG0007962,paml_selected
OG0008012,paml_selected
OG0008015,paml_selected
OG0008017,paml_selected
OG0008038,paml_selected
OG0008118,paml_selected
OG0008136,paml_selected
OG0008170,paml_selected
OG0008223,paml_selected
OG0008227,paml_selected
OG0008247,paml_selected
OG0008268,paml_selected
OG0008280,paml_selected
OG0008365,paml_selected
OG0008398,paml_selected
