OG	count
OG0007572	8
OG0011979	8
OG0006622	7
OG0006421	6
OG0008823	6
OG0008079	6
OG0010580	6
OG0006938	6
OG0011704	6
OG0006268	6
OG0005582	6
OG0007481	6
OG0011566	6
OG0005125	6
OG0010888	6
OG0010451	6
OG0008713	6
OG0008697	6
OG0007641	6
OG0006215	6
OG0008266	6
OG0006104	6
OG0006835	6
OG0011170	6
OG0006898	5
OG0009875	5
OG0005064	5
OG0008372	5
OG0008562	5
OG0008072	5
OG0009704	5
OG0005419	5
OG0011631	5
OG0009309	5
OG0011348	5
OG0010367	5
OG0006642	5
OG0006500	5
OG0008407	5
OG0008675	5
OG0012340	5
OG0005695	5
OG0011807	5
OG0010794	5
OG0007191	5
OG0007348	5
OG0012625	5
OG0010612	5
OG0006457	5
OG0010468	5
OG0008202	5
OG0011151	5
OG0007494	5
OG0011070	5
OG0009434	5
OG0010244	5
OG0006879	5
OG0008985	5
OG0007039	5
OG0011793	5
OG0006009	5
OG0006432	5
OG0007189	5
OG0010672	5
OG0010493	5
OG0010513	5
OG0005601	5
OG0009203	5
OG0008167	5
OG0011669	4
OG0009190	4
OG0006417	4
OG0011768	4
OG0007102	4
OG0008716	4
OG0010369	4
OG0006677	4
OG0010308	4
OG0009974	4
OG0006407	4
OG0005697	4
OG0008017	4
OG0006695	4
OG0007803	4
OG0008280	4
OG0006582	4
OG0006902	4
OG0008967	4
OG0008247	4
OG0008227	4
OG0006495	4
OG0007623	4
OG0006784	4
OG0009833	4
OG0005900	4
OG0007151	4
OG0008688	4
OG0007953	4
OG0007896	4
OG0007138	4
OG0006359	4
OG0007934	4
OG0012267	4
OG0005794	4
OG0009828	4
OG0010566	4
OG0005596	4
OG0007672	4
OG0011750	4
OG0007026	4
OG0009277	4
OG0010786	4
OG0009313	4
OG0010678	4
OG0007185	4
OG0007414	4
OG0006821	4
OG0012085	4
OG0008524	4
OG0005421	4
OG0006409	4
OG0008365	4
OG0006195	4
OG0009955	4
OG0010588	4
OG0008419	4
OG0007286	4
OG0008765	4
OG0008170	4
OG0006004	4
OG0006857	4
OG0007678	4
OG0006099	4
OG0009472	4
OG0007519	4
OG0005741	4
OG0008268	4
OG0011470	4
OG0011444	4
OG0008933	4
OG0008484	4
OG0011458	4
OG0007069	4
OG0007018	4
OG0006413	4
OG0008015	4
OG0008463	4
OG0007560	4
OG0009235	4
OG0005984	4
OG0007922	4
OG0005798	4
OG0009384	4
OG0012007	4
OG0012392	4
OG0010265	4
OG0006391	4
OG0011386	4
OG0011066	4
OG0010876	4
OG0007930	4
OG0009260	4
OG0008676	4
OG0011242	4
OG0008910	4
OG0010766	4
OG0010834	4
OG0005592	4
OG0011656	4
OG0006093	4
OG0009991	4
OG0006091	4
OG0010900	4
OG0012539	4
OG0008533	4
OG0009405	4
OG0007520	4
OG0006579	4
OG0005450	4
OG0006065	4
OG0010710	4
OG0008136	4
OG0008038	4
OG0010458	4
OG0011595	4
OG0009449	4
OG0010671	4
OG0010755	4
OG0009593	4
OG0007733	4
OG0011061	4
OG0011164	4
OG0007722	4
OG0011281	4
OG0006555	4
OG0009572	4
OG0011992	4
OG0006467	4
OG0009850	4
OG0012763	4
OG0009612	4
OG0011724	4
OG0009527	4
OG0011962	4
