OG	analysis
OG0004783	eye_loss
OG0004868	eye_loss
OG0005066	eye_loss
OG0005100	eye_loss
OG0005125	eye_loss
OG0005209	eye_loss
OG0005286	eye_loss
OG0005305	eye_loss
OG0005372	eye_loss
OG0005378	eye_loss
OG0005419	eye_loss
OG0005421	eye_loss
OG0005477	eye_loss
OG0005557	eye_loss
OG0005564	eye_loss
OG0005572	eye_loss
OG0005579	eye_loss
OG0005582	eye_loss
OG0005596	eye_loss
OG0005601	eye_loss
OG0005611	eye_loss
OG0005628	eye_loss
OG0005650	eye_loss
OG0005669	eye_loss
OG0005695	eye_loss
OG0005711	eye_loss
OG0005715	eye_loss
OG0005741	eye_loss
OG0005794	eye_loss
OG0005798	eye_loss
OG0005846	eye_loss
OG0005851	eye_loss
OG0005860	eye_loss
OG0005883	eye_loss
OG0005916	eye_loss
OG0005935	eye_loss
OG0005936	eye_loss
OG0005941	eye_loss
OG0005944	eye_loss
OG0005945	eye_loss
OG0005965	eye_loss
OG0005984	eye_loss
OG0005992	eye_loss
OG0006009	eye_loss
OG0006073	eye_loss
OG0006093	eye_loss
OG0006099	eye_loss
OG0006104	eye_loss
OG0006183	eye_loss
OG0006193	eye_loss
OG0006215	eye_loss
OG0006228	eye_loss
OG0006268	eye_loss
OG0006282	eye_loss
OG0006301	eye_loss
OG0006359	eye_loss
OG0006391	eye_loss
OG0006407	eye_loss
OG0006409	eye_loss
OG0006417	eye_loss
OG0006421	eye_loss
OG0006422	eye_loss
OG0006432	eye_loss
OG0006445	eye_loss
OG0006457	eye_loss
OG0006464	eye_loss
OG0006467	eye_loss
OG0006484	eye_loss
OG0006500	eye_loss
OG0006505	eye_loss
OG0006511	eye_loss
OG0006512	eye_loss
OG0006517	eye_loss
OG0006542	eye_loss
OG0006569	eye_loss
OG0006574	eye_loss
OG0006582	eye_loss
OG0006583	eye_loss
OG0006622	eye_loss
OG0006642	eye_loss
OG0006657	eye_loss
OG0006676	eye_loss
OG0006677	eye_loss
OG0006688	eye_loss
OG0006690	eye_loss
OG0006732	eye_loss
OG0006745	eye_loss
OG0006784	eye_loss
OG0006826	eye_loss
OG0006835	eye_loss
OG0006845	eye_loss
OG0006857	eye_loss
OG0006863	eye_loss
OG0006871	eye_loss
OG0006878	eye_loss
OG0006879	eye_loss
OG0006915	eye_loss
OG0006938	eye_loss
OG0006969	eye_loss
OG0006993	eye_loss
OG0006999	eye_loss
OG0007026	eye_loss
OG0007039	eye_loss
OG0007051	eye_loss
OG0007058	eye_loss
OG0007075	eye_loss
OG0007076	eye_loss
OG0007077	eye_loss
OG0007172	eye_loss
OG0007185	eye_loss
OG0007189	eye_loss
OG0007191	eye_loss
OG0007213	eye_loss
OG0007221	eye_loss
OG0007226	eye_loss
OG0007227	eye_loss
OG0007292	eye_loss
OG0007306	eye_loss
OG0007317	eye_loss
OG0007337	eye_loss
OG0007348	eye_loss
OG0007354	eye_loss
OG0007360	eye_loss
OG0007378	eye_loss
OG0007382	eye_loss
OG0007414	eye_loss
OG0007419	eye_loss
OG0007433	eye_loss
OG0007469	eye_loss
OG0007481	eye_loss
OG0007494	eye_loss
OG0007519	eye_loss
OG0007520	eye_loss
OG0007532	eye_loss
OG0007572	eye_loss
OG0007589	eye_loss
OG0007606	eye_loss
OG0007611	eye_loss
OG0007620	eye_loss
OG0007641	eye_loss
OG0007647	eye_loss
OG0007672	eye_loss
OG0007688	eye_loss
OG0007695	eye_loss
OG0007713	eye_loss
OG0007714	eye_loss
OG0007722	eye_loss
OG0007739	eye_loss
OG0007747	eye_loss
OG0007754	eye_loss
OG0007756	eye_loss
OG0007774	eye_loss
OG0007799	eye_loss
OG0007803	eye_loss
OG0007843	eye_loss
OG0007845	eye_loss
OG0007853	eye_loss
OG0007862	eye_loss
OG0007895	eye_loss
OG0007896	eye_loss
OG0007915	eye_loss
OG0007930	eye_loss
OG0007934	eye_loss
OG0007953	eye_loss
OG0007956	eye_loss
OG0007993	eye_loss
OG0008015	eye_loss
OG0008017	eye_loss
OG0008022	eye_loss
OG0008038	eye_loss
OG0008072	eye_loss
OG0008079	eye_loss
OG0008082	eye_loss
OG0008105	eye_loss
OG0008136	eye_loss
OG0008167	eye_loss
OG0008170	eye_loss
OG0008197	eye_loss
OG0008201	eye_loss
OG0008202	eye_loss
OG0008212	eye_loss
OG0008223	eye_loss
OG0008227	eye_loss
OG0008237	eye_loss
OG0008247	eye_loss
OG0008266	eye_loss
OG0008276	eye_loss
OG0008280	eye_loss
OG0008320	eye_loss
OG0008321	eye_loss
OG0008365	eye_loss
OG0008401	eye_loss
OG0008426	eye_loss
OG0008485	eye_loss
OG0008562	eye_loss
OG0008602	eye_loss
OG0008634	eye_loss
OG0008645	eye_loss
OG0008668	eye_loss
OG0008669	eye_loss
OG0008675	eye_loss
OG0008676	eye_loss
OG0008688	eye_loss
OG0008697	eye_loss
OG0008702	eye_loss
OG0008713	eye_loss
OG0008735	eye_loss
OG0008765	eye_loss
OG0008785	eye_loss
OG0008786	eye_loss
OG0008790	eye_loss
OG0008808	eye_loss
OG0008860	eye_loss
OG0008868	eye_loss
OG0008892	eye_loss
OG0008897	eye_loss
OG0008900	eye_loss
OG0008901	eye_loss
OG0008910	eye_loss
OG0008911	eye_loss
OG0008920	eye_loss
OG0008929	eye_loss
OG0008933	eye_loss
OG0008960	eye_loss
OG0008971	eye_loss
OG0008985	eye_loss
OG0009038	eye_loss
OG0009079	eye_loss
OG0009154	eye_loss
OG0009189	eye_loss
OG0009231	eye_loss
OG0009277	eye_loss
OG0009309	eye_loss
OG0009313	eye_loss
OG0009354	eye_loss
OG0009384	eye_loss
OG0009408	eye_loss
OG0009409	eye_loss
OG0009415	eye_loss
OG0009434	eye_loss
OG0009449	eye_loss
OG0009451	eye_loss
OG0009484	eye_loss
OG0009488	eye_loss
OG0009572	eye_loss
OG0009596	eye_loss
OG0009612	eye_loss
OG0009638	eye_loss
OG0009717	eye_loss
OG0009718	eye_loss
OG0009724	eye_loss
OG0009733	eye_loss
OG0009749	eye_loss
OG0009756	eye_loss
OG0009785	eye_loss
OG0009833	eye_loss
OG0009849	eye_loss
OG0009875	eye_loss
OG0009891	eye_loss
OG0009893	eye_loss
OG0009918	eye_loss
OG0009919	eye_loss
OG0009922	eye_loss
OG0009935	eye_loss
OG0009936	eye_loss
OG0009952	eye_loss
OG0009955	eye_loss
OG0009974	eye_loss
OG0009991	eye_loss
OG0010026	eye_loss
OG0010050	eye_loss
OG0010076	eye_loss
OG0010082	eye_loss
OG0010085	eye_loss
OG0010115	eye_loss
OG0010212	eye_loss
OG0010217	eye_loss
OG0010244	eye_loss
OG0010262	eye_loss
OG0010265	eye_loss
OG0010303	eye_loss
OG0010308	eye_loss
OG0010325	eye_loss
OG0010331	eye_loss
OG0010366	eye_loss
OG0010367	eye_loss
OG0010378	eye_loss
OG0010416	eye_loss
OG0010453	eye_loss
OG0010468	eye_loss
OG0010493	eye_loss
OG0010503	eye_loss
OG0010539	eye_loss
OG0010552	eye_loss
OG0010577	eye_loss
OG0010580	eye_loss
OG0010606	eye_loss
OG0010607	eye_loss
OG0010634	eye_loss
OG0010672	eye_loss
OG0010675	eye_loss
OG0010678	eye_loss
OG0010710	eye_loss
OG0010725	eye_loss
OG0010754	eye_loss
OG0010755	eye_loss
OG0010761	eye_loss
OG0010764	eye_loss
OG0010766	eye_loss
OG0010783	eye_loss
OG0010788	eye_loss
OG0010802	eye_loss
OG0010847	eye_loss
OG0010884	eye_loss
OG0010888	eye_loss
OG0010900	eye_loss
OG0010982	eye_loss
OG0011012	eye_loss
OG0011016	eye_loss
OG0011041	eye_loss
OG0011053	eye_loss
OG0011066	eye_loss
OG0011070	eye_loss
OG0011093	eye_loss
OG0011099	eye_loss
OG0011125	eye_loss
OG0011164	eye_loss
OG0011170	eye_loss
OG0011172	eye_loss
OG0011175	eye_loss
OG0011207	eye_loss
OG0011214	eye_loss
OG0011233	eye_loss
OG0011261	eye_loss
OG0011274	eye_loss
OG0011310	eye_loss
OG0011347	eye_loss
OG0011348	eye_loss
OG0011376	eye_loss
OG0011377	eye_loss
OG0011386	eye_loss
OG0011412	eye_loss
OG0011424	eye_loss
OG0011435	eye_loss
OG0011444	eye_loss
OG0011458	eye_loss
OG0011463	eye_loss
OG0011514	eye_loss
OG0011515	eye_loss
OG0011526	eye_loss
OG0011528	eye_loss
OG0011556	eye_loss
OG0011566	eye_loss
OG0011595	eye_loss
OG0011605	eye_loss
OG0011631	eye_loss
OG0011661	eye_loss
OG0011667	eye_loss
OG0011671	eye_loss
OG0011681	eye_loss
OG0011684	eye_loss
OG0011690	eye_loss
OG0011704	eye_loss
OG0011708	eye_loss
OG0011710	eye_loss
OG0011724	eye_loss
OG0011750	eye_loss
OG0011757	eye_loss
OG0011758	eye_loss
OG0011765	eye_loss
OG0011768	eye_loss
OG0011776	eye_loss
OG0011793	eye_loss
OG0011807	eye_loss
OG0011919	eye_loss
OG0011934	eye_loss
OG0011961	eye_loss
OG0011971	eye_loss
OG0011977	eye_loss
OG0012007	eye_loss
OG0012080	eye_loss
