gene_symbol,condition
AAK1,eyeloss
ABCB11,eyeloss
ABCB6,eyeloss
ABCD1,eyeloss
ABHD11,eyeloss
ABI2,eyeloss
ACKR3,eyeloss
ACSL5,eyeloss
ACTB,eyeloss
ACTG1,eyeloss
ADAM32,eyeloss
ADAMTS18,eyeloss
ADIPOR1,eyeloss
ADSL,eyeloss
AGAP1,eyeloss
AGL,eyeloss
AHCYL1,eyeloss
AHRR,eyeloss
AHSA2,eyeloss
AIRE,eyeloss
AKR1D1,eyeloss
AKTIP,eyeloss
ALDH16A1,eyeloss
ALDH1A3,eyeloss
ALDH1L1,eyeloss
ALDH2,eyeloss
ALX1,eyeloss
ANKRD11,eyeloss
ANKRD27,eyeloss
ANXA6,eyeloss
AOC1,eyeloss
APC,eyeloss
APOC4,eyeloss
AQP6,eyeloss
ARAP3,eyeloss
ARF3,eyeloss
ARHGAP25,eyeloss
ARHGAP33,eyeloss
ARHGEF11,eyeloss
ARL6IP1,eyeloss
ARVCF,eyeloss
ASCC2,eyeloss
ASH1L,eyeloss
ASPA,eyeloss
ASXL1,eyeloss
ATF3,eyeloss
ATOH7,eyeloss
ATP11A,eyeloss
ATP5S,eyeloss
B3GALNT2,eyeloss
BAHD1,eyeloss
BAIAP2L2,eyeloss
BARX2,eyeloss
BBS5,eyeloss
BCOR,eyeloss
BMP2K,eyeloss
BMP4,eyeloss
BMP7,eyeloss
BMS1,eyeloss
BRCC3,eyeloss
BRPF1,eyeloss
C10ORF11,eyeloss
C12orf57,eyeloss
C1QTNF5,eyeloss
C2ORF71,eyeloss
CANT1,eyeloss
CAP2,eyeloss
CAPN12,eyeloss
CBX2,eyeloss
CDC42,eyeloss
CDH10,eyeloss
CDH2,eyeloss
CDH23,eyeloss
CDH4,eyeloss
CDIPT,eyeloss
CDKAL1,eyeloss
CDKN2A,eyeloss
CDSN,eyeloss
CENPE,eyeloss
CEP290,eyeloss
CERKL,eyeloss
CHD7,eyeloss
CHIC2,eyeloss
CHM,eyeloss
CHST5,eyeloss
CISD2,eyeloss
CLN6,eyeloss
CLSTN1,eyeloss
COL4A1,eyeloss
COL4A5,eyeloss
COQ6,eyeloss
COX7B,eyeloss
CPA2,eyeloss
CRB2,eyeloss
CRIM1,eyeloss
CRPPA,eyeloss
CRYAA,eyeloss
CRYBA4,eyeloss
CSNK1G2,eyeloss
CSPP1,eyeloss
CTH,eyeloss
CTLA2B,eyeloss
CTS6,eyeloss
CYB561,eyeloss
CYB561A3,eyeloss
CYBA,eyeloss
CYP4B1,eyeloss
CYP4F14,eyeloss
CYP7A1,eyeloss
D16ERTD472E,eyeloss
D630023F18RIK,eyeloss
DAG1,eyeloss
DBN1,eyeloss
DBR1,eyeloss
DCP2,eyeloss
DCTN1,eyeloss
DCTN2,eyeloss
DCTN5,eyeloss
DHX40,eyeloss
DICER1,eyeloss
DIXDC1,eyeloss
DLEC1,eyeloss
DNASE1L2,eyeloss
DNER,eyeloss
DNM1L,eyeloss
DOCK6,eyeloss
DOT1L,eyeloss
DPP9,eyeloss
DSC2,eyeloss
DSG1B,eyeloss
DTNBP1,eyeloss
DUOXA2,eyeloss
DUSP11,eyeloss
EDDM3B,eyeloss
EFNA4,eyeloss
EFNA5,eyeloss
ELK3,eyeloss
ELL2,eyeloss
ELMO3,eyeloss
ELMOD1,eyeloss
EMC8,eyeloss
EPB41L5,eyeloss
EPC2,eyeloss
ERCC1,eyeloss
ERCC5,eyeloss
ERCC6,eyeloss
ETFDH,eyeloss
FABP3,eyeloss
FADD,eyeloss
FAM111A,eyeloss
FAM151B,eyeloss
FAM162A,eyeloss
FAM216A,eyeloss
FAM49B,eyeloss
FANCL,eyeloss
FBP2,eyeloss
FBXW9,eyeloss
FDX1,eyeloss
FGF10,eyeloss
FGF2,eyeloss
FGF7,eyeloss
FGF9,eyeloss
FGFR1OP,eyeloss
FKRP,eyeloss
FKTN,eyeloss
FMC1,eyeloss
FNBP4,eyeloss
FOXC1,eyeloss
FOXE3,eyeloss
FOXL2,eyeloss
FOXO3,eyeloss
FRAS1,eyeloss
FREM1,eyeloss
FREM2,eyeloss
FRMD6,eyeloss
FTSJ1,eyeloss
FYB,eyeloss
FZD5,eyeloss
GALK2,eyeloss
GBP2,eyeloss
GDF3,eyeloss
GDF6,eyeloss
GDI2,eyeloss
GGPS1,eyeloss
GJA1,eyeloss
GJA3,eyeloss
GJA8,eyeloss
GLI2,eyeloss
GLYCAM1,eyeloss
GMNN,eyeloss
GP6,eyeloss
GPSM2,eyeloss
GPX7,eyeloss
GRB7,eyeloss
GRHL3,eyeloss
GRM3,eyeloss
GRM6,eyeloss
GRTP1,eyeloss
GSPT2,eyeloss
GTF2B,eyeloss
GUCY2D,eyeloss
HBS1L,eyeloss
HCCS,eyeloss
HDAC1,eyeloss
HDAC6,eyeloss
HIP1R,eyeloss
HMBS,eyeloss
HMGB3,eyeloss
HMX1,eyeloss
HNF4A,eyeloss
HSD17B1,eyeloss
HSF1,eyeloss
HSF2BP,eyeloss
HTR4,eyeloss
IFT81,eyeloss
IFT88,eyeloss
IGBP1,eyeloss
IL18RAP,eyeloss
IL2RA,eyeloss
INTS10,eyeloss
INTS7,eyeloss
