OG_symbol	selection	species
OG0005559	positive	Acbae
OG0010189	positive	Acbae
OG0010624	positive	Acbae
OG0009166	positive	Acbae
OG0011144	positive	Acbae
OG0010018	positive	Acbae
OG0008681	positive	Acbae
OG0006764	positive	Acbae
OG0011401	positive	Acbae
OG0005509	positive	Acbae
OG0010722	positive	Acbae
OG0010652	positive	Acbae
OG0006564	positive	Acbae
OG0009064	positive	Acbae
OG0004568	positive	Acbae
OG0005660	positive	Acbae
OG0005616	positive	Acbae
OG0008951	positive	Acbae
OG0007913	positive	Acbae
OG0008934	positive	Acbae
OG0009283	positive	Acbae
OG0010369	positive	Acbae
OG0009765	positive	Acbae
OG0011641	positive	Acbae
OG0011114	positive	Acbae
OG0010155	positive	Acbae
OG0012621	positive	Acbae
OG0005533	positive	Acbae
OG0011449	positive	Acbae
OG0007279	positive	Acbae
OG0004965	positive	Acbae
OG0012423	positive	Acbae
OG0007968	positive	Acbae
OG0005139	positive	Acbae
OG0007975	positive	Acbae
OG0006452	positive	Acbae
OG0011731	positive	Acbae
OG0010371	positive	Acbae
OG0011191	positive	Acbae
OG0004481	positive	Acbae
OG0011872	positive	Acbae
OG0012095	positive	Acbae
OG0009836	positive	Acbae
OG0008721	positive	Acbae
OG0010556	positive	Acbae
OG0007501	positive	Acbae
OG0011720	positive	Acbae
OG0010065	positive	Acbae
OG0005020	positive	Acbae
OG0007466	positive	Acbae
OG0010454	positive	Acbae
OG0010232	positive	Acbae
OG0011132	positive	Acbae
OG0008372	positive	Acbae
OG0011228	positive	Acbae
OG0008482	positive	Acbae
OG0004666	positive	Acbae
OG0005961	positive	Acbae
OG0010484	positive	Acbae
OG0008731	positive	Acbae
OG0010646	positive	Acbae
OG0012040	positive	Acbae
OG0011446	positive	Acbae
OG0007989	positive	Acbae
OG0007099	positive	Acbae
OG0005298	positive	Acbae
OG0007048	positive	Acbae
OG0006536	positive	Acbae
OG0007816	positive	Acbae
OG0004548	positive	Acbae
OG0007419	positive	Acbae
OG0010149	positive	Acbae
OG0007783	positive	Acbae
OG0005438	positive	Acbae
OG0006558	positive	Acbae
OG0010264	positive	Acbae
OG0004426	positive	Acbae
OG0005085	positive	Acbae
OG0006520	positive	Acbae
OG0008215	positive	Acbae
OG0011102	positive	Acbae
OG0004371	positive	Acbae
OG0005865	positive	Acbae
OG0009368	positive	Acbae
OG0009131	positive	Acbae
OG0010679	positive	Acbae
OG0007829	positive	Acbae
OG0010716	positive	Acbae
OG0005823	positive	Acbae
OG0011809	positive	Acbae
OG0010084	positive	Acbae
OG0007943	positive	Acbae
OG0005658	positive	Acbae
OG0011605	positive	Acbae
OG0010666	positive	Acbae
OG0012002	positive	Acbae
OG0007583	positive	Acbae
OG0006471	positive	Acbae
OG0005380	positive	Acbae
OG0010043	positive	Acbae
OG0010651	positive	Acbae
OG0004903	positive	Acbae
OG0010163	positive	Acbae
OG0004761	positive	Acbae
OG0008543	positive	Acbae
OG0007582	positive	Acbae
OG0007801	positive	Acbae
OG0008132	positive	Acbae
OG0010632	positive	Acbae
OG0009934	positive	Acbae
OG0004881	positive	Acbae
OG0007823	positive	Acbae
OG0010721	positive	Acbae
OG0011361	positive	Acbae
OG0009397	positive	Acbae
OG0009415	positive	Acbae
OG0010070	positive	Acbae
OG0005634	positive	Acbae
OG0008666	positive	Acbae
OG0011302	positive	Acbae
OG0004557	positive	Acbae
OG0005440	positive	Acbae
OG0007896	positive	Acbae
OG0008523	positive	Acbae
OG0006370	positive	Acbae
OG0010238	positive	Acbae
OG0006626	positive	Acbae
OG0012084	positive	Acbae
OG0009362	positive	Acbae
OG0008222	positive	Acbae
OG0006837	positive	Acbae
OG0006378	positive	Acbae
OG0006341	positive	Acbae
OG0010674	positive	Acbae
OG0006665	positive	Acbae
OG0005968	positive	Acbae
OG0007285	positive	Acbae
OG0003710	positive	Acbae
OG0005510	positive	Acbae
OG0009687	positive	Acbae
OG0004746	positive	Acbae
OG0009463	positive	Acbae
OG0009707	positive	Acbae
OG0006188	positive	Acbae
OG0009500	positive	Acbae
OG0004721	positive	Acbae
OG0003855	positive	Acbae
OG0010543	positive	Acbae
OG0007057	positive	Acbae
OG0004427	positive	Acbae
OG0008230	positive	Acbae
OG0010210	positive	Acbae
OG0009862	positive	Acbae
OG0006641	positive	Acbae
OG0009817	positive	Acbae
OG0004904	positive	Acbae
OG0003868	positive	Acbae
OG0005186	positive	Acbae
OG0010566	positive	Acbae
OG0011012	positive	Acbae
OG0010233	positive	Acbae
OG0011750	positive	Acbae
OG0010108	positive	Acbae
OG0010618	positive	Acbae
OG0005873	positive	Acbae
OG0008319	positive	Acbae
OG0006616	positive	Acbae
OG0007925	positive	Acbae
OG0011770	positive	Acbae
OG0008786	positive	Acbae
OG0006352	positive	Acbae
OG0006061	positive	Acbae
OG0009205	positive	Acbae
OG0010088	positive	Acbae
OG0004266	positive	Acbae
OG0008992	positive	Acbae
OG0011451	positive	Acbae
OG0005907	positive	Acbae
OG0010194	positive	Acbae
OG0007802	positive	Acbae
OG0006338	positive	Acbae
OG0007977	positive	Acbae
OG0008968	positive	Acbae
OG0009148	positive	Acbae
OG0008555	positive	Acbae
OG0008469	positive	Acbae
OG0010592	positive	Acbae
OG0007888	positive	Acbae
OG0010291	positive	Acbae
OG0005882	positive	Acbae
OG0012623	positive	Acbae
OG0007440	positive	Acbae
OG0010929	positive	Acbae
OG0008815	positive	Acbae
OG0010972	positive	Acbae
OG0012628	positive	Acbae
OG0007464	positive	Acbae
OG0009340	positive	Acbae
OG0011419	positive	Acbae
OG0007907	positive	Acbae
OG0007087	positive	Acbae
OG0006525	positive	Acbae
OG0004401	positive	Acbae
OG0007437	positive	Acbae
OG0007414	positive	Acbae
OG0008749	positive	Acbae
OG0004336	positive	Acbae
OG0010444	positive	Acbae
OG0006930	positive	Acbae
OG0009456	positive	Acbae
OG0004101	positive	Acbae
OG0011688	positive	Acbae
OG0009309	positive	Acbae
OG0006169	positive	Acbae
OG0010614	positive	Acbae
OG0011231	positive	Acbae
OG0009882	positive	Acbae
OG0006894	positive	Acbae
OG0006460	positive	Acbae
OG0006666	positive	Acbae
OG0006195	positive	Acbae
OG0005631	positive	Acbae
OG0005642	positive	Acbae
OG0010601	positive	Acbae
OG0007296	positive	Acbae
OG0005357	positive	Acbae
OG0009427	positive	Acbae
OG0006268	positive	Acbae
OG0011439	positive	Acbae
OG0009022	positive	Acbae
OG0004258	positive	Acbae
OG0005472	positive	Acbae
OG0007952	positive	Acbae
OG0009345	positive	Acbae
OG0012256	positive	Acbae
OG0010983	positive	Acbae
OG0006379	positive	Acbae
OG0010533	positive	Acbae
OG0009807	positive	Acbae
OG0011438	positive	Acbae
OG0004370	positive	Acbae
OG0005246	positive	Acbae
OG0007901	positive	Acbae
OG0004891	positive	Acbae
OG0006364	positive	Acbae
OG0006942	positive	Acbae
OG0005288	positive	Acbae
OG0006075	positive	Acbae
OG0009497	positive	Acbae
OG0007040	positive	Acbae
OG0010258	positive	Acbae
OG0011642	positive	Acbae
OG0009855	positive	Acbae
OG0011163	positive	Acbae
OG0011218	positive	Acbae
OG0006630	positive	Acbae
OG0007789	positive	Acbae
OG0011075	positive	Acbae
OG0006337	positive	Acbae
OG0007941	positive	Acbae
OG0007908	positive	Acbae
OG0011737	positive	Acbae
OG0004232	positive	Acbae
OG0011657	positive	Acbae
OG0005656	positive	Acbae
OG0010316	positive	Acbae
OG0009092	positive	Acbae
OG0007878	positive	Acbae
OG0011728	positive	Acbae
OG0009031	positive	Acbae
OG0007591	positive	Acbae
OG0012006	positive	Acbae
OG0005668	positive	Acbae
OG0005597	positive	Acbae
OG0004627	positive	Acbae
OG0008606	positive	Acbae
OG0004398	positive	Acbae
OG0009729	positive	Acbae
OG0009286	positive	Acbae
OG0005424	positive	Acbae
OG0007887	positive	Acbae
OG0004043	positive	Acbae
OG0010438	positive	Acbae
OG0012133	positive	Acbae
OG0010336	positive	Acbae
OG0009225	positive	Acbae
OG0005100	positive	Acbae
OG0004867	positive	Acbae
OG0008502	positive	Acbae
OG0006138	positive	Acbae
OG0007512	positive	Acbae
OG0009832	positive	Acbae
OG0005112	positive	Acbae
OG0009419	positive	Acbae
OG0010078	positive	Acbae
OG0009075	positive	Acbae
OG0009122	positive	Acbae
OG0005236	positive	Acbae
OG0007589	positive	Acbae
OG0007864	positive	Acbae
OG0011194	positive	Acbae
OG0007848	positive	Acbae
OG0009147	positive	Acbae
OG0003780	positive	Acbae
OG0010485	positive	Acbae
OG0009788	positive	Acbae
OG0011391	positive	Acbae
OG0008883	positive	Acbae
OG0003998	positive	Acbae
OG0006576	positive	Acbae
OG0008610	positive	Acbae
OG0004862	positive	Acbae
OG0008306	positive	Acbae
OG0012609	positive	Acbae
OG0008309	positive	Acbae
OG0012468	positive	Acbae
OG0009468	positive	Acbae
OG0007036	positive	Acbae
OG0004853	positive	Acbae
OG0011426	positive	Acbae
OG0011709	positive	Acbae
OG0010952	positive	Acbae
OG0011782	positive	Acbae
OG0012325	positive	Acbae
OG0009144	positive	Acbae
OG0010366	positive	Acbae
OG0005195	positive	Acbae
OG0009189	positive	Acbae
OG0009320	positive	Acbae
OG0011056	positive	Acbae
OG0010180	positive	Acbae
OG0011400	positive	Acbae
OG0006040	positive	Acbae
OG0005852	positive	Acbae
OG0005641	positive	Acbae
OG0005661	positive	Acbae
OG0008171	positive	Acbae
OG0010122	positive	Acbae
OG0004562	positive	Acbae
OG0009235	positive	Acbae
OG0006895	positive	Acbae
OG0003122	positive	Acbae
OG0007890	positive	Acbae
OG0008621	positive	Acbae
OG0010319	positive	Acbae
OG0009749	positive	Acbae
OG0004921	positive	Acbae
OG0006207	positive	Acbae
OG0009280	positive	Acbae
OG0002818	positive	Acbae
OG0007563	positive	Acbae
OG0005412	positive	Acbae
OG0012300	positive	Acbae
OG0012007	positive	Acbae
OG0010564	positive	Acbae
OG0009486	positive	Acbae
OG0007653	positive	Acbae
OG0007601	positive	Acbae
OG0004379	positive	Acbae
OG0004612	positive	Acbae
OG0007741	positive	Acbae
OG0004397	positive	Acbae
OG0009275	positive	Acbae
OG0003005	positive	Acbae
OG0005371	positive	Acbae
OG0009980	positive	Acbae
OG0008373	positive	Acbae
OG0007329	positive	Acbae
OG0005318	positive	Acbae
OG0008802	positive	Acbae
OG0007380	positive	Acbae
OG0010590	positive	Acbae
OG0005862	positive	Acbae
OG0006521	positive	Acbae
OG0005555	positive	Acbae
OG0007133	positive	Acbae
OG0011331	positive	Acbae
OG0009444	positive	Acbae
OG0008589	positive	Acbae
OG0005606	positive	Acbae
OG0010523	positive	Acbae
OG0007948	positive	Acbae
OG0007664	positive	Acbae
OG0009330	positive	Acbae
OG0010077	positive	Acbae
OG0012071	positive	Acbae
OG0007723	positive	Acbae
OG0007710	positive	Acbae
OG0011394	positive	Acbae
OG0006813	positive	Acbae
OG0007377	positive	Acbae
OG0005583	positive	Acbae
OG0012050	positive	Acbae
OG0010616	positive	Acbae
OG0008433	positive	Acbae
OG0009674	positive	Acbae
OG0010419	positive	Acbae
OG0005400	positive	Acbae
OG0009953	positive	Acbae
OG0007342	positive	Acbae
OG0011692	positive	Acbae
OG0008464	positive	Acbae
OG0011398	positive	Acbae
OG0008975	positive	Acbae
OG0008758	positive	Acbae
OG0010476	positive	Acbae
OG0010510	positive	Acbae
OG0005346	positive	Acbae
OG0005989	positive	Acbae
OG0011827	positive	Acbae
OG0008351	positive	Acbae
OG0010711	positive	Acbae
OG0008910	positive	Acbae
OG0010167	positive	Acbae
OG0007936	positive	Acbae
OG0006289	positive	Acbae
OG0006163	positive	Acbae
OG0009154	positive	Acbae
OG0004323	positive	Acbae
OG0007645	positive	Acbae
OG0009386	positive	Acbae
OG0007730	positive	Acbae
OG0011775	positive	Acbae
OG0012127	positive	Acbae
OG0007032	positive	Acbae
OG0007328	positive	Acbae
OG0009179	positive	Acbae
OG0005887	positive	Acbae
OG0011849	positive	Acbae
OG0006319	positive	Acbae
OG0011084	positive	Acbae
OG0010241	positive	Acbae
OG0010315	positive	Acbae
OG0007331	positive	Acbae
OG0008903	positive	Acbae
OG0006987	positive	Acbae
OG0004113	positive	Acbae
OG0010700	positive	Acbae
OG0005196	positive	Acbae
OG0010583	positive	Acbae
OG0010060	positive	Acbae
OG0004863	positive	Acbae
OG0007607	positive	Acbae
OG0004314	positive	Acbae
OG0007088	positive	Acbae
OG0009013	positive	Acbae
OG0005017	positive	Acbae
OG0011764	positive	Acbae
OG0005217	positive	Acbae
OG0005644	positive	Acbae
OG0008978	positive	Acbae
OG0006315	positive	Acbae
OG0004052	positive	Acbae
OG0005754	positive	Acbae
OG0005856	positive	Acbae
OG0008509	positive	Acbae
OG0009297	positive	Acbae
OG0007154	positive	Acbae
OG0004922	positive	Acbae
OG0009149	positive	Acbae
OG0004185	positive	Acbae
OG0011110	positive	Acbae
OG0005462	positive	Acbae
OG0005637	positive	Acbae
OG0009245	positive	Acbae
OG0007187	positive	Acbae
OG0006963	positive	Acbae
OG0012077	positive	Acbae
OG0011270	positive	Acbae
OG0010171	positive	Acbae
OG0009159	positive	Acbae
OG0005262	positive	Acbae
OG0008803	positive	Acbae
OG0002918	positive	Acbae
OG0007198	positive	Acbae
OG0012270	positive	Acbae
OG0006955	positive	Acbae
OG0007549	positive	Acbae
OG0007184	positive	Acbae
OG0009349	positive	Acbae
OG0005031	positive	Acbae
OG0011345	positive	Acbae
OG0008545	positive	Acbae
OG0007852	positive	Acbae
OG0011798	positive	Acbae
OG0009090	positive	Acbae
OG0012345	positive	Acbae
OG0005800	positive	Acbae
OG0011421	positive	Acbae
