FamilyID	Rhtyp<1>	Cacar<2>	Sasal<3>	Darer<4>	Acbae<5>	Ercal<6>	Prang<7>	Modom<8>	Cocri<9>	Ororc<10>	Botau<11>	Ovari<12>	Myluc<13>	Scvul<14>	Ranor<15>	Hegla<16>	Capor<17>	Hosap<18>	Chsab<19>	Elmax<20>	Ancor<21>	Tagut<22>	Chpic<23>	Tecar<24>	Lacha<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>
OG0000008	0.467577	4.44257e-13	0.264206	5.46769e-07	2.74666e-06	4.58778e-11	9.92254e-19	0.00970702	1.48139e-07	0.772733	0.648726	0.648726	0.29622	0.266274	0.12721	0.0600799	0.0259425	0.0344377	0.00104091	2.9394e-05	0.331874	0.123375	0.00229925	0.0120057	0.00048768	N/A	1.08027e-27	2.53724e-06	0.148376	0.76471	0.0263731	0.565051	0.00495253	0.657554	0.123588	0.00110931	0.543754	0.562876	0.544397	0.656833	0.711402	0.556156	0.623528	0.50262	0.683208	0.774033	0.277613	0.594758	0.432863
OG0000013	0.0162224	0.0403628	0.207748	0.474495	0.00247365	0.91037	0.250233	0.0133302	0.206138	3.38315e-15	0.699399	0.140783	0.105707	0.0867014	0.311035	0.408475	0.755732	0.0218423	0.00540524	0.0716275	0.216565	0.662291	0.68146	0.68146	0.642821	N/A	0.71028	0.0149734	0.658154	0.701193	0.315763	0.544894	4.45271e-06	0.0887293	0.00200553	9.67216e-07	0.553305	0.576039	0.554076	0.682308	4.21423e-06	0.568091	0.645721	0.50324	0.710376	0.272712	0.67036	0.594758	0.171163
OG0000014	0.696622	0.00117253	0.698762	0.253218	0.0372443	2.98088e-05	1.03212e-11	0.00146218	0.796348	7.62426e-17	0.626447	0.0146056	0.00780155	5.62935e-08	7.33257e-13	0.684311	0.286736	1.92843e-05	0.65043	0.525368	1.50905e-18	7.00279e-12	0.728079	0.0604243	0.036006	N/A	0.71028	1.37897e-06	0.696927	0.742861	0.856598	0.560145	2.20942e-10	0.692361	0.871975	0.046648	0.53787	0.0827201	0.0549358	0.627575	0.118795	0.548746	0.0105132	0.502495	2.02037e-06	0.0365737	0.715285	0.626879	0.101609
OG0000016	0.734089	0.734089	0.0866802	0.00374044	0.000314273	0.02045	0.498992	0.00697183	0.154652	0.00589886	0.653942	0.0990662	0.0293791	0.471901	0.0095267	0.348478	0.163265	0.0428215	0.699342	0.830244	3.52562e-06	0.0555127	0.282157	0.00273145	0.534482	N/A	0.170622	2.53724e-06	0.148376	0.76471	8.66081e-05	0.565051	0.711483	0.633186	5.00346e-06	0.773016	0.541805	0.560166	0.542423	0.651304	0.0459194	0.553707	0.618808	0.502495	0.677206	0.00166747	0.652435	0.583036	0.0185751
OG0000017	0.716539	0.155463	0.0139342	6.58183e-15	0.0545026	6.15073e-16	0.192137	0.000199505	0.762644	0.00180566	0.620503	0.0130976	0.754425	0.000244425	4.03505e-08	0.000686627	1.59975e-26	0.585954	0.585954	0.00024212	8.32636e-06	0.000100534	2.08548e-10	0.429149	0.14478	N/A	0.730477	0.00115108	0.00287147	0.76471	0.0263731	0.555151	0.688163	0.615255	0.805953	0.00276564	0.527801	0.540438	0.528221	0.607935	0.00141513	0.535961	0.58285	0.501624	0.628905	6.41023e-06	0.632753	0.570762	1.00252e-16
OG0000018	0.648061	0.225971	0.253218	0.896903	0.474688	0.293434	1.22302e-17	0.864385	4.28292e-15	8.80014e-11	0.155127	0.0594416	9.15388e-18	0.00736169	2.25981e-25	1.74526e-10	0.657589	3.69484e-10	0.0959546	0.318132	0.0186163	2.32948e-13	1.13619e-08	1.19812e-11	0.00962414	N/A	0.288483	4.28034e-08	0.696927	0.742861	0.856598	0.00289811	0.00607678	0.665061	0.134144	0.209515	0.539844	0.0313073	0.542423	4.31652e-10	0.652599	0.0774904	0.609067	0.502247	3.51802e-08	0.0365737	0.686706	0.161848	0.876018
OG0000019	0.000156334	0.321533	0.750727	2.94505e-07	0.000996874	2.85252e-06	8.1733e-10	0.157674	1.93173e-10	0.00223089	0.637877	0.0860541	0.0132139	0.00117276	0.0363772	2.00849e-08	2.41142e-06	0.682526	0.000174899	0.468409	0.252263	0.00832538	0.21244	0.085974	0.125735	N/A	2.80881e-10	0.0197697	0.113487	0.730297	0.000463179	0.550068	0.116257	0.615255	0.278881	0.00356167	0.529841	0.543339	0.530291	0.614669	3.92219e-06	0.0204033	0.59367	0.501873	0.643922	3.07474e-06	0.632753	0.570762	0.353635
OG0000025	0.83803	1.7297e-13	2.82868e-06	1.57401e-12	0.000148056	1.77421e-13	3.04259e-26	0.794219	0.00188234	0.68866	7.96397e-11	0.144827	0.00157828	0.000197911	0.0144981	0.00071218	0.193898	4.55661e-09	0.00266702	0.174232	0.00738846	0.0307105	0.0105394	2.95896e-10	1.9414e-05	N/A	1.68915e-12	0.0911475	0.658154	0.701193	0.315763	0.544894	0.103943	0.605736	0.793418	0.670298	0.519502	0.528543	0.519801	0.00513468	0.0830368	0.525327	0.559782	0.501125	0.59549	0.665447	0.622191	0.564408	0.00141955
OG0000028	0.545213	0.545213	0.0374101	0.0374101	0.00247365	0.146085	0.0918795	0.0224844	0.803151	3.54504e-11	0.0816707	0.632237	0.0622977	0.104492	0.103907	0.0141069	0.684311	0.253821	0.663928	0.525368	0.876093	0.432215	0.628445	0.00548902	0.0608611	N/A	0.00473733	1.2406e-07	0.658154	0.701193	0.000412172	0.544894	8.94125e-05	0.633186	0.000162672	0.75942	0.53787	0.554666	0.538433	0.215144	0.125736	0.548746	0.609067	0.502247	0.000675989	0.754091	0.652435	0.583036	0.24383
OG0000029	0.648061	0.648061	0.570553	0.00415831	0.217086	0.748166	0.00424449	0.0626924	6.43594e-06	8.91903e-06	0.000423215	0.00370228	8.90274e-17	0.224858	0.00175394	4.60729e-06	0.000284677	0.000387187	5.04724e-05	0.484291	0.108658	7.95956e-09	0.0238059	0.241941	0.318243	N/A	0.288483	1.67589e-05	0.672023	0.71646	0.00176984	0.550068	0.00231628	0.633186	0.0404112	0.735475	0.531868	0.546213	0.532347	0.185714	0.661084	0.541141	0.00751243	0.502122	0.657927	0.730095	0.652435	0.583036	0.396554
