FamilyID	Rhtyp<1>	Cacar<2>	Sasal<3>	Darer<4>	Acbae<5>	Ercal<6>	Prang<7>	Modom<8>	Cocri<9>	Ororc<10>	Botau<11>	Ovari<12>	Myluc<13>	Scvul<14>	Ranor<15>	Hegla<16>	Capor<17>	Hosap<18>	Chsab<19>	Elmax<20>	Ancor<21>	Tagut<22>	Chpic<23>	Tecar<24>	Lacha<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>
OG0000008	1	18	-3	16	-11	28	31	-4	-8	0	0	0	1	1	-2	2	-2	2	-3	7	-2	-3	3	-2	-7	0	25	5	1	0	4	0	3	0	2	4	0	0	0	0	0	0	0	0	0	0	-1	0	1
OG0000013	-2	2	2	1	-6	0	2	-4	-2	-13	0	1	2	2	1	-1	0	-2	3	3	2	-1	0	0	-1	0	0	2	0	0	1	0	5	1	5	7	0	0	0	0	6	0	0	0	0	1	0	0	2
OG0000014	0	-3	-1	2	-5	14	23	6	0	-12	0	2	-3	9	13	0	-1	-4	0	-1	30	-15	0	2	-4	0	0	5	0	0	0	0	9	0	0	-2	0	-1	-1	0	1	0	2	0	-5	-2	0	0	3
OG0000016	0	0	5	9	-9	7	1	5	-2	-3	0	1	3	-1	-3	-1	1	2	0	0	-8	-3	-1	3	1	0	1	5	1	0	8	0	0	0	8	0	0	0	0	0	2	0	0	0	0	4	0	0	4
OG0000017	0	1	-6	29	-5	38	2	-5	0	-3	0	2	0	-4	8	-3	19	0	0	5	-7	-6	10	-1	-3	0	0	3	3	0	4	0	0	0	0	3	0	0	0	0	3	0	0	0	0	-5	0	0	21
OG0000018	0	-1	2	0	-2	-3	30	0	16	-8	-1	1	18	-3	23	-7	0	-7	1	1	5	-14	7	-8	6	0	-1	6	0	0	0	2	3	0	2	1	0	1	0	-7	0	-1	0	0	-6	-2	0	-1	0
OG0000019	6	1	-1	16	-7	16	16	-2	-9	-3	0	1	3	4	-2	7	-5	0	4	-1	-2	-4	-1	1	-3	0	10	2	1	0	6	0	1	0	1	3	0	0	0	0	5	1	0	0	0	6	0	0	1
OG0000025	0	16	-8	21	-7	29	37	0	-3	0	7	-1	-3	4	-2	3	-1	6	-2	1	-4	-3	-2	8	-7	0	12	1	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	5
OG0000028	0	0	5	5	-6	3	3	4	0	-9	1	0	2	2	2	-2	0	-1	0	-1	0	1	0	-2	-3	0	-2	5	0	0	6	0	4	0	6	0	0	0	0	-1	1	0	0	0	-3	0	0	0	-2
OG0000029	0	0	1	7	-3	-1	6	3	-6	-5	3	-2	16	1	4	-5	4	-3	4	-1	3	-10	2	-1	-2	0	-1	4	0	0	5	0	3	0	3	0	0	0	0	-1	0	0	2	0	0	0	0	0	1
