Taxon_ID	Increase	Decrease
Modom<8>	465	1106
<27>	390	21
Darer<4>	1851	1051
Acbae<5>	1515	1993
Ercal<6>	782	1239
Rhtyp<1>	1262	1119
Cacar<2>	520	1178
Ororc<10>	507	552
Ranor<15>	601	395
<37>	20	24
<38>	10	137
<28>	364	3
<29>	164	463
<30>	501	110
<31>	3652	501
Hegla<16>	367	545
Ovari<12>	511	148
<45>	36	329
Sasal<3>	7123	264
<32>	13	185
Cocri<9>	179	1374
<33>	96	338
Prang<7>	2663	1139
<34>	42	501
<35>	180	815
<36>	196	244
<40>	94	128
<47>	34	274
<41>	150	71
Botau<11>	207	263
Ancor<21>	642	2059
<42>	44	117
<43>	76	68
<49>	422	262
Tecar<24>	1740	502
<39>	31	33
Chpic<23>	426	333
Scvul<14>	1272	372
<48>	2	4
Capor<17>	280	604
Myluc<13>	872	1367
Lacha<25>	1171	1906
Chsab<19>	680	251
Elmax<20>	292	558
<46>	114	204
Hosap<18>	147	273
Tagut<22>	229	2066
