OG_symbol	selection	species
OG0010178	positive	Cacar
OG0010910	positive	Cacar
OG0006377	positive	Cacar
OG0005328	positive	Cacar
OG0005783	positive	Cacar
OG0010189	positive	Cacar
OG0010704	positive	Cacar
OG0012693	positive	Cacar
OG0003601	positive	Cacar
OG0010624	positive	Cacar
OG0008284	positive	Cacar
OG0008135	positive	Cacar
OG0010956	positive	Cacar
OG0009414	positive	Cacar
OG0009166	positive	Cacar
OG0011161	positive	Cacar
OG0007556	positive	Cacar
OG0005379	positive	Cacar
OG0007441	positive	Cacar
OG0010818	positive	Cacar
OG0010018	positive	Cacar
OG0008681	positive	Cacar
OG0006344	positive	Cacar
OG0008900	positive	Cacar
OG0010709	positive	Cacar
OG0005736	positive	Cacar
OG0006882	positive	Cacar
OG0006898	positive	Cacar
OG0006314	positive	Cacar
OG0006764	positive	Cacar
OG0009445	positive	Cacar
OG0005245	positive	Cacar
OG0007931	positive	Cacar
OG0007737	positive	Cacar
OG0005509	positive	Cacar
OG0007149	positive	Cacar
OG0012260	positive	Cacar
OG0005566	positive	Cacar
OG0010228	positive	Cacar
OG0010722	positive	Cacar
OG0006575	positive	Cacar
OG0009960	positive	Cacar
OG0004568	positive	Cacar
OG0006251	positive	Cacar
OG0007217	positive	Cacar
OG0005648	positive	Cacar
OG0008951	positive	Cacar
OG0011987	positive	Cacar
OG0007913	positive	Cacar
OG0008934	positive	Cacar
OG0009283	positive	Cacar
OG0005343	positive	Cacar
OG0005314	positive	Cacar
OG0004070	positive	Cacar
OG0007401	positive	Cacar
OG0011641	positive	Cacar
OG0011114	positive	Cacar
OG0010155	positive	Cacar
OG0008528	positive	Cacar
OG0006776	positive	Cacar
OG0012534	positive	Cacar
OG0010322	positive	Cacar
OG0005480	positive	Cacar
OG0012315	positive	Cacar
OG0010442	positive	Cacar
OG0007435	positive	Cacar
OG0006011	positive	Cacar
OG0006187	positive	Cacar
OG0005688	positive	Cacar
OG0011349	positive	Cacar
OG0009185	positive	Cacar
OG0004965	positive	Cacar
OG0011467	positive	Cacar
OG0004395	positive	Cacar
OG0005759	positive	Cacar
OG0008066	positive	Cacar
OG0006213	positive	Cacar
OG0009974	positive	Cacar
OG0007350	positive	Cacar
OG0010320	positive	Cacar
OG0004865	positive	Cacar
OG0004984	positive	Cacar
OG0005139	positive	Cacar
OG0004611	positive	Cacar
OG0006044	positive	Cacar
OG0010870	positive	Cacar
OG0011670	positive	Cacar
OG0005447	positive	Cacar
OG0006625	positive	Cacar
OG0012144	positive	Cacar
OG0010371	positive	Cacar
OG0011191	positive	Cacar
OG0010415	positive	Cacar
OG0005170	positive	Cacar
OG0008884	positive	Cacar
OG0008620	positive	Cacar
OG0009789	positive	Cacar
OG0008538	positive	Cacar
OG0012095	positive	Cacar
OG0008721	positive	Cacar
OG0011800	positive	Cacar
OG0006741	positive	Cacar
OG0005960	positive	Cacar
OG0009371	positive	Cacar
OG0008236	positive	Cacar
OG0011720	positive	Cacar
OG0004260	positive	Cacar
OG0012727	positive	Cacar
OG0006519	positive	Cacar
OG0010065	positive	Cacar
OG0010454	positive	Cacar
OG0010232	positive	Cacar
OG0007137	positive	Cacar
OG0005696	positive	Cacar
OG0006814	positive	Cacar
OG0005478	positive	Cacar
OG0012529	positive	Cacar
OG0010567	positive	Cacar
OG0004798	positive	Cacar
OG0011864	positive	Cacar
OG0008372	positive	Cacar
OG0004249	positive	Cacar
OG0004666	positive	Cacar
OG0007615	positive	Cacar
OG0008017	positive	Cacar
OG0004634	positive	Cacar
OG0010939	positive	Cacar
OG0009487	positive	Cacar
OG0004047	positive	Cacar
OG0008186	positive	Cacar
OG0007929	positive	Cacar
OG0011081	positive	Cacar
OG0012123	positive	Cacar
OG0004817	positive	Cacar
OG0008731	positive	Cacar
OG0010113	positive	Cacar
OG0010517	positive	Cacar
OG0012383	positive	Cacar
OG0006872	positive	Cacar
OG0009860	positive	Cacar
OG0007989	positive	Cacar
OG0006326	positive	Cacar
OG0007099	positive	Cacar
OG0006688	positive	Cacar
OG0006307	positive	Cacar
OG0008612	positive	Cacar
OG0007048	positive	Cacar
OG0005922	positive	Cacar
OG0003417	positive	Cacar
OG0006536	positive	Cacar
OG0010022	positive	Cacar
OG0007693	positive	Cacar
OG0009120	positive	Cacar
OG0009391	positive	Cacar
OG0004548	positive	Cacar
OG0007419	positive	Cacar
OG0003924	positive	Cacar
OG0007783	positive	Cacar
OG0012321	positive	Cacar
OG0006062	positive	Cacar
OG0004092	positive	Cacar
OG0008927	positive	Cacar
OG0006558	positive	Cacar
OG0009138	positive	Cacar
OG0004327	positive	Cacar
OG0011632	positive	Cacar
OG0009407	positive	Cacar
OG0007497	positive	Cacar
OG0009983	positive	Cacar
OG0004426	positive	Cacar
OG0005085	positive	Cacar
OG0005228	positive	Cacar
OG0005075	positive	Cacar
OG0004410	positive	Cacar
OG0003971	positive	Cacar
OG0011156	positive	Cacar
OG0009520	positive	Cacar
OG0004762	positive	Cacar
OG0008085	positive	Cacar
OG0011102	positive	Cacar
OG0009499	positive	Cacar
OG0010943	positive	Cacar
OG0009943	positive	Cacar
OG0005953	positive	Cacar
OG0005093	positive	Cacar
OG0004495	positive	Cacar
OG0004371	positive	Cacar
OG0006526	positive	Cacar
OG0006859	positive	Cacar
OG0005865	positive	Cacar
OG0010679	positive	Cacar
OG0010923	positive	Cacar
OG0005558	positive	Cacar
OG0005014	positive	Cacar
OG0010224	positive	Cacar
OG0010716	positive	Cacar
OG0004269	positive	Cacar
OG0007518	positive	Cacar
OG0011809	positive	Cacar
OG0007859	positive	Cacar
OG0009762	positive	Cacar
OG0010787	positive	Cacar
OG0006443	positive	Cacar
OG0010084	positive	Cacar
OG0010855	positive	Cacar
OG0005627	positive	Cacar
OG0009263	positive	Cacar
OG0010079	positive	Cacar
OG0009606	positive	Cacar
OG0009385	positive	Cacar
OG0003886	positive	Cacar
OG0004821	positive	Cacar
OG0004728	positive	Cacar
OG0009890	positive	Cacar
OG0010059	positive	Cacar
OG0012002	positive	Cacar
OG0010409	positive	Cacar
OG0006131	positive	Cacar
OG0008247	positive	Cacar
OG0007583	positive	Cacar
OG0005378	positive	Cacar
OG0010634	positive	Cacar
OG0008296	positive	Cacar
OG0012279	positive	Cacar
OG0006441	positive	Cacar
OG0006597	positive	Cacar
OG0012597	positive	Cacar
OG0006471	positive	Cacar
OG0009301	positive	Cacar
OG0005380	positive	Cacar
OG0004770	positive	Cacar
OG0005854	positive	Cacar
OG0007020	positive	Cacar
OG0004903	positive	Cacar
OG0005160	positive	Cacar
OG0010288	positive	Cacar
OG0009130	positive	Cacar
OG0005492	positive	Cacar
OG0010609	positive	Cacar
OG0004062	positive	Cacar
OG0004004	positive	Cacar
OG0006235	positive	Cacar
OG0010200	positive	Cacar
OG0008768	positive	Cacar
OG0009037	positive	Cacar
OG0011932	positive	Cacar
OG0011944	positive	Cacar
OG0010884	positive	Cacar
OG0008717	positive	Cacar
OG0006563	positive	Cacar
OG0009660	positive	Cacar
OG0005676	positive	Cacar
OG0009002	positive	Cacar
OG0005921	positive	Cacar
OG0010051	positive	Cacar
OG0007582	positive	Cacar
OG0010263	positive	Cacar
OG0010639	positive	Cacar
OG0008323	positive	Cacar
OG0003869	positive	Cacar
OG0011016	positive	Cacar
OG0008132	positive	Cacar
OG0010632	positive	Cacar
OG0009934	positive	Cacar
OG0009233	positive	Cacar
OG0005784	positive	Cacar
OG0004881	positive	Cacar
OG0008688	positive	Cacar
OG0007823	positive	Cacar
OG0010388	positive	Cacar
OG0011188	positive	Cacar
OG0008682	positive	Cacar
OG0004964	positive	Cacar
OG0009426	positive	Cacar
OG0005986	positive	Cacar
OG0007778	positive	Cacar
OG0008005	positive	Cacar
OG0011780	positive	Cacar
OG0005351	positive	Cacar
OG0010604	positive	Cacar
OG0012115	positive	Cacar
OG0005280	positive	Cacar
OG0010721	positive	Cacar
OG0010873	positive	Cacar
