OG_symbol	selection	species
OG0006377	positive	Elmax
OG0004882	positive	Elmax
OG0005559	positive	Elmax
OG0006063	positive	Elmax
OG0008263	positive	Elmax
OG0011128	positive	Elmax
OG0009668	positive	Elmax
OG0005126	positive	Elmax
OG0006898	positive	Elmax
OG0007544	positive	Elmax
OG0008877	positive	Elmax
OG0006724	positive	Elmax
OG0006858	positive	Elmax
OG0005488	positive	Elmax
OG0007279	positive	Elmax
OG0004965	positive	Elmax
OG0004361	positive	Elmax
OG0007527	positive	Elmax
OG0012114	positive	Elmax
OG0005139	positive	Elmax
OG0006044	positive	Elmax
OG0010870	positive	Elmax
OG0007652	positive	Elmax
OG0005891	positive	Elmax
OG0007412	positive	Elmax
OG0007250	positive	Elmax
OG0008349	positive	Elmax
OG0003145	positive	Elmax
OG0010454	positive	Elmax
OG0009094	positive	Elmax
OG0004396	positive	Elmax
OG0008372	positive	Elmax
OG0008482	positive	Elmax
OG0006394	positive	Elmax
OG0008913	positive	Elmax
OG0011418	positive	Elmax
OG0012309	positive	Elmax
OG0007056	positive	Elmax
OG0008795	positive	Elmax
OG0007419	positive	Elmax
OG0011285	positive	Elmax
OG0003924	positive	Elmax
OG0011027	positive	Elmax
OG0010573	positive	Elmax
OG0010918	positive	Elmax
OG0009341	positive	Elmax
OG0006026	positive	Elmax
OG0009857	positive	Elmax
OG0011156	positive	Elmax
OG0010414	positive	Elmax
OG0009492	positive	Elmax
OG0008085	positive	Elmax
OG0009059	positive	Elmax
OG0005524	positive	Elmax
OG0010923	positive	Elmax
OG0008991	positive	Elmax
OG0004269	positive	Elmax
OG0006902	positive	Elmax
OG0004821	positive	Elmax
OG0010666	positive	Elmax
OG0005177	positive	Elmax
OG0010634	positive	Elmax
OG0011216	positive	Elmax
OG0012597	positive	Elmax
OG0008283	positive	Elmax
OG0010615	positive	Elmax
OG0004528	positive	Elmax
OG0009037	positive	Elmax
OG0011139	positive	Elmax
OG0010463	positive	Elmax
OG0010051	positive	Elmax
OG0007625	positive	Elmax
OG0007323	positive	Elmax
OG0004991	positive	Elmax
OG0008830	positive	Elmax
OG0005207	positive	Elmax
OG0008506	positive	Elmax
OG0009165	positive	Elmax
OG0009996	positive	Elmax
OG0004572	positive	Elmax
OG0005220	positive	Elmax
OG0007684	positive	Elmax
