OG_symbol	selection	species
OG0005752	positive	Hegla
OG0006995	positive	Hegla
OG0009112	positive	Hegla
OG0006063	positive	Hegla
OG0003601	positive	Hegla
OG0011128	positive	Hegla
OG0010964	positive	Hegla
OG0004543	positive	Hegla
OG0009166	positive	Hegla
OG0007441	positive	Hegla
OG0011144	positive	Hegla
OG0005884	positive	Hegla
OG0006242	positive	Hegla
OG0006882	positive	Hegla
OG0003759	positive	Hegla
OG0004304	positive	Hegla
OG0007544	positive	Hegla
OG0010228	positive	Hegla
OG0011819	positive	Hegla
OG0005648	positive	Hegla
OG0008951	positive	Hegla
OG0011987	positive	Hegla
OG0006706	positive	Hegla
OG0008934	positive	Hegla
OG0012475	positive	Hegla
OG0010369	positive	Hegla
OG0011175	positive	Hegla
OG0010155	positive	Hegla
OG0009875	positive	Hegla
OG0012534	positive	Hegla
OG0006387	positive	Hegla
OG0009908	positive	Hegla
OG0010714	positive	Hegla
OG0005064	positive	Hegla
OG0004395	positive	Hegla
OG0010029	positive	Hegla
OG0009974	positive	Hegla
OG0004468	positive	Hegla
OG0010870	positive	Hegla
OG0010066	positive	Hegla
OG0007897	positive	Hegla
OG0009724	positive	Hegla
OG0008773	positive	Hegla
OG0008071	positive	Hegla
OG0008721	positive	Hegla
OG0009785	positive	Hegla
OG0007183	positive	Hegla
OG0005696	positive	Hegla
OG0004396	positive	Hegla
OG0004604	positive	Hegla
OG0010715	positive	Hegla
OG0011864	positive	Hegla
OG0008588	positive	Hegla
OG0011561	positive	Hegla
OG0009911	positive	Hegla
OG0004634	positive	Hegla
OG0011013	positive	Hegla
OG0008434	positive	Hegla
OG0008269	positive	Hegla
OG0011306	positive	Hegla
OG0008021	positive	Hegla
OG0006594	positive	Hegla
OG0010113	positive	Hegla
OG0009792	positive	Hegla
OG0006872	positive	Hegla
OG0007762	positive	Hegla
OG0007989	positive	Hegla
OG0005576	positive	Hegla
OG0006307	positive	Hegla
OG0010524	positive	Hegla
OG0007056	positive	Hegla
