OG_symbol	selection	species
OG0010910	positive	Hosap
OG0006377	positive	Hosap
OG0011669	positive	Hosap
OG0011366	positive	Hosap
OG0005783	positive	Hosap
OG0010189	positive	Hosap
OG0006995	positive	Hosap
OG0005337	positive	Hosap
OG0007556	positive	Hosap
OG0005884	positive	Hosap
OG0006182	positive	Hosap
OG0006826	positive	Hosap
OG0006242	positive	Hosap
OG0007872	positive	Hosap
OG0007544	positive	Hosap
OG0009024	positive	Hosap
OG0010129	positive	Hosap
OG0004657	positive	Hosap
OG0008344	positive	Hosap
OG0009765	positive	Hosap
OG0005278	positive	Hosap
OG0010155	positive	Hosap
OG0009875	positive	Hosap
OG0005533	positive	Hosap
OG0012534	positive	Hosap
OG0005480	positive	Hosap
OG0012274	positive	Hosap
OG0004076	positive	Hosap
OG0004285	positive	Hosap
OG0006387	positive	Hosap
OG0007968	positive	Hosap
OG0010915	positive	Hosap
OG0005139	positive	Hosap
OG0006407	positive	Hosap
OG0010313	positive	Hosap
OG0008884	positive	Hosap
OG0006358	positive	Hosap
OG0008773	positive	Hosap
OG0007203	positive	Hosap
OG0011293	positive	Hosap
OG0011800	positive	Hosap
OG0009643	positive	Hosap
OG0004604	positive	Hosap
OG0011554	positive	Hosap
OG0005580	positive	Hosap
OG0010479	positive	Hosap
OG0006765	positive	Hosap
OG0004388	positive	Hosap
OG0008963	positive	Hosap
OG0007929	positive	Hosap
OG0005106	positive	Hosap
OG0008434	positive	Hosap
OG0006594	positive	Hosap
OG0006326	positive	Hosap
OG0011418	positive	Hosap
OG0009253	positive	Hosap
OG0011006	positive	Hosap
OG0009391	positive	Hosap
OG0007419	positive	Hosap
OG0011791	positive	Hosap
OG0004756	positive	Hosap
OG0008204	positive	Hosap
OG0012321	positive	Hosap
OG0009705	positive	Hosap
OG0003233	positive	Hosap
OG0011489	positive	Hosap
OG0011192	positive	Hosap
OG0011496	positive	Hosap
OG0010292	positive	Hosap
OG0010813	positive	Hosap
OG0009407	positive	Hosap
OG0011459	positive	Hosap
OG0006222	positive	Hosap
OG0011156	positive	Hosap
OG0009053	positive	Hosap
OG0009492	positive	Hosap
OG0011102	positive	Hosap
OG0009047	positive	Hosap
OG0009368	positive	Hosap
OG0010923	positive	Hosap
OG0005558	positive	Hosap
OG0008991	positive	Hosap
OG0011887	positive	Hosap
OG0007926	positive	Hosap
OG0005994	positive	Hosap
OG0007276	positive	Hosap
OG0012008	positive	Hosap
OG0009606	positive	Hosap
OG0005916	positive	Hosap
OG0012117	positive	Hosap
OG0012002	positive	Hosap
OG0010409	positive	Hosap
OG0008967	positive	Hosap
OG0005177	positive	Hosap
OG0008637	positive	Hosap
OG0011216	positive	Hosap
OG0011094	positive	Hosap
OG0004770	positive	Hosap
OG0007135	positive	Hosap
OG0007646	positive	Hosap
OG0006481	positive	Hosap
OG0006271	positive	Hosap
OG0008823	positive	Hosap
OG0007016	positive	Hosap
OG0006122	positive	Hosap
OG0010051	positive	Hosap
OG0004569	positive	Hosap
OG0008999	positive	Hosap
OG0008132	positive	Hosap
OG0010548	positive	Hosap
OG0009841	positive	Hosap
OG0011307	positive	Hosap
OG0007248	positive	Hosap
OG0008656	positive	Hosap
OG0009155	positive	Hosap
OG0009779	positive	Hosap
OG0010604	positive	Hosap
OG0004190	positive	Hosap
OG0009669	positive	Hosap
OG0005933	positive	Hosap
OG0011588	positive	Hosap
OG0005094	positive	Hosap
OG0008523	positive	Hosap
OG0007138	positive	Hosap
OG0005764	positive	Hosap
OG0004272	positive	Hosap
OG0010591	positive	Hosap
OG0004015	positive	Hosap
OG0007091	positive	Hosap
OG0007655	positive	Hosap
OG0005365	positive	Hosap
OG0011802	positive	Hosap
OG0008264	positive	Hosap
OG0009505	positive	Hosap
OG0010674	positive	Hosap
OG0010697	positive	Hosap
OG0009874	positive	Hosap
OG0012228	positive	Hosap
OG0009961	positive	Hosap
OG0010323	positive	Hosap
OG0011325	positive	Hosap
OG0005120	positive	Hosap
OG0012462	positive	Hosap
OG0008554	positive	Hosap
OG0004911	positive	Hosap
OG0010805	positive	Hosap
OG0009274	positive	Hosap
OG0009761	positive	Hosap
OG0006458	positive	Hosap
OG0012280	positive	Hosap
OG0004649	positive	Hosap
OG0009173	positive	Hosap
OG0007915	positive	Hosap
OG0006302	positive	Hosap
OG0006919	positive	Hosap
OG0003564	positive	Hosap
OG0004321	positive	Hosap
OG0011241	positive	Hosap
OG0005667	positive	Hosap
OG0003525	positive	Hosap
OG0011497	positive	Hosap
OG0003953	positive	Hosap
OG0005560	positive	Hosap
OG0009288	positive	Hosap
OG0003738	positive	Hosap
OG0004753	positive	Hosap
OG0004089	positive	Hosap
OG0006636	positive	Hosap
OG0006903	positive	Hosap
OG0005525	positive	Hosap
OG0010251	positive	Hosap
OG0009607	positive	Hosap
OG0012377	positive	Hosap
OG0006808	positive	Hosap
OG0008429	positive	Hosap
OG0008912	positive	Hosap
OG0009982	positive	Hosap
OG0011428	positive	Hosap
OG0012358	positive	Hosap
OG0010157	positive	Hosap
OG0005088	positive	Hosap
OG0008146	positive	Hosap
OG0008764	positive	Hosap
OG0006528	positive	Hosap
OG0009521	positive	Hosap
OG0008380	positive	Hosap
OG0009498	positive	Hosap
OG0007310	positive	Hosap
OG0009509	positive	Hosap
OG0010383	positive	Hosap
OG0006189	positive	Hosap
OG0011326	positive	Hosap
OG0010698	positive	Hosap
OG0011867	positive	Hosap
OG0007266	positive	Hosap
OG0005304	positive	Hosap
OG0012116	positive	Hosap
OG0012202	positive	Hosap
OG0011788	positive	Hosap
OG0010702	positive	Hosap
