OG_symbol	selection	species
OG0010910	positive	Lacha
OG0009347	positive	Lacha
OG0006377	positive	Lacha
OG0010759	positive	Lacha
OG0005328	positive	Lacha
OG0010704	positive	Lacha
OG0008634	positive	Lacha
OG0008998	positive	Lacha
OG0009016	positive	Lacha
OG0012186	positive	Lacha
OG0008284	positive	Lacha
OG0010956	positive	Lacha
OG0009414	positive	Lacha
OG0005649	positive	Lacha
OG0011001	positive	Lacha
OG0005126	positive	Lacha
OG0009969	positive	Lacha
OG0010018	positive	Lacha
OG0007168	positive	Lacha
OG0007233	positive	Lacha
OG0008900	positive	Lacha
OG0010709	positive	Lacha
OG0009168	positive	Lacha
OG0006882	positive	Lacha
OG0003932	positive	Lacha
OG0006898	positive	Lacha
OG0004195	positive	Lacha
OG0006047	positive	Lacha
OG0005245	positive	Lacha
OG0007149	positive	Lacha
OG0012531	positive	Lacha
OG0009024	positive	Lacha
OG0010228	positive	Lacha
OG0008496	positive	Lacha
OG0006575	positive	Lacha
OG0009960	positive	Lacha
OG0009064	positive	Lacha
OG0010337	positive	Lacha
OG0005616	positive	Lacha
OG0010129	positive	Lacha
OG0009798	positive	Lacha
OG0006251	positive	Lacha
OG0007217	positive	Lacha
OG0010531	positive	Lacha
OG0006724	positive	Lacha
OG0010044	positive	Lacha
OG0011987	positive	Lacha
OG0008934	positive	Lacha
OG0009283	positive	Lacha
OG0005343	positive	Lacha
OG0004938	positive	Lacha
OG0004070	positive	Lacha
OG0012361	positive	Lacha
OG0004510	positive	Lacha
OG0011114	positive	Lacha
OG0010155	positive	Lacha
OG0012621	positive	Lacha
OG0005533	positive	Lacha
OG0006011	positive	Lacha
OG0007055	positive	Lacha
OG0007279	positive	Lacha
OG0009107	positive	Lacha
OG0005688	positive	Lacha
OG0004965	positive	Lacha
OG0011467	positive	Lacha
OG0004395	positive	Lacha
OG0005759	positive	Lacha
OG0004152	positive	Lacha
OG0004865	positive	Lacha
OG0009927	positive	Lacha
OG0012114	positive	Lacha
OG0006044	positive	Lacha
OG0003747	positive	Lacha
OG0010870	positive	Lacha
OG0003326	positive	Lacha
OG0008570	positive	Lacha
OG0012144	positive	Lacha
OG0004672	positive	Lacha
OG0009624	positive	Lacha
OG0010415	positive	Lacha
OG0008884	positive	Lacha
OG0011872	positive	Lacha
OG0011263	positive	Lacha
OG0012095	positive	Lacha
OG0008773	positive	Lacha
OG0008721	positive	Lacha
OG0006603	positive	Lacha
OG0010464	positive	Lacha
OG0009532	positive	Lacha
OG0009695	positive	Lacha
OG0004260	positive	Lacha
OG0012727	positive	Lacha
OG0008349	positive	Lacha
OG0006519	positive	Lacha
OG0010218	positive	Lacha
OG0005020	positive	Lacha
OG0010454	positive	Lacha
OG0009094	positive	Lacha
OG0007137	positive	Lacha
OG0005696	positive	Lacha
OG0010932	positive	Lacha
OG0005478	positive	Lacha
OG0012529	positive	Lacha
OG0004798	positive	Lacha
OG0010715	positive	Lacha
OG0010831	positive	Lacha
OG0007576	positive	Lacha
OG0003836	positive	Lacha
OG0009740	positive	Lacha
OG0005580	positive	Lacha
OG0010093	positive	Lacha
OG0007742	positive	Lacha
OG0010479	positive	Lacha
OG0008941	positive	Lacha
OG0011228	positive	Lacha
OG0009599	positive	Lacha
OG0008482	positive	Lacha
OG0010610	positive	Lacha
OG0006450	positive	Lacha
OG0006949	positive	Lacha
OG0004634	positive	Lacha
OG0010939	positive	Lacha
OG0009487	positive	Lacha
OG0010684	positive	Lacha
OG0006976	positive	Lacha
OG0006394	positive	Lacha
OG0011387	positive	Lacha
OG0007982	positive	Lacha
OG0008731	positive	Lacha
OG0011951	positive	Lacha
OG0010646	positive	Lacha
OG0010517	positive	Lacha
OG0012383	positive	Lacha
OG0005395	positive	Lacha
OG0007989	positive	Lacha
OG0005576	positive	Lacha
OG0006307	positive	Lacha
OG0004581	positive	Lacha
OG0010524	positive	Lacha
OG0007048	positive	Lacha
OG0003417	positive	Lacha
OG0011006	positive	Lacha
OG0006536	positive	Lacha
OG0007816	positive	Lacha
OG0010022	positive	Lacha
OG0007648	positive	Lacha
OG0006007	positive	Lacha
OG0009120	positive	Lacha
OG0007419	positive	Lacha
OG0003633	positive	Lacha
OG0009834	positive	Lacha
OG0003924	positive	Lacha
OG0007783	positive	Lacha
OG0011913	positive	Lacha
OG0008738	positive	Lacha
OG0012053	positive	Lacha
OG0007822	positive	Lacha
OG0010292	positive	Lacha
OG0007932	positive	Lacha
OG0009438	positive	Lacha
OG0010264	positive	Lacha
OG0004327	positive	Lacha
OG0008358	positive	Lacha
OG0011632	positive	Lacha
OG0009140	positive	Lacha
OG0011480	positive	Lacha
OG0007497	positive	Lacha
OG0005085	positive	Lacha
OG0011931	positive	Lacha
OG0005075	positive	Lacha
OG0011680	positive	Lacha
OG0003971	positive	Lacha
OG0011630	positive	Lacha
OG0009520	positive	Lacha
OG0004762	positive	Lacha
OG0006646	positive	Lacha
OG0009499	positive	Lacha
OG0009059	positive	Lacha
OG0008147	positive	Lacha
OG0004495	positive	Lacha
OG0006526	positive	Lacha
OG0004807	positive	Lacha
OG0006615	positive	Lacha
OG0007508	positive	Lacha
OG0009368	positive	Lacha
OG0005014	positive	Lacha
OG0005454	positive	Lacha
OG0008991	positive	Lacha
OG0010716	positive	Lacha
OG0004269	positive	Lacha
OG0005823	positive	Lacha
OG0011809	positive	Lacha
OG0007859	positive	Lacha
OG0009762	positive	Lacha
OG0005589	positive	Lacha
OG0006443	positive	Lacha
OG0010084	positive	Lacha
OG0011549	positive	Lacha
OG0010855	positive	Lacha
OG0005627	positive	Lacha
OG0010079	positive	Lacha
OG0006902	positive	Lacha
OG0007604	positive	Lacha
OG0004224	positive	Lacha
OG0012117	positive	Lacha
OG0012002	positive	Lacha
OG0010409	positive	Lacha
OG0008967	positive	Lacha
OG0007598	positive	Lacha
OG0007583	positive	Lacha
OG0005378	positive	Lacha
OG0010634	positive	Lacha
OG0012279	positive	Lacha
OG0008844	positive	Lacha
OG0003739	positive	Lacha
OG0006441	positive	Lacha
OG0006471	positive	Lacha
OG0010043	positive	Lacha
OG0007991	positive	Lacha
OG0004903	positive	Lacha
OG0012530	positive	Lacha
OG0005160	positive	Lacha
OG0011009	positive	Lacha
OG0006046	positive	Lacha
OG0005492	positive	Lacha
OG0007135	positive	Lacha
OG0007450	positive	Lacha
OG0009577	positive	Lacha
OG0008543	positive	Lacha
OG0011932	positive	Lacha
OG0006144	positive	Lacha
OG0006563	positive	Lacha
OG0006122	positive	Lacha
OG0009002	positive	Lacha
OG0005921	positive	Lacha
OG0010051	positive	Lacha
OG0004523	positive	Lacha
OG0006604	positive	Lacha
OG0008837	positive	Lacha
OG0007194	positive	Lacha
OG0008323	positive	Lacha
