OG_symbol	selection	species
OG0010910	positive	Myluc
OG0009347	positive	Myluc
OG0010106	positive	Myluc
OG0011366	positive	Myluc
OG0005328	positive	Myluc
OG0005559	positive	Myluc
OG0005783	positive	Myluc
OG0009840	positive	Myluc
OG0010704	positive	Myluc
OG0009112	positive	Myluc
OG0008051	positive	Myluc
OG0009190	positive	Myluc
OG0007284	positive	Myluc
OG0008263	positive	Myluc
OG0006560	positive	Myluc
OG0003601	positive	Myluc
OG0011128	positive	Myluc
OG0012186	positive	Myluc
OG0011450	positive	Myluc
OG0008686	positive	Myluc
OG0005467	positive	Myluc
OG0007624	positive	Myluc
OG0011144	positive	Myluc
OG0011362	positive	Myluc
OG0006182	positive	Myluc
OG0010018	positive	Myluc
OG0007233	positive	Myluc
OG0004912	positive	Myluc
OG0010709	positive	Myluc
OG0005736	positive	Myluc
OG0009578	positive	Myluc
OG0010774	positive	Myluc
OG0011471	positive	Myluc
OG0004304	positive	Myluc
OG0005509	positive	Myluc
OG0006162	positive	Myluc
OG0007149	positive	Myluc
OG0009024	positive	Myluc
OG0009901	positive	Myluc
OG0005466	positive	Myluc
OG0010981	positive	Myluc
OG0006575	positive	Myluc
OG0009064	positive	Myluc
OG0004568	positive	Myluc
OG0011821	positive	Myluc
OG0007217	positive	Myluc
OG0005277	positive	Myluc
OG0006724	positive	Myluc
OG0004657	positive	Myluc
OG0008716	positive	Myluc
OG0011987	positive	Myluc
OG0007913	positive	Myluc
OG0010369	positive	Myluc
OG0009355	positive	Myluc
OG0010389	positive	Myluc
OG0009175	positive	Myluc
OG0004789	positive	Myluc
OG0006932	positive	Myluc
OG0006463	positive	Myluc
OG0003451	positive	Myluc
OG0008289	positive	Myluc
OG0010693	positive	Myluc
OG0010322	positive	Myluc
OG0005480	positive	Myluc
OG0005117	positive	Myluc
OG0004560	positive	Myluc
OG0012200	positive	Myluc
OG0004854	positive	Myluc
OG0006213	positive	Myluc
OG0012268	positive	Myluc
OG0004745	positive	Myluc
OG0004984	positive	Myluc
OG0007968	positive	Myluc
OG0004468	positive	Myluc
OG0010870	positive	Myluc
OG0006407	positive	Myluc
OG0011670	positive	Myluc
OG0010313	positive	Myluc
OG0010371	positive	Myluc
OG0012594	positive	Myluc
OG0007291	positive	Myluc
OG0010287	positive	Myluc
OG0006358	positive	Myluc
OG0006082	positive	Myluc
OG0008071	positive	Myluc
OG0004879	positive	Myluc
OG0009785	positive	Myluc
OG0007412	positive	Myluc
OG0008236	positive	Myluc
OG0009539	positive	Myluc
OG0009074	positive	Myluc
OG0005020	positive	Myluc
OG0009265	positive	Myluc
OG0005386	positive	Myluc
OG0003836	positive	Myluc
OG0004563	positive	Myluc
OG0004837	positive	Myluc
OG0007615	positive	Myluc
OG0008890	positive	Myluc
OG0004012	positive	Myluc
OG0010939	positive	Myluc
OG0004026	positive	Myluc
OG0005106	positive	Myluc
OG0011013	positive	Myluc
OG0008269	positive	Myluc
OG0006394	positive	Myluc
OG0011387	positive	Myluc
OG0008021	positive	Myluc
OG0008731	positive	Myluc
OG0009792	positive	Myluc
OG0007795	positive	Myluc
OG0005121	positive	Myluc
OG0006872	positive	Myluc
OG0011446	positive	Myluc
OG0009644	positive	Myluc
OG0007989	positive	Myluc
OG0007099	positive	Myluc
OG0008280	positive	Myluc
OG0011418	positive	Myluc
OG0005221	positive	Myluc
OG0007769	positive	Myluc
OG0010524	positive	Myluc
OG0009253	positive	Myluc
OG0007816	positive	Myluc
OG0007693	positive	Myluc
OG0007419	positive	Myluc
OG0010149	positive	Myluc
OG0003633	positive	Myluc
OG0011027	positive	Myluc
OG0007783	positive	Myluc
OG0009705	positive	Myluc
OG0008273	positive	Myluc
OG0005438	positive	Myluc
OG0006558	positive	Myluc
OG0010573	positive	Myluc
OG0010813	positive	Myluc
OG0011039	positive	Myluc
OG0006582	positive	Myluc
OG0004327	positive	Myluc
OG0007758	positive	Myluc
OG0009407	positive	Myluc
OG0005429	positive	Myluc
OG0004352	positive	Myluc
OG0004174	positive	Myluc
OG0011480	positive	Myluc
OG0007263	positive	Myluc
OG0008218	positive	Myluc
OG0004426	positive	Myluc
OG0005228	positive	Myluc
OG0004410	positive	Myluc
OG0009662	positive	Myluc
OG0003971	positive	Myluc
OG0011123	positive	Myluc
OG0011156	positive	Myluc
OG0009053	positive	Myluc
OG0004110	positive	Myluc
OG0010414	positive	Myluc
OG0004762	positive	Myluc
OG0008085	positive	Myluc
OG0008817	positive	Myluc
OG0009943	positive	Myluc
OG0004495	positive	Myluc
OG0005524	positive	Myluc
OG0005014	positive	Myluc
OG0007459	positive	Myluc
OG0005589	positive	Myluc
OG0006503	positive	Myluc
OG0007943	positive	Myluc
OG0010855	positive	Myluc
OG0008724	positive	Myluc
OG0005218	positive	Myluc
OG0011739	positive	Myluc
OG0009385	positive	Myluc
OG0004821	positive	Myluc
OG0008922	positive	Myluc
OG0010002	positive	Myluc
OG0005916	positive	Myluc
OG0006491	positive	Myluc
OG0004230	positive	Myluc
OG0004462	positive	Myluc
OG0004224	positive	Myluc
OG0007592	positive	Myluc
OG0008967	positive	Myluc
OG0005177	positive	Myluc
OG0006471	positive	Myluc
OG0005380	positive	Myluc
OG0004658	positive	Myluc
