OG_symbol	selection	species
OG0006377	positive	Ororc
OG0009396	positive	Ororc
OG0006995	positive	Ororc
OG0007893	positive	Ororc
OG0011903	positive	Ororc
OG0004543	positive	Ororc
OG0009414	positive	Ororc
OG0009166	positive	Ororc
OG0005126	positive	Ororc
OG0011649	positive	Ororc
OG0005884	positive	Ororc
OG0011029	positive	Ororc
OG0009168	positive	Ororc
OG0011471	positive	Ororc
OG0005509	positive	Ororc
OG0007544	positive	Ororc
OG0008496	positive	Ororc
OG0004096	positive	Ororc
OG0009798	positive	Ororc
OG0004657	positive	Ororc
OG0006089	positive	Ororc
OG0012361	positive	Ororc
OG0009617	positive	Ororc
OG0004510	positive	Ororc
OG0006145	positive	Ororc
OG0006794	positive	Ororc
OG0007906	positive	Ororc
OG0004285	positive	Ororc
OG0007055	positive	Ororc
OG0006387	positive	Ororc
OG0004745	positive	Ororc
OG0004984	positive	Ororc
OG0009927	positive	Ororc
OG0011670	positive	Ororc
OG0008832	positive	Ororc
OG0008884	positive	Ororc
OG0006358	positive	Ororc
OG0006082	positive	Ororc
OG0007652	positive	Ororc
OG0012727	positive	Ororc
OG0010218	positive	Ororc
OG0009537	positive	Ororc
OG0007742	positive	Ororc
OG0004563	positive	Ororc
OG0004837	positive	Ororc
OG0003987	positive	Ororc
OG0007929	positive	Ororc
OG0006976	positive	Ororc
OG0008021	positive	Ororc
OG0010646	positive	Ororc
OG0005595	positive	Ororc
OG0006594	positive	Ororc
OG0010113	positive	Ororc
OG0012040	positive	Ororc
OG0007099	positive	Ororc
OG0005576	positive	Ororc
OG0006307	positive	Ororc
OG0011712	positive	Ororc
OG0005298	positive	Ororc
OG0008795	positive	Ororc
OG0004548	positive	Ororc
OG0010149	positive	Ororc
OG0011791	positive	Ororc
OG0009705	positive	Ororc
OG0011489	positive	Ororc
OG0008927	positive	Ororc
OG0009138	positive	Ororc
OG0009939	positive	Ororc
OG0010918	positive	Ororc
OG0004174	positive	Ororc
OG0009150	positive	Ororc
OG0007263	positive	Ororc
OG0011544	positive	Ororc
OG0005085	positive	Ororc
OG0010431	positive	Ororc
OG0005228	positive	Ororc
OG0009857	positive	Ororc
OG0009662	positive	Ororc
OG0009053	positive	Ororc
OG0004762	positive	Ororc
OG0011102	positive	Ororc
OG0007764	positive	Ororc
OG0004807	positive	Ororc
OG0009131	positive	Ororc
OG0010428	positive	Ororc
OG0007027	positive	Ororc
OG0009217	positive	Ororc
OG0005291	positive	Ororc
OG0007943	positive	Ororc
OG0004828	positive	Ororc
OG0009608	positive	Ororc
OG0010666	positive	Ororc
OG0012660	positive	Ororc
OG0004345	positive	Ororc
OG0008844	positive	Ororc
OG0007978	positive	Ororc
OG0009797	positive	Ororc
OG0008227	positive	Ororc
OG0004770	positive	Ororc
OG0008120	positive	Ororc
OG0011359	positive	Ororc
OG0009577	positive	Ororc
OG0008823	positive	Ororc
OG0011139	positive	Ororc
OG0010227	positive	Ororc
OG0007016	positive	Ororc
OG0010277	positive	Ororc
OG0011494	positive	Ororc
OG0007582	positive	Ororc
OG0004533	positive	Ororc
OG0010548	positive	Ororc
OG0005784	positive	Ororc
OG0011188	positive	Ororc
OG0009091	positive	Ororc
OG0008674	positive	Ororc
OG0004706	positive	Ororc
OG0009779	positive	Ororc
