OG_symbol	selection	species
OG0008689	positive	Prang
OG0005433	positive	Prang
OG0007142	positive	Prang
OG0007777	positive	Prang
OG0005752	positive	Prang
OG0005328	positive	Prang
OG0010549	positive	Prang
OG0010704	positive	Prang
OG0011315	positive	Prang
OG0005337	positive	Prang
OG0008634	positive	Prang
OG0011051	positive	Prang
OG0010956	positive	Prang
OG0009414	positive	Prang
OG0006174	positive	Prang
OG0005151	positive	Prang
OG0011161	positive	Prang
OG0007624	positive	Prang
OG0005884	positive	Prang
OG0010818	positive	Prang
OG0010018	positive	Prang
OG0008395	positive	Prang
OG0005034	positive	Prang
OG0008681	positive	Prang
OG0010603	positive	Prang
OG0006344	positive	Prang
OG0008141	positive	Prang
OG0006242	positive	Prang
OG0009530	positive	Prang
OG0007872	positive	Prang
OG0006898	positive	Prang
OG0006764	positive	Prang
OG0009445	positive	Prang
OG0009207	positive	Prang
OG0007737	positive	Prang
OG0006572	positive	Prang
OG0006494	positive	Prang
OG0008877	positive	Prang
OG0010228	positive	Prang
OG0008496	positive	Prang
OG0010722	positive	Prang
OG0011819	positive	Prang
OG0009517	positive	Prang
OG0005466	positive	Prang
OG0006575	positive	Prang
OG0009960	positive	Prang
OG0004568	positive	Prang
OG0008542	positive	Prang
OG0006251	positive	Prang
OG0006480	positive	Prang
OG0005970	positive	Prang
OG0008951	positive	Prang
OG0007917	positive	Prang
OG0011987	positive	Prang
OG0011370	positive	Prang
OG0008934	positive	Prang
OG0009283	positive	Prang
OG0008475	positive	Prang
OG0005314	positive	Prang
OG0009355	positive	Prang
OG0011175	positive	Prang
OG0009765	positive	Prang
OG0012361	positive	Prang
OG0009175	positive	Prang
OG0005969	positive	Prang
OG0007401	positive	Prang
OG0006932	positive	Prang
OG0011288	positive	Prang
OG0010155	positive	Prang
OG0012621	positive	Prang
OG0005533	positive	Prang
OG0012534	positive	Prang
OG0003766	positive	Prang
OG0005267	positive	Prang
OG0010442	positive	Prang
OG0005488	positive	Prang
OG0007268	positive	Prang
OG0007840	positive	Prang
OG0009185	positive	Prang
OG0011046	positive	Prang
OG0007150	positive	Prang
OG0004965	positive	Prang
OG0011467	positive	Prang
OG0004395	positive	Prang
OG0008066	positive	Prang
OG0010320	positive	Prang
OG0004865	positive	Prang
OG0010120	positive	Prang
OG0012268	positive	Prang
OG0012423	positive	Prang
OG0012114	positive	Prang
OG0005139	positive	Prang
OG0006044	positive	Prang
OG0010848	positive	Prang
OG0012144	positive	Prang
OG0006426	positive	Prang
OG0011191	positive	Prang
OG0012594	positive	Prang
OG0009724	positive	Prang
OG0010415	positive	Prang
OG0005170	positive	Prang
OG0011872	positive	Prang
OG0006082	positive	Prang
OG0009836	positive	Prang
OG0008721	positive	Prang
OG0011800	positive	Prang
OG0005523	positive	Prang
OG0006741	positive	Prang
OG0005960	positive	Prang
OG0009371	positive	Prang
OG0010162	positive	Prang
OG0007250	positive	Prang
OG0009532	positive	Prang
OG0011720	positive	Prang
OG0009539	positive	Prang
OG0006519	positive	Prang
OG0005376	positive	Prang
OG0010278	positive	Prang
OG0007686	positive	Prang
OG0005844	positive	Prang
OG0007466	positive	Prang
OG0006277	positive	Prang
OG0009094	positive	Prang
OG0003969	positive	Prang
OG0007137	positive	Prang
OG0011132	positive	Prang
OG0005696	positive	Prang
OG0010932	positive	Prang
OG0004604	positive	Prang
OG0005478	positive	Prang
OG0012529	positive	Prang
OG0009884	positive	Prang
OG0010252	positive	Prang
OG0008372	positive	Prang
OG0009740	positive	Prang
OG0005580	positive	Prang
OG0004563	positive	Prang
OG0006765	positive	Prang
OG0008468	positive	Prang
OG0004837	positive	Prang
OG0011228	positive	Prang
OG0008101	positive	Prang
OG0010610	positive	Prang
OG0004666	positive	Prang
OG0007615	positive	Prang
OG0008017	positive	Prang
OG0010484	positive	Prang
OG0006949	positive	Prang
OG0009911	positive	Prang
OG0010939	positive	Prang
OG0009480	positive	Prang
OG0009487	positive	Prang
OG0007929	positive	Prang
OG0010684	positive	Prang
OG0012123	positive	Prang
OG0005743	positive	Prang
OG0006394	positive	Prang
OG0011387	positive	Prang
OG0003538	positive	Prang
OG0007982	positive	Prang
OG0008731	positive	Prang
OG0011951	positive	Prang
OG0006594	positive	Prang
OG0010113	positive	Prang
OG0012040	positive	Prang
OG0012383	positive	Prang
OG0006872	positive	Prang
OG0006663	positive	Prang
OG0009644	positive	Prang
OG0009417	positive	Prang
OG0007099	positive	Prang
OG0004941	positive	Prang
OG0012265	positive	Prang
OG0008778	positive	Prang
OG0011418	positive	Prang
OG0006307	positive	Prang
OG0010334	positive	Prang
OG0007769	positive	Prang
OG0011836	positive	Prang
OG0005922	positive	Prang
OG0007693	positive	Prang
OG0009350	positive	Prang
OG0010780	positive	Prang
OG0011285	positive	Prang
OG0007783	positive	Prang
OG0012034	positive	Prang
OG0011913	positive	Prang
OG0004092	positive	Prang
OG0008738	positive	Prang
OG0003746	positive	Prang
OG0012053	positive	Prang
OG0011192	positive	Prang
OG0010573	positive	Prang
OG0009138	positive	Prang
OG0010264	positive	Prang
OG0004327	positive	Prang
OG0011313	positive	Prang
OG0011632	positive	Prang
OG0011480	positive	Prang
OG0009150	positive	Prang
OG0011544	positive	Prang
OG0007044	positive	Prang
OG0003779	positive	Prang
OG0006983	positive	Prang
OG0005085	positive	Prang
OG0008596	positive	Prang
OG0011931	positive	Prang
OG0011680	positive	Prang
OG0009857	positive	Prang
OG0007301	positive	Prang
OG0011630	positive	Prang
OG0011156	positive	Prang
OG0010414	positive	Prang
OG0009520	positive	Prang
