OG_symbol	selection	species
OG0010178	positive	Rhtyp
OG0008689	positive	Rhtyp
OG0010910	positive	Rhtyp
OG0007195	positive	Rhtyp
OG0006377	positive	Rhtyp
OG0010704	positive	Rhtyp
OG0007942	positive	Rhtyp
OG0012693	positive	Rhtyp
OG0009190	positive	Rhtyp
OG0009827	positive	Rhtyp
OG0005987	positive	Rhtyp
OG0005633	positive	Rhtyp
OG0010624	positive	Rhtyp
OG0010964	positive	Rhtyp
OG0008135	positive	Rhtyp
OG0010956	positive	Rhtyp
OG0009414	positive	Rhtyp
OG0009668	positive	Rhtyp
OG0005649	positive	Rhtyp
OG0007473	positive	Rhtyp
OG0011161	positive	Rhtyp
OG0007556	positive	Rhtyp
OG0003489	positive	Rhtyp
OG0010818	positive	Rhtyp
OG0010018	positive	Rhtyp
OG0008395	positive	Rhtyp
OG0008681	positive	Rhtyp
OG0010247	positive	Rhtyp
OG0006344	positive	Rhtyp
OG0006826	positive	Rhtyp
OG0012165	positive	Rhtyp
OG0010709	positive	Rhtyp
OG0005736	positive	Rhtyp
OG0006882	positive	Rhtyp
OG0006898	positive	Rhtyp
OG0006314	positive	Rhtyp
OG0006764	positive	Rhtyp
OG0009445	positive	Rhtyp
OG0005245	positive	Rhtyp
OG0007737	positive	Rhtyp
OG0005509	positive	Rhtyp
OG0007544	positive	Rhtyp
OG0005566	positive	Rhtyp
OG0010228	positive	Rhtyp
OG0008496	positive	Rhtyp
OG0005466	positive	Rhtyp
OG0009960	positive	Rhtyp
OG0004568	positive	Rhtyp
OG0005616	positive	Rhtyp
OG0006251	positive	Rhtyp
OG0005648	positive	Rhtyp
OG0008951	positive	Rhtyp
OG0007917	positive	Rhtyp
OG0011987	positive	Rhtyp
OG0011370	positive	Rhtyp
OG0008475	positive	Rhtyp
OG0005314	positive	Rhtyp
OG0004070	positive	Rhtyp
OG0006932	positive	Rhtyp
OG0003451	positive	Rhtyp
OG0011641	positive	Rhtyp
OG0011288	positive	Rhtyp
OG0010155	positive	Rhtyp
OG0010693	positive	Rhtyp
OG0008528	positive	Rhtyp
OG0006776	positive	Rhtyp
OG0012534	positive	Rhtyp
OG0010322	positive	Rhtyp
OG0009249	positive	Rhtyp
OG0012274	positive	Rhtyp
OG0010442	positive	Rhtyp
OG0011916	positive	Rhtyp
OG0007055	positive	Rhtyp
OG0006187	positive	Rhtyp
OG0005932	positive	Rhtyp
OG0005814	positive	Rhtyp
OG0011349	positive	Rhtyp
OG0009185	positive	Rhtyp
OG0011180	positive	Rhtyp
OG0004965	positive	Rhtyp
OG0004395	positive	Rhtyp
OG0005759	positive	Rhtyp
OG0004152	positive	Rhtyp
OG0008066	positive	Rhtyp
OG0009974	positive	Rhtyp
OG0007350	positive	Rhtyp
OG0005941	positive	Rhtyp
OG0007398	positive	Rhtyp
OG0004865	positive	Rhtyp
OG0005139	positive	Rhtyp
OG0007975	positive	Rhtyp
OG0004611	positive	Rhtyp
OG0003747	positive	Rhtyp
OG0011670	positive	Rhtyp
OG0005447	positive	Rhtyp
OG0006625	positive	Rhtyp
OG0012144	positive	Rhtyp
OG0011191	positive	Rhtyp
OG0010415	positive	Rhtyp
OG0005170	positive	Rhtyp
OG0008620	positive	Rhtyp
OG0004571	positive	Rhtyp
OG0009789	positive	Rhtyp
OG0008538	positive	Rhtyp
OG0012095	positive	Rhtyp
OG0007652	positive	Rhtyp
OG0008721	positive	Rhtyp
OG0011293	positive	Rhtyp
OG0011800	positive	Rhtyp
OG0006741	positive	Rhtyp
OG0010556	positive	Rhtyp
OG0005960	positive	Rhtyp
OG0007501	positive	Rhtyp
OG0009371	positive	Rhtyp
OG0007250	positive	Rhtyp
OG0011720	positive	Rhtyp
OG0004260	positive	Rhtyp
OG0012727	positive	Rhtyp
OG0006519	positive	Rhtyp
OG0010278	positive	Rhtyp
OG0007686	positive	Rhtyp
OG0005020	positive	Rhtyp
OG0007466	positive	Rhtyp
OG0010454	positive	Rhtyp
OG0010232	positive	Rhtyp
OG0005696	positive	Rhtyp
OG0012529	positive	Rhtyp
OG0010567	positive	Rhtyp
OG0004798	positive	Rhtyp
OG0009884	positive	Rhtyp
OG0010715	positive	Rhtyp
OG0012669	positive	Rhtyp
OG0008372	positive	Rhtyp
OG0010093	positive	Rhtyp
OG0010479	positive	Rhtyp
OG0010484	positive	Rhtyp
OG0004634	positive	Rhtyp
OG0010939	positive	Rhtyp
OG0010879	positive	Rhtyp
OG0009487	positive	Rhtyp
OG0010829	positive	Rhtyp
OG0004047	positive	Rhtyp
OG0008186	positive	Rhtyp
OG0007929	positive	Rhtyp
OG0010684	positive	Rhtyp
OG0011081	positive	Rhtyp
OG0012123	positive	Rhtyp
OG0006754	positive	Rhtyp
OG0003538	positive	Rhtyp
OG0007982	positive	Rhtyp
OG0008913	positive	Rhtyp
OG0010113	positive	Rhtyp
OG0007803	positive	Rhtyp
OG0012040	positive	Rhtyp
OG0005121	positive	Rhtyp
OG0006872	positive	Rhtyp
OG0012422	positive	Rhtyp
OG0009860	positive	Rhtyp
OG0009644	positive	Rhtyp
OG0007989	positive	Rhtyp
OG0006326	positive	Rhtyp
OG0007099	positive	Rhtyp
OG0006688	positive	Rhtyp
OG0008778	positive	Rhtyp
OG0006307	positive	Rhtyp
OG0008612	positive	Rhtyp
OG0004581	positive	Rhtyp
OG0011334	positive	Rhtyp
OG0007048	positive	Rhtyp
OG0003417	positive	Rhtyp
OG0006775	positive	Rhtyp
OG0006536	positive	Rhtyp
OG0007816	positive	Rhtyp
OG0010022	positive	Rhtyp
OG0009391	positive	Rhtyp
OG0004548	positive	Rhtyp
OG0007419	positive	Rhtyp
OG0003924	positive	Rhtyp
OG0007783	positive	Rhtyp
OG0012321	positive	Rhtyp
OG0006062	positive	Rhtyp
OG0004327	positive	Rhtyp
OG0008358	positive	Rhtyp
OG0011632	positive	Rhtyp
OG0005429	positive	Rhtyp
OG0009341	positive	Rhtyp
OG0007263	positive	Rhtyp
OG0007497	positive	Rhtyp
OG0008218	positive	Rhtyp
OG0004426	positive	Rhtyp
OG0003779	positive	Rhtyp
OG0005075	positive	Rhtyp
OG0004410	positive	Rhtyp
OG0003971	positive	Rhtyp
OG0004762	positive	Rhtyp
OG0009492	positive	Rhtyp
OG0006646	positive	Rhtyp
OG0011102	positive	Rhtyp
OG0009499	positive	Rhtyp
OG0010943	positive	Rhtyp
OG0008817	positive	Rhtyp
OG0010508	positive	Rhtyp
OG0009943	positive	Rhtyp
OG0005953	positive	Rhtyp
OG0004371	positive	Rhtyp
OG0006526	positive	Rhtyp
OG0006859	positive	Rhtyp
OG0006615	positive	Rhtyp
OG0010679	positive	Rhtyp
OG0011637	positive	Rhtyp
OG0010923	positive	Rhtyp
OG0005558	positive	Rhtyp
OG0005014	positive	Rhtyp
OG0010428	positive	Rhtyp
OG0010716	positive	Rhtyp
OG0007518	positive	Rhtyp
OG0011809	positive	Rhtyp
OG0006800	positive	Rhtyp
OG0010787	positive	Rhtyp
OG0008855	positive	Rhtyp
OG0010084	positive	Rhtyp
OG0008909	positive	Rhtyp
OG0005218	positive	Rhtyp
OG0005193	positive	Rhtyp
OG0010079	positive	Rhtyp
OG0004799	positive	Rhtyp
OG0009606	positive	Rhtyp
OG0003886	positive	Rhtyp
OG0004821	positive	Rhtyp
OG0010518	positive	Rhtyp
OG0010059	positive	Rhtyp
OG0007592	positive	Rhtyp
OG0010409	positive	Rhtyp
OG0008247	positive	Rhtyp
OG0007583	positive	Rhtyp
OG0005378	positive	Rhtyp
OG0009458	positive	Rhtyp
OG0010634	positive	Rhtyp
OG0008637	positive	Rhtyp
