OG_symbol	selection	species
OG0004882	positive	Tecar
OG0006995	positive	Tecar
OG0009112	positive	Tecar
OG0008263	positive	Tecar
OG0007674	positive	Tecar
OG0011161	positive	Tecar
OG0007556	positive	Tecar
OG0011478	positive	Tecar
OG0008900	positive	Tecar
OG0011029	positive	Tecar
OG0006898	positive	Tecar
OG0006764	positive	Tecar
OG0006162	positive	Tecar
OG0008877	positive	Tecar
OG0011819	positive	Tecar
OG0009064	positive	Tecar
OG0006436	positive	Tecar
OG0010129	positive	Tecar
OG0005314	positive	Tecar
OG0010389	positive	Tecar
OG0004070	positive	Tecar
OG0004510	positive	Tecar
OG0011114	positive	Tecar
OG0008289	positive	Tecar
OG0012268	positive	Tecar
OG0012423	positive	Tecar
OG0009927	positive	Tecar
OG0006407	positive	Tecar
OG0010313	positive	Tecar
OG0007897	positive	Tecar
OG0004672	positive	Tecar
OG0010415	positive	Tecar
OG0006082	positive	Tecar
OG0007203	positive	Tecar
OG0011800	positive	Tecar
OG0009371	positive	Tecar
OG0009695	positive	Tecar
OG0008349	positive	Tecar
OG0006519	positive	Tecar
OG0010065	positive	Tecar
OG0007486	positive	Tecar
OG0005844	positive	Tecar
OG0010454	positive	Tecar
OG0005696	positive	Tecar
OG0008372	positive	Tecar
OG0009740	positive	Tecar
OG0011554	positive	Tecar
OG0007090	positive	Tecar
OG0004563	positive	Tecar
OG0010610	positive	Tecar
OG0004666	positive	Tecar
OG0007929	positive	Tecar
OG0006380	positive	Tecar
OG0010517	positive	Tecar
OG0011418	positive	Tecar
OG0006536	positive	Tecar
OG0010780	positive	Tecar
OG0003633	positive	Tecar
OG0005132	positive	Tecar
OG0008204	positive	Tecar
OG0009705	positive	Tecar
OG0005429	positive	Tecar
OG0010918	positive	Tecar
OG0003779	positive	Tecar
OG0008215	positive	Tecar
OG0004371	positive	Tecar
OG0004807	positive	Tecar
OG0005524	positive	Tecar
OG0010747	positive	Tecar
OG0009131	positive	Tecar
OG0011637	positive	Tecar
OG0010923	positive	Tecar
OG0008709	positive	Tecar
OG0008331	positive	Tecar
OG0008839	positive	Tecar
OG0005218	positive	Tecar
OG0010079	positive	Tecar
OG0004828	positive	Tecar
OG0010824	positive	Tecar
OG0012008	positive	Tecar
OG0003886	positive	Tecar
OG0011411	positive	Tecar
OG0004224	positive	Tecar
OG0011234	positive	Tecar
OG0012660	positive	Tecar
OG0009458	positive	Tecar
OG0011771	positive	Tecar
OG0009167	positive	Tecar
OG0009797	positive	Tecar
OG0010043	positive	Tecar
OG0007991	positive	Tecar
OG0010615	positive	Tecar
OG0006700	positive	Tecar
OG0009130	positive	Tecar
OG0006046	positive	Tecar
OG0006235	positive	Tecar
OG0008768	positive	Tecar
OG0005915	positive	Tecar
OG0007002	positive	Tecar
OG0004533	positive	Tecar
OG0010632	positive	Tecar
OG0006829	positive	Tecar
OG0012164	positive	Tecar
OG0008489	positive	Tecar
OG0009397	positive	Tecar
OG0006416	positive	Tecar
OG0008830	positive	Tecar
OG0006967	positive	Tecar
OG0011365	positive	Tecar
OG0006211	positive	Tecar
OG0011702	positive	Tecar
OG0007474	positive	Tecar
OG0005004	positive	Tecar
OG0009538	positive	Tecar
OG0010591	positive	Tecar
OG0008866	positive	Tecar
OG0008222	positive	Tecar
OG0011399	positive	Tecar
OG0011802	positive	Tecar
OG0007124	positive	Tecar
OG0004506	positive	Tecar
OG0006341	positive	Tecar
OG0005411	positive	Tecar
OG0010674	positive	Tecar
OG0008379	positive	Tecar
OG0006735	positive	Tecar
OG0010058	positive	Tecar
OG0011323	positive	Tecar
OG0011707	positive	Tecar
OG0005608	positive	Tecar
OG0003327	positive	Tecar
OG0012469	positive	Tecar
OG0006393	positive	Tecar
OG0004957	positive	Tecar
OG0009500	positive	Tecar
OG0006282	positive	Tecar
OG0009274	positive	Tecar
OG0011989	positive	Tecar
OG0009239	positive	Tecar
OG0010804	positive	Tecar
OG0010335	positive	Tecar
OG0011560	positive	Tecar
OG0011103	positive	Tecar
OG0011155	positive	Tecar
OG0008370	positive	Tecar
OG0006641	positive	Tecar
OG0004001	positive	Tecar
OG0009817	positive	Tecar
OG0011619	positive	Tecar
OG0011095	positive	Tecar
OG0006465	positive	Tecar
OG0008408	positive	Tecar
OG0010503	positive	Tecar
OG0004540	positive	Tecar
OG0004442	positive	Tecar
OG0012668	positive	Tecar
OG0008734	positive	Tecar
OG0008561	positive	Tecar
OG0011090	positive	Tecar
OG0011795	positive	Tecar
OG0008328	positive	Tecar
OG0005133	positive	Tecar
OG0008838	positive	Tecar
OG0010194	positive	Tecar
OG0009607	positive	Tecar
OG0009546	positive	Tecar
OG0007632	positive	Tecar
OG0005581	positive	Tecar
OG0006470	positive	Tecar
OG0006801	positive	Tecar
OG0008210	positive	Tecar
OG0011428	positive	Tecar
OG0008435	positive	Tecar
OG0010816	positive	Tecar
OG0010015	positive	Tecar
OG0010574	positive	Tecar
OG0006528	positive	Tecar
OG0011419	positive	Tecar
