name,type,expansion,contraction,absrel,id
Acipenser_oxyrhynchus,foreground,1515,1993,293,Acbae
Anolis_carolinensis,background,642,2059,454,Ancor
Bos_taurus,background,207,263,554,Botau
Carcharodon_carcharias,foreground,520,1178,390,Cacar
Cavia_porcellus,background,280,604,853,Capor
Chrysemys_picta,background,426,333,810,Chpic
Cercopithecus_diana,background,680,251,591,Chsab
Condylura_cristata,background,179,1374,691,Cocri
Danio_rerio,background,1851,1051,330,Darer
Elephas_maximus,foreground,292,558,539,Elmax
Erpetoichthys_calabaricus,background,782,1239,343,Ercal
Heterocephalus_glaber,foreground,367,545,741,Hegla
Homo_sapiens,foreground,147,273,707,Hosap
Latimeria_chalumnae,foreground,1171,1906,647,Lacha
Monodelphis_domestica,background,465,1106,724,Modom
Lasiurus_cinereus,foreground,872,1367,1158,Myluc
Orcinus_orca,foreground,507,552,835,Ororc
Ovis_aries,background,511,148,483,Ovari
Proteus_anguinus,foreground,2663,1139,824,Prang
Rattus_norvegicus,background,601,395,371,Ranor
Rhincodon_typus,foreground,1262,1119,741,Rhtyp
Salmo_trutta,background,7123,264,199,Sasal
Sciurus_vulgaris,background,1272,372,382,Scvul
Taeniopygia_guttata,background,229,2066,654,Tagut
Terrapene_carolina,foreground,1740,502,678,Tecar
