gene_symbol,TargetSpecies_Count,Reference_Count
HLA-DQA1,3,4
PROX2,3,4
FOXO3,3,3
HTT,3,3
MYC,3,3
SH2B3,3,3
APOE,2,5
IL6,2,5
ANKRD20A9P,2,3
APOC1,2,3
CDKN2A,2,3
CELSR2,2,3
CHRNA5,2,3
EPHX2,2,3
FURIN,2,3
HLA-DRB1,2,3
LPA,2,3
MC2R,2,3
PSRC1,2,3
USP2-AS1,2,3
A2M,2,2
ACE,2,2
AKIP1,2,2
ALDH3B1,2,2
ANKRD31,2,2
ANTXR1,2,2
AP5Z1,2,2
APLF,2,2
APOA1,2,2
APOA4,2,2
APP,2,2
ATXN2,2,2
BEND3,2,2
BRAP,2,2
BRIP1,2,2
C2orf80,2,2
C5orf34,2,2
CASP10,2,2
CCDC30,2,2
CDH1,2,2
CDKN2B-AS1,2,2
CENPI,2,2
CEP89,2,2
CHRNA4,2,2
CNGB3,2,2
CYB5R4,2,2
CYP51A1,2,2
DCLRE1B,2,2
DHODH,2,2
ECHS1,2,2
EPM2AIP1,2,2
EPS8,2,2
ERCC1,2,2
EXOC3L2,2,2
FADS1,2,2
FAN1,2,2
FEN1,2,2
FGD3,2,2
FHDC1,2,2
FMN1,2,2
FOXI3,2,2
GINM1,2,2
GRN,2,2
HMOX1,2,2
HP,2,2
HYOU1,2,2
IGF1,2,2
IGF2R,2,2
IL17A,2,2
IMMT,2,2
IRS1,2,2
ITPKC,2,2
KCNK3,2,2
KCNK7,2,2
KRT8,2,2
LAS1L,2,2
LDLR,2,2
LINC02227,2,2
LMNA,2,2
LNPEP,2,2
LRIT1,2,2
LRP2,2,2
LRRC72,2,2
LY75-CD302,2,2
MAGI3,2,2
MED6,2,2
MOV10,2,2
MPEG1,2,2
MTBP,2,2
MYH2,2,2
MYRFL,2,2
NBN,2,2
NET1,2,2
NGDN,2,2
NGLY1,2,2
NID2,2,2
NR1H3,2,2
NRDE2,2,2
NSD1,2,2
OBSCN,2,2
OTUD4,2,2
PALLD,2,2
PIEZO2,2,2
PLAU,2,2
POM121C,2,2
POR,2,2
PRG4,2,2
PRKDC,2,2
PRRC2A,2,2
PSEN1,2,2
PTGER4,2,2
PTK7,2,2
PTPN11,2,2
RBBP6,2,2
RET,2,2
RHAG,2,2
RIMBP2,2,2
RIN1,2,2
RP1,2,2
SACM1L,2,2
SEMA6D,2,2
SERPINE1,2,2
SIRT1,2,2
SLC29A1,2,2
SLC4A7,2,2
SLX4,2,2
ST14,2,2
ST6GAL2,2,2
STAG3,2,2
STARD9,2,2
STOX1,2,2
SWI5,2,2
TDRKH,2,2
TEP1,2,2
TERF1,2,2
TLK2,2,2
TLR4,2,2
TMEM44,2,2
TNF,2,2
TNKS1BP1,2,2
TOMM40,2,2
TOX,2,2
TRAFD1,2,2
TRPV1,2,2
TYRO3,2,2
ZC3H7A,2,2
ZC3HC1,2,2
ZNF318,2,2
ZNFX1,2,2
ZW10,2,2
CHRNA3,1,2
GPR78,1,2
PVRL2,1,2
TMTC2,1,2
USP42,1,2
 AKT1 ,1,1
AAAS,1,1
AAR2,1,1
AASDH,1,1
ABCA13,1,1
ABCA4,1,1
ABCA6,1,1
ABCA7,1,1
ABCA8,1,1
ABCB11,1,1
ABCC10,1,1
ABCC4,1,1
ABCG5,1,1
ABI3,1,1
ABI3BP,1,1
ABITRAM,1,1
ABO,1,1
ABRACL,1,1
ABRAXAS1,1,1
AC112128.1,1,1
ACAA1,1,1
ACADS,1,1
ACAN,1,1
ACAP3,1,1
ACBD5,1,1
ACE2,1,1
ACHE,1,1
ACKR2,1,1
ACKR4,1,1
ACOX2,1,1
ACPP,1,1
ACTL8,1,1
ADA,1,1
ADAM12,1,1
ADAM15,1,1
ADAM18,1,1
ADAM19,1,1
ADAM20,1,1
ADAM32,1,1
ADAM33,1,1
ADAMTS20,1,1
ADAMTSL4,1,1
ADAT3,1,1
ADCY6,1,1
ADCY7,1,1
ADCY9,1,1
ADGB,1,1
