OG_ID,condition
OG0000014,NA
OG0000028,long-lived
OG0000110,NA
OG0000145,NA
OG0000232,long-lived
OG0000631,NA
OG0000733,long-lived
OG0001157,NA
OG0001630,long-lived
OG0002383,NA
OG0002589,long-lived
OG0002644,NA
OG0002744,long-lived
OG0002807,NA
OG0002818,long-lived
OG0002847,long-lived
OG0002857,NA
OG0002915,long-lived
OG0002918,long-lived
OG0003005,NA
OG0003046,NA
OG0003085,NA
OG0003122,NA
OG0003128,long-lived
OG0003140,NA
OG0003145,NA
OG0003149,NA
OG0003184,NA
OG0003190,NA
OG0003203,NA
OG0003217,NA
OG0003239,NA
OG0003276,NA
OG0003303,NA
OG0003318,long-lived
OG0003326,NA
OG0003327,NA
OG0003355,long-lived
OG0003376,NA
OG0003378,NA
OG0003381,NA
OG0003389,NA
OG0003415,long-lived
OG0003417,NA
OG0003427,NA
OG0003439,NA
OG0003441,NA
OG0003444,NA
OG0003451,long-lived
OG0003452,NA
OG0003465,NA
OG0003478,NA
OG0003486,NA
OG0003490,NA
OG0003491,NA
OG0003513,NA
OG0003516,NA
OG0003525,NA
OG0003533,NA
OG0003534,NA
OG0003537,long-lived
OG0003538,NA
OG0003546,NA
OG0003549,NA
OG0003554,NA
OG0003556,NA
OG0003558,NA
OG0003561,NA
OG0003564,NA
OG0003568,NA
OG0003569,NA
OG0003571,NA
OG0003573,NA
OG0003576,long-lived
OG0003579,NA
OG0003582,NA
OG0003588,NA
OG0003596,long-lived
OG0003599,NA
OG0003601,long-lived
OG0003605,NA
OG0003607,NA
OG0003608,NA
OG0003614,NA
OG0003615,NA
OG0003619,NA
OG0003620,NA
OG0003622,NA
OG0003623,NA
OG0003629,NA
OG0003631,NA
OG0003632,NA
OG0003633,NA
OG0003635,NA
OG0003639,NA
OG0003645,NA
OG0003649,NA
OG0003650,NA
OG0003660,NA
OG0003664,NA
OG0003671,NA
OG0003675,NA
OG0003676,NA
OG0003680,NA
OG0003690,NA
OG0003692,long-lived
OG0003696,NA
OG0003697,NA
OG0003699,long-lived
OG0003700,NA
OG0003704,NA
OG0003710,NA
OG0003714,long-lived
OG0003715,long-lived
OG0003716,NA
OG0003717,long-lived
OG0003720,long-lived
OG0003735,NA
OG0003739,long-lived
OG0003744,NA
OG0003747,NA
OG0003750,long-lived
OG0003753,NA
OG0003754,NA
OG0003755,NA
OG0003757,NA
OG0003759,NA
OG0003762,NA
OG0003769,long-lived
OG0003771,long-lived
OG0003777,long-lived
OG0003778,long-lived
OG0003779,NA
OG0003780,NA
OG0003781,long-lived
OG0003783,NA
OG0003784,NA
OG0003785,NA
OG0003788,long-lived
OG0003792,NA
OG0003796,NA
OG0003803,NA
OG0003804,NA
OG0003805,NA
OG0003808,long-lived
OG0003812,NA
OG0003813,NA
OG0003816,NA
OG0003819,NA
OG0003822,NA
OG0003824,NA
OG0003826,long-lived
OG0003827,NA
OG0003829,long-lived
OG0003831,NA
OG0003834,NA
OG0003835,NA
OG0003836,NA
OG0003840,NA
OG0003842,NA
OG0003843,NA
OG0003845,NA
OG0003848,long-lived
OG0003851,NA
OG0003852,NA
OG0003853,NA
OG0003854,NA
OG0003855,NA
OG0003858,NA
OG0003862,NA
OG0003863,long-lived
OG0003865,NA
OG0003867,NA
OG0003868,NA
OG0003869,NA
OG0003870,NA
OG0003873,NA
OG0003874,NA
OG0003875,NA
OG0003876,NA
OG0003879,NA
OG0003886,NA
OG0003892,NA
OG0003916,NA
OG0003917,NA
OG0003919,NA
OG0003920,NA
OG0003922,long-lived
OG0003924,NA
OG0003926,NA
OG0003928,long-lived
OG0003930,NA
OG0003933,NA
OG0003938,NA
OG0003942,NA
OG0003948,NA
OG0003951,NA
OG0003953,NA
OG0003954,NA
OG0003956,long-lived
OG0003957,NA
OG0003962,NA
OG0003964,NA
OG0003968,NA
OG0003969,NA
OG0003970,NA
OG0003971,NA
OG0003973,NA
OG0003975,NA
OG0003977,NA
OG0003978,NA
OG0003979,NA
OG0003981,NA
OG0003982,long-lived
OG0003984,NA
OG0003986,NA
OG0003987,NA
OG0003989,NA
OG0003991,NA
OG0003995,NA
OG0003998,NA
OG0003999,NA
OG0004002,NA
OG0004006,NA
OG0004009,NA
OG0004013,NA
OG0004014,NA
OG0004015,NA
OG0004016,NA
OG0004018,long-lived
OG0004020,NA
OG0004022,NA
OG0004025,long-lived
OG0004026,long-lived
OG0004027,NA
OG0004031,NA
OG0004032,NA
OG0004034,long-lived
OG0004035,long-lived
OG0004037,NA
OG0004038,NA
OG0004039,NA
OG0004040,long-lived
OG0004042,NA
OG0004043,long-lived
OG0004045,NA
OG0004046,NA
OG0004047,NA
OG0004048,NA
OG0004050,NA
OG0004051,NA
OG0004052,NA
OG0004053,long-lived
OG0004054,NA
OG0004058,NA
OG0004061,NA
OG0004062,NA
OG0004064,NA
OG0004065,NA
OG0004068,NA
OG0004069,NA
OG0004070,NA
OG0004071,NA
OG0004073,NA
OG0004076,NA
OG0004078,NA
OG0004081,long-lived
OG0004082,NA
OG0004083,long-lived
OG0004085,long-lived
OG0004087,NA
OG0004089,NA
OG0004090,NA
OG0004091,long-lived
OG0004092,long-lived
OG0004093,NA
OG0004096,NA
OG0004097,long-lived
OG0004098,NA
OG0004099,NA
