OG	count
OG0012377	9
OG0005012	9
OG0006528	8
OG0011920	8
OG0006218	8
OG0010155	7
OG0007419	7
OG0007684	7
OG0011770	7
OG0007888	7
OG0011438	7
OG0008381	7
OG0009497	7
OG0005742	7
OG0009330	7
OG0011775	7
OG0011849	7
OG0009596	7
OG0012024	7
OG0011850	7
OG0010285	7
OG0007448	7
OG0005997	7
OG0007314	7
OG0006583	7
OG0007944	7
OG0009388	7
OG0011947	7
OG0007226	7
OG0006377	6
OG0010018	6
OG0006898	6
OG0011987	6
OG0004965	6
OG0005139	6
OG0008721	6
OG0010454	6
OG0005696	6
OG0008372	6
OG0007929	6
OG0007989	6
OG0007099	6
OG0006307	6
OG0007783	6
OG0011156	6
OG0006471	6
OG0010051	6
OG0008132	6
OG0004538	6
OG0004266	6
OG0010194	6
OG0012358	6
OG0005088	6
OG0010929	6
OG0011419	6
OG0010675	6
OG0006195	6
OG0009576	6
OG0009022	6
OG0009345	6
OG0005622	6
OG0011075	6
OG0004232	6
OG0009031	6
OG0009729	6
OG0004867	6
OG0005852	6
OG0005641	6
OG0008015	6
OG0005661	6
OG0003122	6
OG0002818	6
OG0010590	6
OG0012496	6
OG0010711	6
OG0003546	6
OG0010583	6
OG0005415	6
OG0008978	6
OG0005310	6
OG0006963	6
OG0009159	6
OG0011421	6
OG0009157	6
OG0009839	6
OG0012371	6
OG0004446	6
OG0004779	6
OG0005638	6
OG0004155	6
OG0005495	6
OG0009221	6
OG0007265	6
OG0005681	6
OG0006473	6
OG0008139	6
OG0003956	6
OG0004507	6
OG0007856	6
OG0009420	6
OG0009034	6
OG0008057	6
OG0003984	6
OG0004593	6
OG0011608	6
OG0005866	6
OG0010425	6
OG0011699	6
OG0005578	6
OG0012344	6
OG0009441	6
OG0005517	6
OG0006060	6
OG0005013	6
OG0005231	6
OG0006469	6
OG0010910	5
OG0010704	5
OG0009414	5
OG0006764	5
OG0005509	5
OG0007544	5
OG0010228	5
OG0004568	5
OG0008951	5
OG0008934	5
OG0012534	5
OG0004395	5
OG0010870	5
OG0010415	5
OG0011800	5
OG0006519	5
OG0010939	5
OG0008731	5
OG0010113	5
OG0006872	5
OG0011418	5
OG0006536	5
OG0009705	5
OG0004327	5
OG0005085	5
OG0004762	5
OG0011102	5
OG0004495	5
OG0010923	5
OG0005014	5
OG0010716	5
OG0010084	5
OG0009606	5
OG0012002	5
OG0007583	5
OG0011216	5
OG0010043	5
OG0007582	5
OG0009934	5
OG0004881	5
OG0005351	5
OG0009397	5
OG0005440	5
OG0010238	5
OG0009538	5
OG0008222	5
OG0006341	5
OG0006735	5
OG0009961	5
OG0003710	5
OG0008554	5
OG0009274	5
OG0005511	5
OG0007743	5
OG0010210	5
OG0009817	5
OG0005667	5
OG0006465	5
OG0010618	5
OG0010088	5
OG0007977	5
OG0005342	5
OG0008210	5
OG0008469	5
OG0010592	5
OG0011428	5
OG0010816	5
OG0005449	5
OG0005619	5
OG0008303	5
OG0006666	5
OG0009158	5
OG0005518	5
OG0012533	5
OG0007296	5
OG0011439	5
OG0008981	5
OG0005460	5
OG0004283	5
OG0004433	5
OG0003318	5
OG0007061	5
OG0004891	5
OG0006942	5
OG0010844	5
OG0008834	5
OG0005656	5
OG0007591	5
OG0005668	5
OG0006816	5
OG0007718	5
OG0006384	5
OG0009419	5
OG0009122	5
OG0005051	5
OG0007589	5
OG0008664	5
OG0004758	5
OG0010713	5
OG0012201	5
OG0006897	5
OG0004862	5
OG0012609	5
OG0008309	5
OG0005080	5
OG0004853	5
OG0012250	5
OG0006952	5
OG0010952	5
OG0009773	5
OG0009144	5
OG0009189	5
OG0009320	5
OG0008463	5
OG0004708	5
OG0004780	5
OG0004058	5
OG0008977	5
OG0003805	5
OG0004921	5
OG0008169	5
OG0009893	5
OG0004397	5
OG0009275	5
OG0003005	5
OG0009980	5
OG0007329	5
OG0008643	5
OG0001630	5
OG0007133	5
OG0008257	5
OG0005054	5
OG0007723	5
OG0012624	5
OG0010616	5
OG0005101	5
OG0004992	5
OG0005023	5
OG0004840	5
OG0010766	5
OG0004244	5
OG0011835	5
OG0006319	5
OG0011084	5
OG0006987	5
OG0004584	5
OG0006479	5
OG0006780	5
OG0005330	5
OG0011369	5
OG0004052	5
OG0007154	5
OG0004922	5
OG0005571	5
OG0007294	5
OG0012251	5
OG0009032	5
OG0005462	5
OG0010400	5
OG0010171	5
OG0003852	5
OG0011345	5
OG0012099	5
OG0010197	5
OG0008986	5
OG0003777	5
OG0006979	5
OG0005926	5
OG0005223	5
OG0010140	5
OG0010650	5
OG0007575	5
OG0010743	5
OG0010410	5
OG0005593	5
