Taxon_ID,Increase,Decrease,F.node,DvsI,IvsD
Asmec,307,963,TRUE,3.136807818,0.318795431
Luden,1476,1899,TRUE,1.286585366,0.777251185
Prang,3250,1403,TRUE,0.431692308,2.316464718
Sians,1346,1711,TRUE,1.271173848,0.786674459
Sirhi,1849,760,TRUE,0.411032991,2.432894737
Trros,499,774,TRUE,1.551102204,0.644702842
Ammel,705,2181,FALSE,3.093617021,0.323246217
Ammex,2318,2630,FALSE,1.134598792,0.881368821
Asmes,387,329,FALSE,0.850129199,1.176291793
Darer,837,1893,FALSE,2.261648746,0.442155309
Gamor,600,2391,FALSE,3.985,0.250941029
Hosap,578,1285,FALSE,2.223183391,0.449805447
Leocu,538,3111,FALSE,5.782527881,0.172934748
Mymur,616,1437,FALSE,2.332792208,0.428670842
Nebri,884,1773,FALSE,2.005656109,0.498589961
Plwal,1052,7272,FALSE,6.912547529,0.144664466
Sigra,2153,1633,FALSE,0.758476544,1.318432333
Tagut,271,1890,FALSE,6.974169742,0.143386243
Thmac,556,1090,FALSE,1.960431655,0.510091743
Trtib,582,1693,FALSE,2.908934708,0.343768458
Xetro,729,2718,FALSE,3.728395062,0.268211921
Zoviv,914,509,FALSE,0.556892779,1.7956778
