"FamilyID","Rhtyp","Cacar","Sasal","Darer","Acbae","Ercal","Prang","Modom","Cocri","Ororc","Botau","Ovari","Myluc","Scvul","Ranor","Hegla","Capor","Hosap","Chsab","Elmax","Ancor","Tagut","Chpic","Tecar","Lacha","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"OG0000008","NO","EXP","NO","EXP","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","EXP","NO","NO","N/A","EXP","EXP","NO","NO","EXP","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000013","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","EXP","NO","EXP","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000014","NO","NO","NO","NO","NO","EXP","EXP","EXP","NO","NO","NO","EXP","NO","EXP","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO"
"OG0000016","NO","NO","NO","EXP","NO","EXP","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","N/A","NO","EXP","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","EXP"
"OG0000017","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","EXP","NO","NO","EXP","NO","NO","EXP","NO","NO","N/A","NO","EXP","EXP","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000018","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","EXP","N/A","NO","EXP","NO","NO","NO","EXP","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000019","EXP","NO","NO","EXP","NO","EXP","EXP","NO","NO","NO","NO","NO","EXP","EXP","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","N/A","EXP","EXP","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","EXP","NO","NO","NO","EXP","NO","NO","NO"
"OG0000025","NO","EXP","NO","EXP","NO","EXP","EXP","NO","NO","NO","EXP","NO","NO","EXP","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","N/A","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000028","NO","NO","EXP","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","EXP","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000029","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","EXP","NO","EXP","NO","EXP","NO","EXP","NO","EXP","NO","NO","NO","EXP","NO","NO","N/A","NO","EXP","NO","NO","EXP","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO"
"OG0000036","NO","EXP","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","N/A","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000038","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000040","NO","EXP","EXP","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","EXP","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000041","NO","NO","NO","NO","NO","EXP","EXP","NO","NO","NO","NO","EXP","EXP","NO","EXP","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","N/A","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","EXP"
"OG0000042","EXP","NO","EXP","NO","NO","NO","EXP","NO","NO","EXP","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","N/A","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","EXP"
"OG0000043","EXP","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","EXP","NO","EXP","NO","EXP","NO","NO","N/A","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000044","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","N/A","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO"
"OG0000045","NO","NO","NO","NO","NO","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","EXP","NO","EXP","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000046","NO","EXP","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO"
"OG0000047","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","EXP","N/A","EXP","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000048","NO","NO","NO","EXP","NO","EXP","EXP","EXP","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000050","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","EXP","NO","EXP","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000051","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","NO","NO","EXP","EXP","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000055","NO","EXP","NO","NO","NO","NO","EXP","NO","NO","NO","NO","EXP","NO","EXP","EXP","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000058","NO","NO","NO","EXP","NO","EXP","EXP","NO","NO","NO","NO","NO","EXP","NO","EXP","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000059","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","EXP","NO","NO","NO","EXP","NO","NO","NO","EXP","NO","NO","N/A","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000060","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"OG0000061","NO","NO","NO","EXP","NO","EXP","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","N/A","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","EXP","NO","NO","NO","NO","NO","NO","NO","NO","NO"
