"Taxon_ID","Increase","Decrease","F.node","DvsI"
"Acbae",1515,1993,TRUE,1.31551155115512
"Cacar",520,1178,TRUE,2.26538461538462
"Elmax",292,558,TRUE,1.91095890410959
"Hegla",367,545,TRUE,1.4850136239782
"Hosap",147,273,TRUE,1.85714285714286
"Lacha",1171,1906,TRUE,1.62766865926558
"Myluc",872,1367,TRUE,1.56766055045872
"Ororc",507,552,TRUE,1.0887573964497
"Prang",2663,1139,TRUE,0.42771310552009
"Rhtyp",1262,1119,TRUE,0.886687797147385
"Tecar",1740,502,TRUE,0.288505747126437
"Ancor",642,2059,FALSE,3.20716510903427
"Botau",207,263,FALSE,1.27053140096618
"Capor",280,604,FALSE,2.15714285714286
"Chpic",426,333,FALSE,0.78169014084507
"Chsab",680,251,FALSE,0.369117647058824
"Cocri",179,1374,FALSE,7.67597765363128
"Darer",1851,1051,FALSE,0.567801188546731
"Ercal",782,1239,FALSE,1.5843989769821
"Modom",465,1106,FALSE,2.37849462365591
"Ovari",511,148,FALSE,0.289628180039139
"Ranor",601,395,FALSE,0.657237936772047
"Sasal",7123,264,FALSE,0.0370630352379615
"Scvul",1272,372,FALSE,0.292452830188679
"Tagut",229,2066,FALSE,9.02183406113537
