OG,Preferred_name,Description,count,analysis
OG0013147,EVC,Creveld syndrome,6,pigmentation_loss
OG0008537,ARHGEF1,Regulator of G protein signalling-like domain,5,pigmentation_loss
OG0008624,RAI14,Retinoic acid induced 14,5,pigmentation_loss
OG0009307,MED23,Mediator of RNA polymerase II transcription subunit 23 isoform,5,pigmentation_loss
OG0009976,KIAA1467,Family with sequence similarity 234 member B,5,pigmentation_loss
OG0011175,DNAJC17,DnaJ domain,5,pigmentation_loss
OG0006065,TACC2,Transforming acidic coiled-coil-containing protein (TACC),4,pigmentation_loss
OG0006527,HECTD4,Domain Homologous to E6-AP Carboxyl Terminus with,4,pigmentation_loss
OG0006557,AKNA,AT-hook-containing transcription factor,4,pigmentation_loss
OG0007101,COL22A1,Thrombospondin N-terminal -like domains.,4,pigmentation_loss
OG0007102,TERT,Telomerase ribonucleoprotein complex - RNA binding domain,4,pigmentation_loss
OG0007188,CEP164,Centrosomal protein,4,pigmentation_loss
OG0007574,C9orf171,Domain of unknown function (DUF4483),4,pigmentation_loss
OG0007967,LRCH1,Calponin homology domain,4,pigmentation_loss
OG0008101,FTO,"Dioxygenase that repairs alkylated DNA and RNA by oxidative demethylation. Has highest activity towards single- stranded RNA containing 3-methyluracil, followed by single- stranded DNA containing 3-methylthymine. Has low demethylase activity towards single-stranded DNA containing 1-methyladenine or 3-methylcytosine. Specifically demethylates N(6)-methyladenosine (m6A) RNA, the most prevalent internal modification of messenger RNA (mRNA) in higher eukaryotes. Has no activity towards 1- methylguanine. Has no detectable activity towards double-stranded DNA. Requires molecular oxygen, alpha-ketoglutarate and iron. Contributes to the regulation of the global metabolic rate, energy expenditure and energy homeostasis. Contributes to the regulation of body size and body fat accumulation",4,pigmentation_loss
OG0008302,MIB2,Mib_herc2,4,pigmentation_loss
OG0008509,CFAP58,Cilia and flagella associated protein 58,4,pigmentation_loss
OG0008591,SHROOM3,Apx/Shroom domain ASD1,4,pigmentation_loss
OG0008722,EPS8,actin polymerization-dependent cell motility,4,pigmentation_loss
OG0008860,RNF8,histone H2A K63-linked ubiquitination,4,pigmentation_loss
OG0008891,ASPSCR1,"Alveolar soft part sarcoma chromosome region, candidate 1",4,pigmentation_loss
OG0009110,UBE3D,protein modification by small protein conjugation,4,pigmentation_loss
OG0009819,PTPN13,Unstructured linker region on PTN13 protein between PDZ,4,pigmentation_loss
OG0009879,AGMAT,Agmatine ureohydrolase (agmatinase),4,pigmentation_loss
OG0009884,TSHZ2,Homeodomain,4,pigmentation_loss
OG0009888,GTPBP6,GTP-binding GTPase Middle Region,4,pigmentation_loss
OG0009988,CSPG4,Laminin G domain,4,pigmentation_loss
