OG_ID,analysis_absrel,gene_symbol.x,analysis_relaxed_intensified,analysis_paml,analysis_cafe_expanded,gene_symbol.y,analysis_relax_relaxed,analysis_cafe_contracted,gene_symbol
OG0000014,NA,NA,NA,NA,NA,NA,NA,contracted,CYP2A13
OG0000028,NA,NA,NA,NA,NA,NA,NA,contracted,KRT10
OG0000110,NA,NA,NA,NA,NA,NA,NA,contracted,FMO4
OG0000145,NA,NA,NA,NA,expanded,NA,NA,NA,CHD7
OG0000232,NA,NA,NA,NA,NA,NA,NA,contracted,SIRPA
OG0000631,NA,NA,NA,NA,NA,OGT,relaxed,NA,OGT
OG0000733,NA,NA,NA,NA,NA,ABCC4,relaxed,NA,ABCC4
OG0001157,NA,NA,NA,NA,NA,RPL31,relaxed,NA,RPL31
OG0001630,NA,NA,NA,paml_selected,NA,NA,NA,NA,MIA3
OG0002383,NA,MFAP4,intensified,paml_selected,NA,NA,NA,NA,MFAP4
OG0002589,NA,NA,NA,NA,expanded,NA,NA,NA,OBSCN
OG0002644,NA,NA,NA,NA,NA,RPS10,relaxed,NA,RPS10
OG0002744,NA,NA,NA,paml_selected,NA,VPS13B,relaxed,NA,VPS13B
OG0002807,NA,NA,NA,paml_selected,NA,NA,NA,NA,COL6A3
OG0002818,NA,NA,NA,paml_selected,NA,MRC1,relaxed,NA,MRC1
OG0002847,NA,NA,NA,paml_selected,NA,RIMBP2,relaxed,NA,RIMBP2
OG0002857,NA,NA,NA,paml_selected,NA,NA,NA,NA,SMYD3
OG0002915,NA,NA,NA,paml_selected,NA,NA,NA,NA,AKAP9
OG0002918,NA,NA,NA,paml_selected,NA,NA,NA,NA,ASTE1
OG0003005,NA,NA,NA,paml_selected,NA,ANPEP,relaxed,NA,ANPEP
OG0003046,NA,NA,NA,NA,NA,MB,relaxed,NA,MB
OG0003085,NA,NA,NA,paml_selected,NA,NA,NA,NA,HSPG2
OG0003122,NA,CD2,intensified,paml_selected,NA,NA,NA,NA,CD2
OG0003128,NA,NA,NA,paml_selected,NA,NA,NA,NA,SLC3A2
OG0003140,NA,NA,NA,NA,NA,PRKRIR,relaxed,NA,PRKRIR
