Ammel,Ammex,Asmec,Asmes,Chlan,Darer,Gamor,Hegla,Hosap,Leocu,Luden,Mymur,Ornil,Plwal,Prang,Scvul,Sians,Sigra,Sirhi,Tagut,Thmac,Trros,Trtib,Xetro,Zoviv,nSp,og,selectionF,selectionB,allF,allB
1,NA,1,1,1,1,NA,3.80173309499909e-08,0.0172049173040086,1,1,1,1,0.335790786593081,1,NA,NA,NA,NA,1,1,1,0.0271856323922979,1,1,hits_per_19_species,OG0003777,1,2,5,14
0.340419075027655,1,1,1,1,0.000383506574618497,NA,0.05535344471698,NA,0.00203555958481205,0.631932284917447,0.0384372271194026,0.0399077109243021,0.000140297856036087,NA,1,NA,NA,NA,1,1,1,0.00205684335771372,0.365047923752621,1,hits_per_19_species,OG0004551,0,6,5,14
0.0606439920363894,0.273281671208051,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,hits_per_19_species,OG0004698,0,0,5,14
1,1,1.17933440790807e-12,0.121090117788879,1,NA,NA,1,1,1,1,1,1,1,0.23477849945781,1,NA,NA,NA,1,1,NA,1,1,1,hits_per_19_species,OG0004898,1,0,5,14
1,1,1,1,1,NA,1,2.50090004261239e-08,1,1,1,1,1,1,1,1,NA,NA,NA,0.0612826255221778,1,NA,NA,1,1,hits_per_19_species,OG0004959,1,0,5,14
1,NA,1,1,1,NA,0.00371194363451416,0.946745337108439,1,1,0.000158078819902818,0.946275291887836,1,NA,NA,0.271231157249945,NA,1,NA,0.679530102491138,1,9.37430966185815e-10,1,1,1,hits_per_19_species,OG0005044,2,1,4,15
1,1,1,1,1,1,1,1,1,1,1,0.484699304237199,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,hits_per_19_species,OG0005082,0,0,5,14
1,1,1,2.83106871279415e-14,1,NA,1,0.215347318159845,1,1,1,1,1,1,0,1,NA,NA,NA,1,1,NA,NA,1,1,hits_per_19_species,OG0005118,1,1,5,14
1,0.0583213920597448,1,NA,0.0182639907648127,0.0091933777719464,1.94289029309402e-15,1,1,NA,5.10398986289795e-05,0.00467419062989138,4.30852810484605e-07,0.112903664603849,3.2085445411667e-14,1,NA,NA,NA,1,3.55741108754026e-06,NA,0.120818784218084,0.244297275821275,0.0514489844699128,hits_per_19_species,OG0005162,2,6,5,14
NA,0.810053686972332,NA,NA,1,1,1,1,1,1,1,1,0.631192284040926,1,0.281466479254069,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005165,0,0,5,14
1,NA,1,1,1,1,2.92366131304789e-12,1,1,0.0333393118897942,NA,0.0870919221147179,1,1,0.00189881317637963,0.739271275236822,NA,NA,NA,0.00240433201782741,4.7414020365455e-07,1,NA,1,0.000500180677447171,hits_per_19_species,OG0005225,1,5,4,15
1,NA,1,1,0.0826259441595513,NA,0.10122358759154,0.000635706186640828,1,1,NA,1,0.323911575785183,1,1,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005249,1,0,4,15
1,1,1,1,1,NA,1,1,0.0517244082425926,0.00249026676488306,1,1,NA,1,1,NA,NA,NA,NA,1,1,1,1,0.015341808287328,0.543865708189957,hits_per_19_species,OG0005257,0,2,6,13
1,NA,1,1,1,1,0.649148270031181,1.40134265302905e-09,1,1,1,1,1,NA,NA,1,NA,NA,NA,0.499576596432184,1,1,1,1,1,hits_per_19_species,OG0005260,1,0,4,15
4.95797275951171e-05,NA,1,1,1,1,1,1,1,1,2.13717932240343e-14,1,1,1,NA,NA,NA,NA,NA,1,1,1,1.04823150159916e-09,1,1,hits_per_19_species,OG0005301,1,2,4,15
NA,1,1,1,1,1,0.848094754056638,1,1,1,NA,0.704123679516905,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005313,0,0,5,14
1,NA,1,1,1,1,0.492659466704227,NA,1,1,0.0524431863342059,1,1,1,NA,1,NA,1,NA,NA,1,1,1,1,1,hits_per_19_species,OG0005422,0,0,3,16
0.178758353732254,NA,1,1,1,0.0337027084427988,1,1,0.519666761603051,0.00777306944015621,0.244878428007185,0.0168423395499528,0.171383285748992,1.62404445447351e-09,NA,1,NA,NA,NA,0.0352813070184024,1,NA,0.47841788033144,9.16273361351028e-06,0.535917486770624,hits_per_19_species,OG0005469,0,6,3,16
NA,0.15196133903884,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,1.79471434563761e-05,NA,1,1,1,0.00197998837566932,1,NA,1,hits_per_19_species,OG0005485,2,0,7,12
1,NA,1,1,NA,1,1,0.00378277117416087,1,1,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005486,1,0,4,15
1,1,1,1,1,0.512105867529398,1,1,1,0.0822314089848347,NA,1,1,NA,NA,0.391112746751174,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005500,0,0,4,15
1,NA,1,1,1,0.0976137152089933,1,1,1,1,NA,1,NA,NA,1,1,NA,0.944485723312619,NA,0.164827949663649,0.258960182073296,1,1,1,1,hits_per_19_species,OG0005540,0,0,4,15
1,NA,NA,1,1,1,1,1,1.18978991954233e-05,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005544,0,1,4,15
0.538346252940273,NA,NA,1,0.668331484810016,1,1,1,0.177613042368597,0.693840354227301,0.233395803829077,1,1,NA,NA,0.400968096830143,1,1,1,0.0189537539487586,0.049049463174595,1,0,NA,NA,hits_per_19_species,OG0005555,0,3,5,14
NA,1,1,1,NA,1,0.0439115518202199,1,1,1,NA,0.796651758377497,1,0.00364408976435548,NA,1,NA,7.2873917790206e-06,NA,1,0.650145401534137,1,1,0.187479052630038,1,hits_per_19_species,OG0005559,0,3,4,15
1,NA,1,NA,1.45398469881819e-05,NA,0.00405703387626916,1,1,1,0.00257413943189633,0.904618271310911,1,1,1,1,1,NA,0.00129181387805305,NA,1,0,1,1,NA,hits_per_19_species,OG0005579,3,2,7,12
1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,1,1,hits_per_19_species,OG0005582,0,0,5,14
