OG_ID	Preferred_name	selection
OG0002383	MFAP4	intensified
OG0003122	CD2	intensified
OG0003239	XPO5	intensified
OG0003417	USP54	intensified
OG0003534	SETD8	intensified
OG0003549	GUCY2C	intensified
OG0003554	LUZP2	intensified
OG0003607	UQCRB	intensified
OG0003660	PPP4R2	intensified
OG0003664	PFDN4	intensified
OG0003696	CASP6	intensified
OG0003699	ABI3BP	intensified
OG0003744	RPL35	intensified
OG0003771	GART	intensified
OG0003778	FRAS1	intensified
OG0003784	MLPH	intensified
OG0003819	TPCN2	intensified
OG0003852	TTF1	intensified
OG0003873	CUL1	intensified
OG0003876	F11R	intensified
OG0003892	TMEM258	intensified
OG0003924	C5orf42	intensified
OG0003948	PDXK	intensified
OG0003953	CNTLN	intensified
OG0003971	COL6A2	intensified
OG0003973	LMO7	intensified
OG0003986	WDR19	intensified
OG0003991	SLC25A38	intensified
OG0004006	AFTPH	intensified
OG0004026	NF1	intensified
OG0004032	DHRS13	intensified
OG0004051	HUS1	intensified
OG0004053	ZBTB8A	intensified
OG0004076	KAZN	intensified
OG0004081	TP53BP1	intensified
OG0004109	SUN1	intensified
OG0004180	SYT14	intensified
OG0004183	ACSF2	intensified
OG0004202	ENOPH1	intensified
OG0004226	CDA	intensified
OG0004232	KIAA1614	intensified
OG0004238	SDE2	intensified
OG0004244	C9orf3	intensified
OG0004253	ARHGEF3	intensified
OG0004262	DCAF4	intensified
OG0004266	ETAA1	intensified
OG0004273	SH3D19	intensified
OG0004289	OPN4	intensified
OG0004303	CEP78	intensified
OG0004304	TIMM23	intensified
OG0004321	XKR8	intensified
OG0004322	NUSAP1	intensified
OG0004326	HAUS5	intensified
OG0004333	DHRS11	intensified
OG0004344	IGBP1	intensified
OG0004350	RABL2B	intensified
OG0004351	MDM1	intensified
OG0004368	CCR6	intensified
OG0004369	IST1	intensified
OG0004371	ARSA	intensified
OG0004375	WBP1L	intensified
OG0004376	ZBTB33	intensified
OG0004385	SMG6	intensified
OG0004408	C2CD3	intensified
OG0004410	RASSF5	intensified
OG0004416	ZCCHC17	intensified
OG0004424	TEP1	intensified
OG0004432	PRODH	intensified
OG0004433	PDZD2	intensified
OG0004480	MSH4	intensified
OG0004483	MARCO	intensified
OG0004493	FYB	intensified
OG0004507	WDR27	intensified
OG0004510	slc23a2	intensified
OG0004517	SLC16A5	intensified
OG0004556	MYCBP	intensified
OG0004571	HDHD1	intensified
OG0004576	CCDC141	intensified
OG0004577	SLX4	intensified
OG0004592	C15orf27	intensified
OG0004606	KIAA1107	intensified
OG0004608	ASXL2	intensified
OG0004611	SRCAP	intensified
OG0004614	TDP2	intensified
OG0004618	FAM178A	intensified
OG0004622	ACSF3	intensified
OG0004626	N4BP2	intensified
OG0004639	LIMCH1	intensified
OG0004641	FAM72A	intensified
OG0004681	C16orf52	intensified
OG0004688	LSM6	intensified
OG0004722	HAO2	intensified
OG0004737	SMC6	intensified
OG0004753	MECR	intensified
OG0004771	KIAA1751	intensified
OG0004777	ANXA13	intensified
OG0004787	CCNB3	intensified
OG0004800	ANAPC15	intensified
OG0004803	UTP6	intensified
OG0004807	TMC5	intensified
OG0004815	TULP4	intensified
OG0004828	CEP192	intensified
OG0004833	MPDU1	intensified
