OG_symbol	selection	species
OG0008689	positive	Cocri
OG0011669	positive	Cocri
OG0010106	positive	Cocri
OG0007942	positive	Cocri
OG0009827	positive	Cocri
OG0009190	positive	Cocri
OG0008263	positive	Cocri
OG0011128	positive	Cocri
OG0009414	positive	Cocri
OG0007674	positive	Cocri
OG0011001	positive	Cocri
OG0009969	positive	Cocri
OG0010603	positive	Cocri
OG0006417	positive	Cocri
OG0011768	positive	Cocri
OG0012630	positive	Cocri
OG0010709	positive	Cocri
OG0006882	positive	Cocri
OG0010774	positive	Cocri
OG0006018	positive	Cocri
OG0008496	positive	Cocri
OG0005616	positive	Cocri
OG0008767	positive	Cocri
OG0011067	positive	Cocri
OG0008716	positive	Cocri
OG0009066	positive	Cocri
OG0010369	positive	Cocri
OG0009506	positive	Cocri
OG0009959	positive	Cocri
OG0007534	positive	Cocri
OG0009185	positive	Cocri
OG0007966	positive	Cocri
OG0005064	positive	Cocri
OG0007350	positive	Cocri
OG0010320	positive	Cocri
OG0012423	positive	Cocri
OG0011748	positive	Cocri
OG0005891	positive	Cocri
OG0008312	positive	Cocri
OG0008034	positive	Cocri
OG0010479	positive	Cocri
OG0011264	positive	Cocri
OG0005961	positive	Cocri
OG0011561	positive	Cocri
OG0008963	positive	Cocri
OG0006976	positive	Cocri
OG0008913	positive	Cocri
OG0007803	positive	Cocri
OG0011446	positive	Cocri
OG0009644	positive	Cocri
OG0012074	positive	Cocri
OG0007241	positive	Cocri
OG0009872	positive	Cocri
OG0010780	positive	Cocri
OG0008204	positive	Cocri
OG0008738	positive	Cocri
OG0010696	positive	Cocri
OG0007932	positive	Cocri
OG0010299	positive	Cocri
OG0009341	positive	Cocri
OG0010885	positive	Cocri
OG0007336	positive	Cocri
OG0006520	positive	Cocri
OG0011680	positive	Cocri
OG0008592	positive	Cocri
OG0011102	positive	Cocri
OG0006615	positive	Cocri
OG0008709	positive	Cocri
OG0010716	positive	Cocri
OG0009950	positive	Cocri
OG0011809	positive	Cocri
OG0007859	positive	Cocri
OG0009762	positive	Cocri
OG0010855	positive	Cocri
OG0008909	positive	Cocri
OG0005193	positive	Cocri
OG0010824	positive	Cocri
OG0012008	positive	Cocri
OG0011077	positive	Cocri
OG0008780	positive	Cocri
OG0010052	positive	Cocri
OG0011017	positive	Cocri
OG0012754	positive	Cocri
OG0007583	positive	Cocri
OG0007551	positive	Cocri
OG0007135	positive	Cocri
OG0012237	positive	Cocri
OG0008823	positive	Cocri
OG0005647	positive	Cocri
OG0005921	positive	Cocri
OG0011600	positive	Cocri
OG0005900	positive	Cocri
OG0009082	positive	Cocri
OG0010849	positive	Cocri
OG0008531	positive	Cocri
OG0008516	positive	Cocri
OG0005828	positive	Cocri
OG0006370	positive	Cocri
OG0006948	positive	Cocri
OG0012635	positive	Cocri
OG0011702	positive	Cocri
OG0006359	positive	Cocri
OG0011555	positive	Cocri
OG0005751	positive	Cocri
OG0009544	positive	Cocri
OG0011888	positive	Cocri
OG0007374	positive	Cocri
OG0008562	positive	Cocri
OG0007509	positive	Cocri
OG0006735	positive	Cocri
OG0010058	positive	Cocri
OG0008462	positive	Cocri
OG0007479	positive	Cocri
OG0005049	positive	Cocri
OG0011045	positive	Cocri
OG0012101	positive	Cocri
OG0009239	positive	Cocri
OG0005794	positive	Cocri
OG0008615	positive	Cocri
OG0011155	positive	Cocri
OG0010210	positive	Cocri
OG0009173	positive	Cocri
OG0011384	positive	Cocri
OG0011729	positive	Cocri
OG0008079	positive	Cocri
OG0005186	positive	Cocri
OG0007309	positive	Cocri
OG0006465	positive	Cocri
OG0010566	positive	Cocri
OG0008481	positive	Cocri
OG0008512	positive	Cocri
OG0007672	positive	Cocri
OG0010896	positive	Cocri
OG0010094	positive	Cocri
OG0005744	positive	Cocri
OG0011754	positive	Cocri
OG0008313	positive	Cocri
OG0010251	positive	Cocri
OG0006405	positive	Cocri
OG0009369	positive	Cocri
OG0005107	positive	Cocri
OG0008149	positive	Cocri
OG0008328	positive	Cocri
OG0010854	positive	Cocri
OG0009277	positive	Cocri
OG0009609	positive	Cocri
OG0010786	positive	Cocri
OG0006297	positive	Cocri
OG0011169	positive	Cocri
OG0012003	positive	Cocri
OG0009607	positive	Cocri
OG0011034	positive	Cocri
OG0011742	positive	Cocri
OG0009406	positive	Cocri
OG0008912	positive	Cocri
OG0011276	positive	Cocri
OG0011899	positive	Cocri
OG0009491	positive	Cocri
OG0010929	positive	Cocri
OG0011038	positive	Cocri
OG0007738	positive	Cocri
OG0007546	positive	Cocri
OG0007017	positive	Cocri
OG0009509	positive	Cocri
OG0009932	positive	Cocri
OG0007071	positive	Cocri
OG0006938	positive	Cocri
OG0008559	positive	Cocri
OG0009917	positive	Cocri
OG0007800	positive	Cocri
OG0006821	positive	Cocri
OG0005669	positive	Cocri
OG0008524	positive	Cocri
OG0007443	positive	Cocri
OG0010390	positive	Cocri
OG0008411	positive	Cocri
OG0010861	positive	Cocri
OG0006531	positive	Cocri
OG0011173	positive	Cocri
OG0006409	positive	Cocri
OG0012443	positive	Cocri
OG0009469	positive	Cocri
OG0008365	positive	Cocri
OG0005874	positive	Cocri
OG0010607	positive	Cocri
OG0006195	positive	Cocri
OG0011697	positive	Cocri
OG0012283	positive	Cocri
OG0009424	positive	Cocri
OG0008419	positive	Cocri
OG0009398	positive	Cocri
OG0008783	positive	Cocri
OG0007891	positive	Cocri
OG0012262	positive	Cocri
OG0007296	positive	Cocri
OG0011617	positive	Cocri
OG0009712	positive	Cocri
OG0006880	positive	Cocri
OG0007159	positive	Cocri
OG0007919	positive	Cocri
OG0011058	positive	Cocri
OG0010048	positive	Cocri
OG0006156	positive	Cocri
OG0007136	positive	Cocri
OG0006918	positive	Cocri
OG0007952	positive	Cocri
OG0009903	positive	Cocri
OG0006614	positive	Cocri
OG0009281	positive	Cocri
OG0012158	positive	Cocri
OG0011280	positive	Cocri
OG0007976	positive	Cocri
OG0007012	positive	Cocri
OG0006024	positive	Cocri
OG0009957	positive	Cocri
OG0011339	positive	Cocri
OG0006981	positive	Cocri
OG0006642	positive	Cocri
OG0009681	positive	Cocri
OG0010459	positive	Cocri
OG0010587	positive	Cocri
OG0010226	positive	Cocri
OG0005880	positive	Cocri
OG0007678	positive	Cocri
OG0011774	positive	Cocri
OG0009052	positive	Cocri
OG0006099	positive	Cocri
OG0011657	positive	Cocri
OG0010565	positive	Cocri
OG0009472	positive	Cocri
OG0007519	positive	Cocri
OG0006816	positive	Cocri
OG0005890	positive	Cocri
OG0008675	positive	Cocri
OG0008564	positive	Cocri
OG0008498	positive	Cocri
OG0007596	positive	Cocri
OG0010486	positive	Cocri
OG0009770	positive	Cocri
OG0010822	positive	Cocri
OG0005582	positive	Cocri
OG0006545	positive	Cocri
OG0006539	positive	Cocri
OG0006897	positive	Cocri
OG0005481	positive	Cocri
OG0008292	positive	Cocri
OG0009191	positive	Cocri
OG0010790	positive	Cocri
OG0008300	positive	Cocri
OG0006532	positive	Cocri
OG0008953	positive	Cocri
OG0011292	positive	Cocri
OG0008776	positive	Cocri
OG0008933	positive	Cocri
OG0006455	positive	Cocri
OG0011442	positive	Cocri
OG0009461	positive	Cocri
OG0007036	positive	Cocri
OG0008607	positive	Cocri
OG0011532	positive	Cocri
OG0010279	positive	Cocri
OG0010699	positive	Cocri
OG0011458	positive	Cocri
OG0007069	positive	Cocri
OG0007422	positive	Cocri
OG0008833	positive	Cocri
OG0007018	positive	Cocri
OG0011059	positive	Cocri
OG0006881	positive	Cocri
OG0005573	positive	Cocri
OG0008115	positive	Cocri
OG0011250	positive	Cocri
OG0007993	positive	Cocri
OG0006694	positive	Cocri
OG0008015	positive	Cocri
OG0010739	positive	Cocri
OG0010053	positive	Cocri
OG0009428	positive	Cocri
OG0010589	positive	Cocri
OG0008901	positive	Cocri
OG0009163	positive	Cocri
OG0009235	positive	Cocri
OG0005984	positive	Cocri
OG0007922	positive	Cocri
OG0005798	positive	Cocri
OG0006269	positive	Cocri
OG0008006	positive	Cocri
OG0008789	positive	Cocri
OG0011889	positive	Cocri
OG0009384	positive	Cocri
OG0009653	positive	Cocri
OG0007784	positive	Cocri
OG0008665	positive	Cocri
OG0004868	positive	Cocri
OG0008781	positive	Cocri
OG0008122	positive	Cocri
OG0011638	positive	Cocri
OG0011594	positive	Cocri
OG0007679	positive	Cocri
OG0010297	positive	Cocri
OG0011116	positive	Cocri
OG0008557	positive	Cocri
OG0008155	positive	Cocri
OG0010429	positive	Cocri
OG0007702	positive	Cocri
OG0009311	positive	Cocri
OG0009958	positive	Cocri
OG0010498	positive	Cocri
OG0007503	positive	Cocri
OG0007161	positive	Cocri
OG0010212	positive	Cocri
OG0010516	positive	Cocri
OG0009876	positive	Cocri
OG0011331	positive	Cocri
OG0011010	positive	Cocri
OG0008094	positive	Cocri
OG0012126	positive	Cocri
OG0007817	positive	Cocri
OG0005695	positive	Cocri
OG0011382	positive	Cocri
OG0011242	positive	Cocri
OG0006383	positive	Cocri
OG0010491	positive	Cocri
OG0008367	positive	Cocri
OG0012105	positive	Cocri
OG0009953	positive	Cocri
OG0011023	positive	Cocri
OG0010418	positive	Cocri
OG0007971	positive	Cocri
OG0011746	positive	Cocri
OG0008513	positive	Cocri
OG0011420	positive	Cocri
OG0008422	positive	Cocri
OG0007493	positive	Cocri
OG0009675	positive	Cocri
OG0008244	positive	Cocri
OG0006303	positive	Cocri
OG0010097	positive	Cocri
OG0009318	positive	Cocri
OG0008910	positive	Cocri
OG0006293	positive	Cocri
OG0007936	positive	Cocri
OG0005592	positive	Cocri
OG0005927	positive	Cocri
OG0011254	positive	Cocri
OG0007745	positive	Cocri
OG0008861	positive	Cocri
OG0011925	positive	Cocri
OG0009009	positive	Cocri
OG0006091	positive	Cocri
OG0008451	positive	Cocri
OG0011328	positive	Cocri
OG0007996	positive	Cocri
OG0006000	positive	Cocri
OG0010315	positive	Cocri
OG0011610	positive	Cocri
OG0007572	positive	Cocri
OG0007704	positive	Cocri
OG0007305	positive	Cocri
OG0008995	positive	Cocri
OG0006135	positive	Cocri
OG0010019	positive	Cocri
OG0009435	positive	Cocri
OG0009471	positive	Cocri
OG0010794	positive	Cocri
OG0007607	positive	Cocri
OG0008378	positive	Cocri
OG0009378	positive	Cocri
OG0011645	positive	Cocri
OG0006154	positive	Cocri
OG0010166	positive	Cocri
OG0010036	positive	Cocri
OG0010612	positive	Cocri
OG0011666	positive	Cocri
OG0007237	positive	Cocri
OG0008509	positive	Cocri
OG0011650	positive	Cocri
OG0008821	positive	Cocri
OG0010274	positive	Cocri
OG0008871	positive	Cocri
OG0008994	positive	Cocri
OG0008390	positive	Cocri
OG0009584	positive	Cocri
OG0009769	positive	Cocri
OG0011352	positive	Cocri
OG0009159	positive	Cocri
OG0007524	positive	Cocri
