OG,Preferred_name,Description,pvalue,F_vs_B
OG0005683,RASA1,GTPase-activator protein for Ras-like GTPases,0.020639835,TRUE
OG0005990,ENOPH1,Bifunctional enzyme that catalyzes the enolization of 2 3-diketo-5-methylthiopentyl-1-phosphate (DK-MTP-1-P) into the intermediate 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate (HK-MTPenyl-1-P)methylthiopentene (DHK- MTPene),0.01754386,TRUE
OG0006527,HECTD4,Domain Homologous to E6-AP Carboxyl Terminus with,0.047619048,TRUE
OG0006768,CBFB,Core-binding factor subunit beta isoform,0.01754386,TRUE
OG0006973,UBR5,E3 ubiquitin ligase EDD,0.047619048,TRUE
OG0007574,C9orf171,Domain of unknown function (DUF4483),0.015037594,TRUE
OG0007829,SASS6,Centriolar protein SAS N-terminal,0.010319917,TRUE
OG0007857,KDM1A,SWIRM domain,0.047619048,TRUE
OG0007899,UNC13D,Munc13 (mammalian uncoordinated) homology domain,0.047619048,TRUE
OG0007998,PRKX,Extension to Ser/Thr-type protein kinases,0.047619048,TRUE
OG0008000,PUS3,tRNA pseudouridine synthase,0.015037594,TRUE
OG0008070,OIT3,Zona pellucida (ZP) domain,0.047619048,TRUE
OG0008359,DAW1,WD domain,0.012987013,TRUE
OG0008509,CFAP58,Cilia and flagella associated protein 58,0.036363636,TRUE
OG0008736,TFEC,cellular response to heat,0.015037594,TRUE
OG0008960,LRRC74A,Leucine Rich repeat,0.026315789,TRUE
OG0009199,SDCCAG8,Serologically defined colon cancer antigen 8,0.004784689,TRUE
OG0009331,FBXL16,Leucine Rich repeat,0.047619048,TRUE
OG0009343,ATXN7L3,Component of the transcription regulatory histone acetylation (HAT) complex SAGA,0.00877193,TRUE
OG0009411,DNAJC24,DnaJ (Hsp40) homolog,0.043290043,TRUE
OG0009842,MPP1,regulation of neutrophil chemotaxis,0.047619048,TRUE
OG0009889,ZRANB2,Zinc finger Ran-binding domain-containing protein 2,0.015037594,TRUE
OG0009908,RAD18,Rad18-like CCHC zinc finger,0.011351909,TRUE
OG0009976,KIAA1467,Family with sequence similarity 234 member B,0.006105951,TRUE
OG0009988,CSPG4,Laminin G domain,0.019762846,TRUE
OG0010121,PIGU,GPI transamidase subunit PIG-U,0.015037594,TRUE
OG0010250,NPHS1,CD80-like C2-set immunoglobulin domain,0.011351909,TRUE
OG0010511,C19orf47,Chromosome 19 open reading frame 47,0.047619048,TRUE
OG0010784,GATM,Glycine amidinotransferase (L-arginine glycine amidinotransferase),0.027667984,TRUE
OG0011170,SCFD1,Sec1 family,0.043290043,TRUE
OG0011175,DNAJC17,DnaJ domain,0.014492754,TRUE
OG0011286,ABCD4,ABC transporter transmembrane region 2,0.01729249,TRUE
OG0011538,FHIT,HIT domain,0.02573045,TRUE
OG0011685,STIP1,Heat shock chaperonin-binding motif.,0.020639835,TRUE
OG0011741,SUGT1,SGT1,0.019762846,TRUE
OG0011870,MYBPC1,Myosin binding protein C,0.047619048,TRUE
OG0012015,PDIA5,OST3 / OST6 family,0.035087719,TRUE
OG0012076,WDR35,Component of the IFT complex A (IFT-A),0.024347826,TRUE
OG0012533,CIR1,corepressor interacting with RBPJ,0.020733652,TRUE
OG0012839,SLC25A21,transmembrane transport,0.031620553,TRUE
OG0012869,SLC38A11,Solute carrier family 38,0.007518797,TRUE
OG0013076,ENDOV,Endonuclease V,0.022727273,TRUE
