OG_symbol	selection	species
OG0010910	positive	Prang
OG0008893	positive	Prang
OG0009541	positive	Prang
OG0011298	positive	Prang
OG0007284	positive	Prang
OG0009190	positive	Prang
OG0012709	positive	Prang
OG0011903	positive	Prang
OG0010624	positive	Prang
OG0011001	positive	Prang
OG0011161	positive	Prang
OG0010818	positive	Prang
OG0007168	positive	Prang
OG0006242	positive	Prang
OG0009530	positive	Prang
OG0012523	positive	Prang
OG0008877	positive	Prang
OG0009901	positive	Prang
OG0013462	positive	Prang
OG0006431	positive	Prang
OG0011714	positive	Prang
OG0012192	positive	Prang
OG0007217	positive	Prang
OG0013174	positive	Prang
OG0010902	positive	Prang
OG0012475	positive	Prang
OG0008475	positive	Prang
OG0010369	positive	Prang
OG0007073	positive	Prang
OG0009175	positive	Prang
OG0013042	positive	Prang
OG0011288	positive	Prang
OG0011301	positive	Prang
OG0012324	positive	Prang
OG0009848	positive	Prang
OG0007906	positive	Prang
OG0012315	positive	Prang
OG0007435	positive	Prang
OG0010030	positive	Prang
OG0007966	positive	Prang
OG0010714	positive	Prang
OG0011467	positive	Prang
OG0007527	positive	Prang
OG0007968	positive	Prang
OG0013232	positive	Prang
OG0011571	positive	Prang
OG0011960	positive	Prang
OG0006452	positive	Prang
OG0007291	positive	Prang
OG0009789	positive	Prang
OG0011952	positive	Prang
OG0008584	positive	Prang
OG0007412	positive	Prang
OG0008777	positive	Prang
OG0012727	positive	Prang
OG0010278	positive	Prang
OG0012889	positive	Prang
OG0009537	positive	Prang
OG0010065	positive	Prang
OG0010454	positive	Prang
OG0011803	positive	Prang
OG0006334	positive	Prang
OG0010567	positive	Prang
OG0010897	positive	Prang
OG0008034	positive	Prang
OG0013538	positive	Prang
OG0013028	positive	Prang
OG0010879	positive	Prang
OG0012859	positive	Prang
OG0008186	positive	Prang
OG0010684	positive	Prang
OG0008434	positive	Prang
OG0011387	positive	Prang
OG0012199	positive	Prang
OG0011951	positive	Prang
OG0011221	positive	Prang
OG0010113	positive	Prang
OG0009792	positive	Prang
OG0007795	positive	Prang
OG0011446	positive	Prang
OG0010280	positive	Prang
OG0009860	positive	Prang
OG0009644	positive	Prang
OG0009417	positive	Prang
OG0007762	positive	Prang
OG0012265	positive	Prang
OG0011418	positive	Prang
OG0011712	positive	Prang
OG0014160	positive	Prang
OG0007241	positive	Prang
OG0007056	positive	Prang
OG0010022	positive	Prang
OG0010149	positive	Prang
OG0013051	positive	Prang
OG0011791	positive	Prang
OG0012316	positive	Prang
OG0008738	positive	Prang
OG0011489	positive	Prang
OG0011593	positive	Prang
OG0013054	positive	Prang
OG0009690	positive	Prang
OG0007932	positive	Prang
OG0010813	positive	Prang
OG0009438	positive	Prang
OG0010096	positive	Prang
OG0011313	positive	Prang
OG0009241	positive	Prang
OG0008358	positive	Prang
OG0009150	positive	Prang
OG0012999	positive	Prang
OG0010885	positive	Prang
OG0009983	positive	Prang
OG0011544	positive	Prang
OG0007044	positive	Prang
OG0006983	positive	Prang
OG0011680	positive	Prang
OG0009314	positive	Prang
OG0008592	positive	Prang
OG0011630	positive	Prang
OG0011123	positive	Prang
OG0010414	positive	Prang
OG0009492	positive	Prang
OG0006646	positive	Prang
OG0012960	positive	Prang
OG0009499	positive	Prang
OG0005546	positive	Prang
OG0006526	positive	Prang
OG0009899	positive	Prang
OG0012495	positive	Prang
OG0008331	positive	Prang
OG0012587	positive	Prang
OG0011523	positive	Prang
OG0011887	positive	Prang
OG0006503	positive	Prang
OG0007926	positive	Prang
OG0007276	positive	Prang
OG0012008	positive	Prang
OG0013976	positive	Prang
OG0008426	positive	Prang
OG0010059	positive	Prang
OG0007598	positive	Prang
OG0010634	positive	Prang
OG0010342	positive	Prang
OG0009301	positive	Prang
OG0011771	positive	Prang
OG0008227	positive	Prang
OG0013364	positive	Prang
OG0010615	positive	Prang
OG0010163	positive	Prang
OG0012257	positive	Prang
OG0012543	positive	Prang
OG0005492	positive	Prang
OG0010609	positive	Prang
OG0012214	positive	Prang
OG0010775	positive	Prang
OG0008543	positive	Prang
OG0009037	positive	Prang
OG0011944	positive	Prang
OG0013473	positive	Prang
OG0008717	positive	Prang
OG0009002	positive	Prang
OG0009833	positive	Prang
OG0011600	positive	Prang
OG0011898	positive	Prang
OG0007582	positive	Prang
OG0010263	positive	Prang
OG0012561	positive	Prang
OG0007194	positive	Prang
OG0011253	positive	Prang
OG0010270	positive	Prang
OG0009082	positive	Prang
OG0007323	positive	Prang
OG0008396	positive	Prang
OG0006984	positive	Prang
OG0005659	positive	Prang
OG0009091	positive	Prang
OG0013424	positive	Prang
OG0008740	positive	Prang
OG0013544	positive	Prang
OG0010751	positive	Prang
OG0006416	positive	Prang
OG0012775	positive	Prang
OG0009669	positive	Prang
OG0012957	positive	Prang
OG0007457	positive	Prang
OG0010070	positive	Prang
OG0011365	positive	Prang
OG0013063	positive	Prang
OG0009822	positive	Prang
OG0012440	positive	Prang
OG0008571	positive	Prang
OG0007290	positive	Prang
OG0007579	positive	Prang
OG0009698	positive	Prang
OG0009651	positive	Prang
OG0011747	positive	Prang
OG0010550	positive	Prang
OG0008608	positive	Prang
OG0010697	positive	Prang
OG0012550	positive	Prang
OG0010842	positive	Prang
OG0008462	positive	Prang
OG0012228	positive	Prang
OG0011710	positive	Prang
OG0013079	positive	Prang
OG0010878	positive	Prang
OG0012273	positive	Prang
OG0009186	positive	Prang
OG0008294	positive	Prang
OG0009019	positive	Prang
OG0009274	positive	Prang
OG0010843	positive	Prang
OG0013071	positive	Prang
OG0011989	positive	Prang
OG0013377	positive	Prang
OG0010514	positive	Prang
OG0007057	positive	Prang
OG0010528	positive	Prang
OG0009173	positive	Prang
OG0013257	positive	Prang
OG0009817	positive	Prang
OG0008935	positive	Prang
OG0011538	positive	Prang
OG0009704	positive	Prang
OG0012867	positive	Prang
OG0008512	positive	Prang
OG0012159	positive	Prang
OG0007298	positive	Prang
OG0007672	positive	Prang
OG0008102	positive	Prang
OG0012802	positive	Prang
OG0010489	positive	Prang
OG0010509	positive	Prang
OG0008734	positive	Prang
OG0010251	positive	Prang
OG0010746	positive	Prang
OG0008149	positive	Prang
OG0011770	positive	Prang
OG0009821	positive	Prang
OG0012722	positive	Prang
OG0007458	positive	Prang
OG0009048	positive	Prang
OG0010786	positive	Prang
OG0012604	positive	Prang
OG0006297	positive	Prang
OG0008992	positive	Prang
OG0011074	positive	Prang
OG0014652	positive	Prang
OG0012377	positive	Prang
OG0008410	positive	Prang
OG0008667	positive	Prang
OG0007977	positive	Prang
OG0010665	positive	Prang
OG0008968	positive	Prang
OG0009885	positive	Prang
OG0009406	positive	Prang
OG0010356	positive	Prang
OG0009951	positive	Prang
OG0007712	positive	Prang
OG0011215	positive	Prang
OG0013193	positive	Prang
OG0007449	positive	Prang
OG0010240	positive	Prang
OG0011428	positive	Prang
OG0008435	positive	Prang
OG0009891	positive	Prang
OG0012459	positive	Prang
OG0008146	positive	Prang
OG0008764	positive	Prang
OG0010170	positive	Prang
OG0008816	positive	Prang
OG0011879	positive	Prang
OG0005976	positive	Prang
OG0010427	positive	Prang
OG0007719	positive	Prang
OG0008380	positive	Prang
OG0006678	positive	Prang
OG0009498	positive	Prang
OG0011203	positive	Prang
OG0009932	positive	Prang
OG0006580	positive	Prang
OG0009353	positive	Prang
OG0013044	positive	Prang
OG0007071	positive	Prang
OG0011842	positive	Prang
OG0010698	positive	Prang
OG0010866	positive	Prang
OG0011606	positive	Prang
OG0008749	positive	Prang
OG0006751	positive	Prang
OG0013072	positive	Prang
OG0011408	positive	Prang
OG0011324	positive	Prang
OG0009291	positive	Prang
