OG_symbol	selection	species
OG0006377	positive	Chasi
OG0011669	positive	Chasi
OG0009561	positive	Chasi
OG0007473	positive	Chasi
OG0006898	positive	Chasi
OG0007102	positive	Chasi
OG0010981	positive	Chasi
OG0009617	positive	Chasi
OG0011301	positive	Chasi
OG0008528	positive	Chasi
OG0008461	positive	Chasi
OG0010442	positive	Chasi
OG0005064	positive	Chasi
OG0006407	positive	Chasi
OG0007652	positive	Chasi
OG0009836	positive	Chasi
OG0011132	positive	Chasi
OG0010567	positive	Chasi
OG0007866	positive	Chasi
OG0009740	positive	Chasi
OG0007742	positive	Chasi
OG0011540	positive	Chasi
OG0010113	positive	Chasi
OG0010334	positive	Chasi
OG0007816	positive	Chasi
OG0006421	positive	Chasi
OG0011027	positive	Chasi
OG0012334	positive	Chasi
OG0012245	positive	Chasi
OG0011093	positive	Chasi
OG0007667	positive	Chasi
OG0007027	positive	Chasi
OG0005994	positive	Chasi
OG0008922	positive	Chasi
OG0011017	positive	Chasi
OG0008247	positive	Chasi
OG0007918	positive	Chasi
OG0007334	positive	Chasi
OG0008120	positive	Chasi
OG0005676	positive	Chasi
OG0006311	positive	Chasi
OG0005900	positive	Chasi
OG0007151	positive	Chasi
OG0009841	positive	Chasi
OG0008396	positive	Chasi
OG0008489	positive	Chasi
OG0011694	positive	Chasi
OG0011516	positive	Chasi
OG0012145	positive	Chasi
OG0008302	positive	Chasi
OG0005764	positive	Chasi
OG0012635	positive	Chasi
OG0011702	positive	Chasi
OG0009874	positive	Chasi
OG0012193	positive	Chasi
OG0006552	positive	Chasi
OG0012273	positive	Chasi
OG0007479	positive	Chasi
OG0010395	positive	Chasi
OG0007064	positive	Chasi
OG0006173	positive	Chasi
OG0010804	positive	Chasi
OG0005794	positive	Chasi
OG0008615	positive	Chasi
OG0006774	positive	Chasi
OG0008072	positive	Chasi
OG0007309	positive	Chasi
OG0005419	positive	Chasi
OG0005827	positive	Chasi
OG0010618	positive	Chasi
OG0008723	positive	Chasi
OG0009205	positive	Chasi
OG0011034	positive	Chasi
OG0008095	positive	Chasi
OG0006528	positive	Chasi
OG0007017	positive	Chasi
OG0010427	positive	Chasi
OG0006190	positive	Chasi
OG0010658	positive	Chasi
OG0007050	positive	Chasi
OG0009745	positive	Chasi
OG0006821	positive	Chasi
OG0010648	positive	Chasi
OG0005421	positive	Chasi
OG0008237	positive	Chasi
OG0007371	positive	Chasi
OG0008032	positive	Chasi
OG0010626	positive	Chasi
OG0011348	positive	Chasi
OG0011308	positive	Chasi
OG0011568	positive	Chasi
OG0011058	positive	Chasi
OG0008765	positive	Chasi
OG0009219	positive	Chasi
OG0006004	positive	Chasi
OG0006183	positive	Chasi
OG0010226	positive	Chasi
OG0008456	positive	Chasi
OG0007789	positive	Chasi
OG0010452	positive	Chasi
OG0009312	positive	Chasi
OG0011037	positive	Chasi
OG0006500	positive	Chasi
OG0007346	positive	Chasi
OG0009286	positive	Chasi
OG0011002	positive	Chasi
OG0008368	positive	Chasi
OG0011690	positive	Chasi
OG0005920	positive	Chasi
OG0011470	positive	Chasi
OG0007949	positive	Chasi
OG0010717	positive	Chasi
OG0005071	positive	Chasi
OG0005481	positive	Chasi
OG0012070	positive	Chasi
OG0007894	positive	Chasi
OG0010038	positive	Chasi
OG0008172	positive	Chasi
OG0008484	positive	Chasi
OG0008566	positive	Chasi
OG0009746	positive	Chasi
OG0007011	positive	Chasi
OG0011458	positive	Chasi
OG0007069	positive	Chasi
OG0008285	positive	Chasi
OG0006413	positive	Chasi
OG0005489	positive	Chasi
OG0007951	positive	Chasi
OG0009989	positive	Chasi
OG0006069	positive	Chasi
OG0005798	positive	Chasi
OG0011772	positive	Chasi
OG0011116	positive	Chasi
OG0010159	positive	Chasi
OG0006521	positive	Chasi
OG0006727	positive	Chasi
OG0009574	positive	Chasi
OG0007161	positive	Chasi
OG0012126	positive	Chasi
OG0009450	positive	Chasi
OG0007344	positive	Chasi
OG0009763	positive	Chasi
OG0007199	positive	Chasi
OG0011121	positive	Chasi
OG0009672	positive	Chasi
OG0006327	positive	Chasi
OG0009673	positive	Chasi
OG0005404	positive	Chasi
OG0009151	positive	Chasi
OG0005692	positive	Chasi
OG0010766	positive	Chasi
OG0009154	positive	Chasi
OG0011656	positive	Chasi
OG0011609	positive	Chasi
OG0006093	positive	Chasi
OG0009735	positive	Chasi
OG0009496	positive	Chasi
OG0011636	positive	Chasi
OG0009072	positive	Chasi
OG0009991	positive	Chasi
OG0006091	positive	Chasi
OG0007572	positive	Chasi
OG0010496	positive	Chasi
OG0006238	positive	Chasi
OG0008190	positive	Chasi
OG0007875	positive	Chasi
OG0007191	positive	Chasi
OG0005125	positive	Chasi
OG0010888	positive	Chasi
OG0011110	positive	Chasi
OG0007052	positive	Chasi
OG0007362	positive	Chasi
OG0009683	positive	Chasi
OG0010535	positive	Chasi
OG0006389	positive	Chasi
OG0006738	positive	Chasi
OG0008414	positive	Chasi
OG0011706	positive	Chasi
OG0008624	positive	Chasi
OG0009514	positive	Chasi
OG0007475	positive	Chasi
OG0009858	positive	Chasi
OG0010599	positive	Chasi
OG0006065	positive	Chasi
OG0007113	positive	Chasi
OG0005951	positive	Chasi
OG0010451	positive	Chasi
OG0011853	positive	Chasi
OG0008579	positive	Chasi
OG0006108	positive	Chasi
OG0005937	positive	Chasi
OG0009434	positive	Chasi
OG0005110	positive	Chasi
OG0012005	positive	Chasi
OG0011875	positive	Chasi
OG0007883	positive	Chasi
OG0005739	positive	Chasi
OG0012249	positive	Chasi
OG0006861	positive	Chasi
OG0007327	positive	Chasi
OG0006928	positive	Chasi
OG0009626	positive	Chasi
OG0011577	positive	Chasi
OG0011933	positive	Chasi
OG0008008	positive	Chasi
OG0008348	positive	Chasi
OG0006422	positive	Chasi
OG0012110	positive	Chasi
OG0005988	positive	Chasi
OG0011979	positive	Chasi
OG0012119	positive	Chasi
OG0011422	positive	Chasi
OG0008713	positive	Chasi
OG0008697	positive	Chasi
OG0009878	positive	Chasi
OG0006177	positive	Chasi
OG0006555	positive	Chasi
OG0009734	positive	Chasi
OG0010628	positive	Chasi
OG0011622	positive	Chasi
OG0009941	positive	Chasi
OG0006732	positive	Chasi
OG0011335	positive	Chasi
OG0009494	positive	Chasi
OG0007147	positive	Chasi
OG0012434	positive	Chasi
OG0006467	positive	Chasi
OG0010547	positive	Chasi
OG0009331	positive	Chasi
OG0011793	positive	Chasi
OG0007522	positive	Chasi
OG0009708	positive	Chasi
OG0007641	positive	Chasi
OG0008586	positive	Chasi
OG0007854	positive	Chasi
OG0006953	positive	Chasi
OG0008950	positive	Chasi
OG0008779	positive	Chasi
OG0010406	positive	Chasi
OG0007376	positive	Chasi
OG0011440	positive	Chasi
OG0006886	positive	Chasi
OG0011971	positive	Chasi
OG0006468	positive	Chasi
OG0008107	positive	Chasi
OG0012019	positive	Chasi
OG0006215	positive	Chasi
OG0009109	positive	Chasi
OG0009372	positive	Chasi
OG0011654	positive	Chasi
OG0005782	positive	Chasi
OG0008906	positive	Chasi
OG0005715	positive	Chasi
OG0007573	positive	Chasi
OG0007306	positive	Chasi
OG0006476	positive	Chasi
OG0008126	positive	Chasi
OG0010584	positive	Chasi
OG0005866	positive	Chasi
OG0008118	positive	Chasi
OG0005601	positive	Chasi
OG0009448	positive	Chasi
OG0005375	positive	Chasi
OG0008729	positive	Chasi
OG0008649	positive	Chasi
OG0009339	positive	Chasi
OG0010882	positive	Chasi
OG0006905	positive	Chasi
OG0007785	positive	Chasi
OG0010708	positive	Chasi
OG0008619	positive	Chasi
OG0006541	positive	Chasi
OG0011991	positive	Chasi
OG0008732	positive	Chasi
OG0006116	positive	Chasi
OG0009203	positive	Chasi
OG0009658	positive	Chasi
OG0006104	positive	Chasi
OG0011954	positive	Chasi
OG0012298	positive	Chasi
OG0008868	positive	Chasi
OG0010903	positive	Chasi
OG0010329	positive	Chasi
OG0010865	positive	Chasi
OG0008750	positive	Chasi
OG0006842	positive	Chasi
OG0011055	positive	Chasi
OG0007797	positive	Chasi
OG0007853	positive	Chasi
OG0011007	positive	Chasi
OG0006689	positive	Chasi
OG0011761	positive	Chasi
OG0006584	positive	Chasi
OG0007231	positive	Chasi
OG0006921	positive	Chasi
OG0006971	positive	Chasi
OG0007650	positive	Chasi
OG0010362	positive	Chasi
OG0006360	positive	Chasi
OG0007219	positive	Chasi
OG0005381	positive	Chasi
OG0011597	positive	Chasi
