Acbae,Ancor,Botau,Cacar,Capor,Chpic,Chsab,Cocri,Darer,Elmax,Ercal,Hegla,Hosap,Lacha,Modom,Myluc,Ororc,Ovari,Prang,Ranor,Rhtyp,Sasal,Scvul,Tagut,Tecar,nSp,og,selectionF,selectionB,allF,allB
1,1,NA,1,1,1,1,1,NA,1,NA,1,1,NA,0.358202085118968,1,1,NA,0.562521266338971,1,1,NA,1,1,0,hits_per_19_species,OG0000733,1,0,10,9
1,1,1,NA,1,1,NA,1,1,1,1,NA,0.00957421354134153,1,1,1,1,1,1,NA,1,NA,NA,1,1,hits_per_19_species,OG0001157,1,0,9,10
NA,1,1,NA,1,1,1,0.00879347312740003,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,hits_per_19_species,OG0001765,0,1,8,11
NA,0.324561335557735,1,1,1,1,1,1,NA,1,NA,0,1,NA,0.0413268878631681,1,7.93332606274788e-08,1,NA,1,1,NA,1,0.0084384729444924,1,hits_per_19_species,OG0002383,2,2,8,11
NA,0.391363650903234,1,NA,1,0.00356760719414523,1,9.99360271763949e-06,NA,1,1,1,1,1,0.251032078581112,2.93124958772317e-05,1,1,0.017910451480299,1,NA,NA,3.51277490012736e-06,3.61030265960682e-07,NA,hits_per_19_species,OG0002807,2,4,7,12
1,NA,1,1,1,NA,1,1,NA,1,1,0.15311985463995,1,0.00816596650141793,0.0293570685709277,1,1,1,0.0073539214195566,1,1,NA,1,NA,NA,hits_per_19_species,OG0002818,2,1,10,9
NA,1,1,1,NA,1,1,1,NA,1,0.377105692071761,5.43351703961581e-05,7.92459164955517e-09,1,1,1,1,0,NA,1,NA,NA,1,1,1,hits_per_19_species,OG0002847,2,1,8,11
NA,0.669984905050991,1,0.0342382555397513,0.048074566784082,1,1,1,1,1,1,9.4279139467579e-07,1,NA,0.560439102476028,1,1,1,NA,1,NA,NA,NA,1,1,hits_per_19_species,OG0002915,2,1,7,12
1,1,1,1,1,1,NA,1,1,NA,1,0.886330925148257,1,0.867541978036879,1,0.153693469021685,1,NA,1,NA,1,NA,NA,1,1,hits_per_19_species,OG0002921,0,0,10,9
1,NA,0.393115355115393,NA,0.0122737640296955,1,1,0.00186406114410875,NA,0.0394498227941729,NA,1,1,0.00494629125020474,1,0.00296296769991206,1,0.226400247372331,NA,1,1,NA,1,1,0.0135792671206558,hits_per_19_species,OG0003005,4,2,9,10
0.160725961226554,1,1,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,1,0.736238761338964,1,1,1,NA,1,0.435077249429604,NA,hits_per_19_species,OG0003069,0,0,9,10
