OG_symbol	selection	species
OG0007195	positive	Nagal
OG0009190	positive	Nagal
OG0009578	positive	Nagal
OG0010981	positive	Nagal
OG0010129	positive	Nagal
OG0007217	positive	Nagal
OG0011987	positive	Nagal
OG0006858	positive	Nagal
OG0010369	positive	Nagal
OG0005901	positive	Nagal
OG0006677	positive	Nagal
OG0010389	positive	Nagal
OG0005969	positive	Nagal
OG0012282	positive	Nagal
OG0006387	positive	Nagal
OG0005064	positive	Nagal
OG0012268	positive	Nagal
OG0006407	positive	Nagal
OG0011720	positive	Nagal
OG0006450	positive	Nagal
OG0008017	positive	Nagal
OG0010113	positive	Nagal
OG0007803	positive	Nagal
OG0011334	positive	Nagal
OG0007816	positive	Nagal
OG0009872	positive	Nagal
OG0011472	positive	Nagal
OG0011285	positive	Nagal
OG0010341	positive	Nagal
OG0007932	positive	Nagal
OG0009059	positive	Nagal
OG0008157	positive	Nagal
OG0009368	positive	Nagal
OG0008709	positive	Nagal
OG0007459	positive	Nagal
OG0006097	positive	Nagal
OG0008909	positive	Nagal
OG0005916	positive	Nagal
OG0010342	positive	Nagal
OG0007633	positive	Nagal
OG0011216	positive	Nagal
OG0008283	positive	Nagal
OG0009167	positive	Nagal
OG0006495	positive	Nagal
OG0011589	positive	Nagal
OG0007801	positive	Nagal
OG0007953	positive	Nagal
OG0008740	positive	Nagal
OG0008050	positive	Nagal
OG0007232	positive	Nagal
OG0007960	positive	Nagal
OG0006948	positive	Nagal
OG0009698	positive	Nagal
OG0008852	positive	Nagal
OG0010217	positive	Nagal
OG0009544	positive	Nagal
OG0007374	positive	Nagal
OG0009304	positive	Nagal
OG0011325	positive	Nagal
OG0010804	positive	Nagal
OG0008370	positive	Nagal
OG0008079	positive	Nagal
OG0006664	positive	Nagal
OG0009704	positive	Nagal
OG0009358	positive	Nagal
OG0005827	positive	Nagal
OG0011754	positive	Nagal
OG0006405	positive	Nagal
OG0009205	positive	Nagal
OG0008919	positive	Nagal
OG0012436	positive	Nagal
OG0008410	positive	Nagal
OG0007970	positive	Nagal
OG0007603	positive	Nagal
OG0008295	positive	Nagal
OG0010580	positive	Nagal
OG0011631	positive	Nagal
OG0007933	positive	Nagal
OG0009891	positive	Nagal
OG0009313	positive	Nagal
OG0008815	positive	Nagal
OG0008497	positive	Nagal
OG0010427	positive	Nagal
OG0007719	positive	Nagal
OG0008874	positive	Nagal
OG0010579	positive	Nagal
OG0005893	positive	Nagal
OG0006938	positive	Nagal
OG0011704	positive	Nagal
OG0007456	positive	Nagal
OG0011247	positive	Nagal
OG0010648	positive	Nagal
OG0005609	positive	Nagal
OG0010306	positive	Nagal
OG0006770	positive	Nagal
OG0010588	positive	Nagal
OG0005469	positive	Nagal
OG0009462	positive	Nagal
OG0006577	positive	Nagal
OG0011874	positive	Nagal
OG0010570	positive	Nagal
OG0006268	positive	Nagal
