OG,Preferred_name,Description,count,analysis
OG0005012,DLEC1,Deleted in lung and esophageal cancer,9,longevity
OG0012377,TNFRSF4,Tumor necrosis factor receptor / nerve growth factor receptor repeats.,9,longevity
OG0006218,ASPSCR1,"Alveolar soft part sarcoma chromosome region, candidate 1",8,longevity
OG0006528,EIF4E3,Eukaryotic initiation factor 4E,8,longevity
OG0011920,TDRD6,Tudor domain containing,8,longevity
OG0005742,CNTRL,Leucine-rich repeat,7,longevity
OG0005997,NUPL2,nucleoporin like 2,7,longevity
OG0006583,NOLC1,"SRP40, C-terminal domain",7,longevity
OG0007226,MLIP,Muscular LMNA-interacting protein,7,longevity
OG0007314,TG,Putative ephrin-receptor like,7,longevity
OG0007419,MPHOSPH8,Chromatin organization modifier domain,7,longevity
OG0007448,VSIG10,Immunoglobulin V-set domain,7,longevity
OG0007684,ATAT1,"GNAT acetyltransferase, Mec-17",7,longevity
OG0007888,F8,Multicopper oxidase,7,longevity
OG0007944,PPL,Plectin repeat,7,longevity
OG0008381,PARP4,Vault protein inter-alpha-trypsin domain,7,longevity
OG0009330,SFI1,"Sfi1 homolog, spindle assembly associated (yeast)",7,longevity
OG0009388,PLEKHM2,Pleckstrin homology domain.,7,longevity
OG0009497,VWF,von Willebrand factor (vWF) type A domain,7,longevity
OG0009596,LRP2,Coagulation Factor Xa inhibitory site,7,longevity
OG0010155,MMS22L,DNA repair protein,7,longevity
OG0010285,PMF1-BGLAP,binding,7,longevity
OG0011438,SMTN,Smoothelin cytoskeleton protein,7,longevity
OG0011770,GTPBP6,GTP-binding GTPase Middle Region,7,longevity
OG0011775,CCDC30,Coiled-coil domain containing 30,7,longevity
OG0011849,EVC,Creveld syndrome,7,longevity
OG0011850,FOCAD,Focadhesin,7,longevity
OG0011947,TDRD12,Tudor domain,7,longevity
OG0012024,C2orf70,Protein of unknown function (DUF2475),7,longevity
OG0002818,MRC1,Ricin-type beta-trefoil,6,longevity
OG0003122,CD2,CD2 molecule,6,longevity
OG0003546,lcorl,Domain of unknown function (DUF4553),6,longevity
OG0003956,SPEF2,CH-like domain in sperm protein,6,longevity
OG0003984,PHF12,PHD finger protein 12 MRG binding domain,6,longevity
OG0004155,F5,"Coagulation factor V (proaccelerin, labile factor)",6,longevity
OG0004232,KIAA1614,kiaa1614,6,longevity
OG0004266,ETAA1,Ewing's tumour-associated antigen 1 homologue,6,longevity
OG0004446,EVPL,Envoplakin,6,longevity
OG0004507,WDR27,WD repeat domain,6,longevity
OG0004538,PPP1R15B,eIF2-alpha phosphatase phosphorylation constitutive repressor,6,longevity
OG0004593,MYO9A,Ras association (RalGDS/AF-6) domain,6,longevity
OG0004779,SLC17A5,Major Facilitator Superfamily,6,longevity
OG0004867,COL16A1,Thrombospondin N-terminal -like domains.,6,longevity
OG0004965,MAP1A,microtubule-associated protein 1A,6,longevity
OG0005013,MALRD1,MAM and LDL receptor class A domain containing 1,6,longevity
OG0005088,SNX30,Sorting nexin family member 30,6,longevity
OG0005139,KIZ,Centrosomal protein,6,longevity
OG0005231,IL17RC,Interleukin-17 receptor extracellular region,6,longevity
OG0005310,CASP8AP2,Fas signaling pathway,6,longevity
OG0005415,FAM83F,Protein of unknown function (DUF1669),6,longevity
OG0005495,EXOC3L4,Exocyst complex component Sec6,6,longevity
OG0005517,MBD1,Methyl-CpG binding domain protein 1,6,longevity
OG0005578,IL17RA,Interleukin 17 receptor D,6,longevity
OG0005622,CBX2,CBX family C-terminal motif,6,longevity
OG0005638,MIS18BP1,SANTA (SANT Associated),6,longevity
OG0005641,COL17A1,Collagen triple helix repeat (20 copies),6,longevity
OG0005661,COBLL1,Cordon-bleu ubiquitin-like domain,6,longevity
OG0005681,AKAP12,WSK motif,6,longevity
OG0005696,HGF,divergent subfamily of APPLE domains,6,longevity
OG0005852,MAP9,regulation of mitotic cytokinesis,6,longevity
OG0005866,CCDC136,acrosome assembly,6,longevity
OG0006060,IGSF5,Immunoglobulin,6,longevity
OG0006195,ILDR1,domain containing receptor 1,6,longevity
OG0006307,URB2,Urb2/Npa2 family,6,longevity
OG0006377,VSTM4,V-set and transmembrane domain containing 4,6,longevity
OG0006469,TAF1C,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa",6,longevity
OG0006471,RAD54L2,SNF2 family N-terminal domain,6,longevity
OG0006473,SGOL2,Shugoshin-like 2 (S. pombe),6,longevity
OG0006898,NEK1,Kinase-like,6,longevity
OG0006963,SERPINE1,SERine  Proteinase INhibitors,6,longevity
OG0007099,PALB2,Partner and localizer of BRCA2,6,longevity
OG0007265,ULK3,Microtubule Interacting and Trafficking molecule domain,6,longevity
OG0007783,CLMN,Calponin homology domain,6,longevity
OG0007856,ZNF451,zinc finger,6,longevity
OG0007929,NEB,Nebulin repeat,6,longevity
OG0007989,RIF1,Rap1-interacting factor 1 N terminal,6,longevity
OG0008015,SHROOM3,Apx/Shroom domain ASD1,6,longevity
OG0008057,SRRM2,Spt5 C-terminal nonapeptide repeat binding Spt4,6,longevity
OG0008132,CFAP221,Cilia and flagella associated protein 221,6,longevity
OG0008139,BCL3,Ankyrin repeat,6,longevity
OG0008372,SLC3A1,Alpha-amylase domain,6,longevity
OG0008721,CEP68,Centrosomal protein,6,longevity
OG0008978,FAM35A,DNA repair,6,longevity
OG0009022,DENND4B,DENN MADD domain containing 4B,6,longevity
OG0009031,RNF219,metal ion binding,6,longevity
OG0009034,DNAH10,"Dynein, axonemal, heavy chain 10",6,longevity
OG0009157,CCHCR1,Coiled-coil alpha-helical rod protein 1,6,longevity
OG0009159,MFI2,Antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5,6,longevity
OG0009221,MSH3,mutS homolog 3,6,longevity
OG0009345,MYBBP1A,DNA polymerase phi,6,longevity
OG0009420,NPAT,"Nuclear protein, ataxia-telangiectasia locus",6,longevity
OG0009441,CDCA2,Cell division cycle associated 2,6,longevity
OG0009576,SNED1,"Sushi, nidogen and EGF-like",6,longevity
OG0009729,C4orf47,Domain of unknown function (DUF4586),6,longevity
OG0009839,HDGFL2,Lens epithelium-derived growth factor (LEDGF),6,longevity
OG0010018,SOWAHD,Sosondowah ankyrin repeat domain family member D,6,longevity
OG0010051,MCPH1,cerebral cortex development,6,longevity
OG0010194,EPB41L4B,FERM adjacent (FA),6,longevity
OG0010425,SPIDR,Domain of unknown function (DUF4502),6,longevity
OG0010454,NRDE2,"NRDE-2, necessary for RNA interference",6,longevity
OG0010583,DUSP27,"Dual specificity phosphatase, catalytic domain",6,longevity
OG0010590,POLR2A,DNA-directed 5'-3' RNA polymerase activity,6,longevity
OG0010675,MYO16,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family,6,longevity
OG0010711,CRYBG3,Ricin-type beta-trefoil lectin domain-like,6,longevity
OG0010929,AJAP1,AJAP1/PANP C-terminus,6,longevity
OG0011075,PPP1R35,Protein phosphatase 1 regulatory subunit 35 C-terminus,6,longevity
OG0011156,LRRC43,Leucine rich repeat,6,longevity
OG0011419,ADAM15,Homologues of snake disintegrins,6,longevity
OG0011421,CARD14,Caspase recruitment domain,6,longevity
OG0011608,CPN2,Carboxypeptidase N,6,longevity
OG0011699,ADHFE1,Catalyzes the cofactor-independent reversible oxidation of gamma-hydroxybutyrate (GHB) to succinic semialdehyde (SSA) coupled to reduction of 2-ketoglutarate (2-KG) to D-2- hydroxyglutarate (D-2-HG),6,longevity
OG0011987,CCDC73,Coiled-coil domain containing 73,6,longevity
OG0012344,C1orf168,Helically-extended SH3 domain,6,longevity
OG0012358,C19orf57,Domain of unknown function (DUF4671),6,longevity
OG0012371,CD5,CD5 molecule,6,longevity
OG0012496,CWH43,Endonuclease/Exonuclease/phosphatase family,6,longevity
OG0001630,MIA3,Src homology 3 domains,5,longevity
OG0003005,ANPEP,ERAP1-like C-terminal domain,5,longevity
OG0003318,USP42,Belongs to the peptidase C19 family,5,longevity
OG0003710,C10orf12,Domain of unknown function (DUF4553),5,longevity
OG0003777,RBM12B,RNA recognition motif,5,longevity
OG0003781,ZNF318,HNH nucleases,5,longevity
OG0003803,PLEC,Plectin repeat,5,longevity
OG0003805,MARCKSL1,MARCKS family,5,longevity
OG0003852,TTF1,Myb-like DNA-binding domain,5,longevity
OG0003973,LMO7,LIM domain,5,longevity
