OG_ID,gene_symbol.x,analysis_absrel,gene_symbol.y,analysis_relax_selection,analysis_paml,analysis_cafe_expanded,gene_symbol.x,analysis_relax_relaxed,analysis_cafe_contracted,gene_symbol.y,condition,gene_symbol
OG0000066,NA,NA,NA,NA,NA,NA,NA,NA,contracted,NA,NA,MYH7B
OG0000235,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,TPM1
OG0000666,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,KCNJ9
OG0000746,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,NANOS1
OG0001075,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,MYO1F
OG0001214,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,ADORA1
OG0001389,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,LIN28B
OG0001508,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NPY,pigmentation,NPY
OG0001770,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,ASCC3
OG0001808,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,FARP1
OG0001811,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,FHL5
OG0002014,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,IGLL5
OG0002022,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,ITGA9
OG0002023,NA,NA,NA,NA,NA,NA,NA,NA,contracted,SAMD9,pigmentation,SAMD9
OG0002234,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,UBE2V2
OG0002628,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,GSE1
OG0003020,NA,NA,NA,NA,NA,NA,NA,NA,contracted,NA,NA,CNPY2
OG0003076,NA,NA,NA,NA,NA,NA,NA,NA,contracted,NA,NA,PRELP
OG0003086,NA,NA,NA,NA,NA,NA,NA,NA,contracted,NA,NA,NA
OG0003164,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,GRID2IP
OG0003428,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,-
