OG_ID,analysis_absrel,analysis_paml,analysis_relax_intens,analysis_cafe_expanded,analysis_relax_relaxed,analysis_cafe_contr,condition_pigmentation,condition_eyes,gene_symbol,count_NA,count_sel
OG0005622,absrel,PAML,intensified,NA,NA,NA,NA,NA,RASA1,3,3
OG0006416,absrel,PAML,intensified,NA,NA,NA,NA,NA,FGG,3,3
OG0006532,absrel,PAML,intensified,NA,NA,NA,NA,NA,KTI12,3,3
OG0006682,absrel,PAML,intensified,NA,NA,NA,NA,NA,FARS2,3,3
OG0007092,absrel,PAML,intensified,NA,NA,NA,NA,NA,SERPINC1,3,3
OG0008700,absrel,PAML,intensified,NA,NA,NA,NA,eyeloss,DBN1,3,3
OG0008763,absrel,PAML,intensified,NA,NA,NA,NA,NA,ZRANB2,3,3
OG0009471,absrel,PAML,intensified,NA,NA,NA,NA,NA,ATXN7L3,3,3
OG0010494,absrel,PAML,intensified,NA,NA,NA,NA,NA,NPHS1,3,3
OG0011439,absrel,PAML,intensified,NA,NA,NA,NA,NA,WBP11,3,3
OG0012952,absrel,PAML,intensified,NA,NA,NA,NA,NA,IFT80,3,3
OG0013049,absrel,PAML,intensified,NA,NA,NA,NA,NA,EFCAB2,3,3
OG0004409,absrel,PAML,NA,NA,NA,NA,NA,NA,ALOX5,4,2
OG0005921,absrel,PAML,NA,NA,NA,NA,NA,NA,DROSHA,4,2
OG0006106,absrel,PAML,NA,NA,relaxed,NA,NA,NA,Znf704,3,3
OG0006675,absrel,PAML,NA,NA,NA,NA,NA,eyeloss,VWA8,4,2
OG0006738,absrel,PAML,NA,NA,NA,NA,NA,NA,SHF,4,2
OG0006763,absrel,PAML,NA,NA,NA,NA,NA,NA,RRN3,4,2
OG0006890,absrel,PAML,NA,NA,NA,NA,pigmentation,NA,NUP88,4,2
OG0007239,absrel,PAML,NA,NA,NA,NA,NA,NA,LRRC1,4,2
OG0007492,absrel,PAML,NA,NA,NA,NA,NA,NA,CBWD1,4,2
OG0007750,absrel,PAML,NA,NA,relaxed,NA,pigmentation,NA,MDM2,3,3
OG0008037,absrel,PAML,NA,NA,NA,NA,NA,NA,PUS3,4,2
OG0008123,absrel,PAML,NA,NA,NA,NA,NA,NA,C10orf11,4,2
OG0008160,absrel,PAML,NA,NA,relaxed,NA,pigmentation,NA,GPC3,3,3
OG0008410,absrel,PAML,NA,NA,NA,NA,NA,NA,DAW1,4,2
OG0008600,absrel,PAML,NA,NA,relaxed,NA,NA,NA,KIAA1429,3,3
OG0008612,absrel,PAML,NA,NA,relaxed,NA,NA,NA,UBR5,3,3
OG0008810,absrel,PAML,NA,NA,NA,NA,NA,NA,TFEC,4,2
OG0009454,absrel,PAML,NA,NA,NA,NA,NA,NA,FBXL16,4,2
OG0009904,absrel,PAML,NA,NA,relaxed,NA,NA,NA,CFAP58,3,3
OG0009972,absrel,PAML,NA,NA,relaxed,NA,pigmentation,NA,MIB1,3,3
OG0009980,absrel,PAML,NA,NA,NA,NA,NA,NA,ALG3,4,2
OG0010049,absrel,PAML,NA,NA,relaxed,NA,NA,NA,MPP1,3,3
OG0010205,absrel,PAML,NA,NA,NA,NA,NA,NA,KIAA1467,4,2
OG0010217,absrel,PAML,NA,NA,NA,NA,NA,NA,CSPG4,4,2
OG0010261,absrel,PAML,NA,NA,relaxed,NA,NA,NA,GALT,3,3
OG0010525,absrel,PAML,NA,NA,NA,NA,NA,NA,SHOX,4,2
OG0011099,absrel,PAML,NA,NA,NA,NA,NA,NA,GATM,4,2
OG0011345,absrel,PAML,NA,NA,NA,NA,NA,NA,WDR63,4,2
OG0011489,absrel,PAML,NA,NA,relaxed,NA,NA,NA,USP25,3,3
OG0011556,absrel,PAML,NA,NA,NA,NA,NA,NA,DNAJC17,4,2
OG0011941,absrel,PAML,NA,NA,relaxed,NA,pigmentation,NA,MCM2,3,3
OG0012159,absrel,PAML,NA,NA,relaxed,NA,NA,NA,STIP1,3,3
OG0012339,absrel,PAML,NA,NA,relaxed,NA,NA,NA,FOXP2,3,3
OG0012543,absrel,PAML,NA,NA,NA,NA,NA,NA,ABCD4,4,2
OG0013169,absrel,PAML,NA,NA,relaxed,NA,NA,NA,CMC2,3,3
OG0013204,absrel,PAML,NA,NA,NA,NA,NA,NA,MALSU1,4,2
OG0007946,absrel,NA,intensified,NA,NA,NA,NA,NA,JOSD1,3,3
OG0008581,absrel,NA,intensified,NA,NA,NA,NA,NA,NUPL1,3,3
OG0009426,absrel,NA,intensified,NA,NA,NA,NA,NA,CCDC79,3,3
OG0012645,absrel,NA,intensified,NA,NA,NA,NA,NA,TCF25,3,3
OG0005477,absrel,NA,NA,NA,NA,NA,NA,NA,AKAP2,4,2
OG0007062,absrel,NA,NA,NA,NA,NA,NA,NA,ENOPH1,4,2
OG0007475,absrel,NA,NA,NA,NA,NA,NA,NA,GUCD1,4,2
OG0007891,absrel,NA,NA,NA,relaxed,NA,NA,NA,KDM1A,3,3
OG0008232,absrel,NA,NA,NA,NA,NA,NA,NA,SP1,4,2
OG0008412,absrel,NA,NA,NA,relaxed,NA,NA,eyeloss,DNER,3,3
OG0008459,absrel,NA,NA,NA,NA,NA,NA,NA,DPM2,4,2
OG0008473,absrel,NA,NA,NA,NA,NA,NA,NA,POU2F3,4,2
OG0008493,absrel,NA,NA,NA,NA,NA,NA,NA,HEPACAM2,4,2
OG0008740,absrel,NA,NA,NA,relaxed,NA,NA,NA,TM9SF4,3,3
OG0008807,absrel,NA,NA,NA,NA,NA,NA,NA,TBC1D30,4,2
OG0009455,absrel,NA,NA,NA,NA,NA,NA,NA,METTL22,4,2
OG0009541,absrel,NA,NA,NA,relaxed,NA,NA,eyeloss,ELMO3,3,3
OG0009651,absrel,NA,NA,NA,NA,NA,NA,NA,KDM5C,4,2
OG0009702,absrel,NA,NA,NA,NA,NA,NA,NA,ILVBL,4,2
OG0009820,absrel,NA,NA,NA,NA,NA,NA,NA,KPNB1,4,2
OG0010113,absrel,NA,NA,NA,NA,NA,NA,NA,MST1,4,2
OG0010995,absrel,NA,NA,NA,relaxed,NA,NA,NA,DCUN1D5,3,3
OG0011903,absrel,NA,NA,NA,relaxed,NA,NA,NA,EPHA10,3,3
OG0012366,absrel,NA,NA,NA,relaxed,NA,NA,NA,MYBPC1,3,3
OG0013497,absrel,NA,NA,NA,NA,NA,NA,NA,SLC38A11,4,2
OG0013553,absrel,NA,NA,NA,NA,NA,NA,NA,NA,4,2
OG0005171,NA,PAML,intensified,NA,NA,NA,NA,NA,RBMXL2,3,3
