"OG_ID","analysis_absrel","analysis_paml","analysis_relax_intens","analysis_cafe_expanded","analysis_relax_relaxed","analysis_cafe_contr","condition_pigmentation","condition_eyes","gene_symbol","count_NA","count_sel","qname","query","chr","seqStart","seqEnd"
"OG0005622","absrel","PAML","intensified",NA,NA,NA,NA,NA,"RASA1",3,3,"evm.model.ptg004168l.1_Prang-OG0005622.fa","evm.model.ptg004168l.1_Prang","chr1",3341414083,3341416972
"OG0006416","absrel","PAML","intensified",NA,NA,NA,NA,NA,"FGG",3,3,"evm.model.ptg003118l.6_Prang-OG0006416.fa","evm.model.ptg003118l.6_Prang","chr1",1046741982,1046743044
"OG0006532","absrel","PAML","intensified",NA,NA,NA,NA,NA,"KTI12",3,3,"evm.model.ptg001495l.2_Prang-OG0006532.fa","evm.model.ptg001495l.2_Prang","chr14",669967890,669968628
"OG0006682","absrel","PAML","intensified",NA,NA,NA,NA,NA,"FARS2",3,3,NA,NA,NA,NA,NA
"OG0007092","absrel","PAML","intensified",NA,NA,NA,NA,NA,"SERPINC1",3,3,"evm.model.ptg028426l.1_Prang-OG0007092.fa","evm.model.ptg028426l.1_Prang","chr12",1138643567,1138645043
"OG0008700","absrel","PAML","intensified",NA,NA,NA,NA,"eyeloss","DBN1",3,3,"evm.model.ptg006272l.1_Prang-OG0008700.fa","evm.model.ptg006272l.1_Prang","chr3",408230554,408232546
"OG0008763","absrel","PAML","intensified",NA,NA,NA,NA,NA,"ZRANB2",3,3,"evm.model.ptg001912l.1_Prang-OG0008763.fa","evm.model.ptg001912l.1_Prang","chr12",403307962,403308934
"OG0009471","absrel","PAML","intensified",NA,NA,NA,NA,NA,"ATXN7L3",3,3,NA,NA,NA,NA,NA
"OG0010494","absrel","PAML","intensified",NA,NA,NA,NA,NA,"NPHS1",3,3,"evm.model.ptg000221l.8_Prang-OG0010494.fa","evm.model.ptg000221l.8_Prang","chr8",1244421014,1244424902
"OG0011439","absrel","PAML","intensified",NA,NA,NA,NA,NA,"WBP11",3,3,"evm.model.ptg000039l.5_Prang-OG0011439.fa","evm.model.ptg000039l.5_Prang","chr15",538541980,538543972
"OG0012952","absrel","PAML","intensified",NA,NA,NA,NA,NA,"IFT80",3,3,"evm.model.ptg002325l.3_Prang-OG0012952.fa","evm.model.ptg002325l.3_Prang","chr18",405726476,405728660
"OG0013049","absrel","PAML","intensified",NA,NA,NA,NA,NA,"EFCAB2",3,3,"evm.model.ptg017626l.2_Prang-OG0013049.fa","evm.model.ptg017626l.2_Prang","chr4",1046533156,1046533651
"OG0004409","absrel","PAML",NA,NA,NA,NA,NA,NA,"ALOX5",4,2,NA,NA,NA,NA,NA
"OG0005921","absrel","PAML",NA,NA,NA,NA,NA,NA,"DROSHA",4,2,NA,NA,NA,NA,NA
"OG0006106","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"Znf704",3,3,"evm.model.ptg004347l.1_Prang-OG0006106.fa","evm.model.ptg004347l.1_Prang","chr2",702420170,702421460
"OG0006675","absrel","PAML",NA,NA,NA,NA,NA,"eyeloss","VWA8",4,2,"evm.model.ptg006110l.6_Prang-OG0006675.fa","evm.model.ptg006110l.6_Prang","chr3",1282121877,1282127478
"OG0006738","absrel","PAML",NA,NA,NA,NA,NA,NA,"SHF",4,2,"evm.model.ptg009484l.1_Prang-OG0006738.fa","evm.model.ptg009484l.1_Prang","chr14",659245212,659246574
"OG0006763","absrel","PAML",NA,NA,NA,NA,NA,NA,"RRN3",4,2,"evm.model.ptg018841l.2_Prang-OG0006763.fa","evm.model.ptg018841l.2_Prang","chr10",700924105,700925941
"OG0006890","absrel","PAML",NA,NA,NA,NA,"pigmentation",NA,"NUP88",4,2,NA,NA,NA,NA,NA
"OG0007239","absrel","PAML",NA,NA,NA,NA,NA,NA,"LRRC1",4,2,NA,NA,NA,NA,NA
"OG0007492","absrel","PAML",NA,NA,NA,NA,NA,NA,"CBWD1",4,2,"evm.model.ptg002143l.3_Prang-OG0007492.fa","evm.model.ptg002143l.3_Prang","chr1",2694582802,2694583915
"OG0007750","absrel","PAML",NA,NA,"relaxed",NA,"pigmentation",NA,"MDM2",3,3,"evm.model.ptg016904l.4_Prang-OG0007750.fa","evm.model.ptg016904l.4_Prang","chr7",1486345396,1486346815
"OG0008037","absrel","PAML",NA,NA,NA,NA,NA,NA,"PUS3",4,2,"evm.model.ptg008778l.5_Prang-OG0008037.fa","evm.model.ptg008778l.5_Prang","chr11",442625266,442626745
"OG0008123","absrel","PAML",NA,NA,NA,NA,NA,NA,"C10orf11",4,2,NA,NA,NA,NA,NA
"OG0008160","absrel","PAML",NA,NA,"relaxed",NA,"pigmentation",NA,"GPC3",3,3,"evm.model.ptg000140l.1_Prang-OG0008160.fa","evm.model.ptg000140l.1_Prang","chr2",2930515446,2930517081
